Unnamed: 0,price_eur_mwh,load_mw,biomass_mw,lignite_mw,gas_mw,hard_coal_mw,hydro_run_mw,hydro_reservoir_mw,solar_mw,wind_offshore_mw,wind_onshore_mw,hour,day_of_week,month,weekend,price_lag_1,price_lag_24,price_lag_168,price_mean_24h,price_std_24h,price_mean_168h,renewable_generation,renewable_share,residual_load
2020-01-07 23:00:00+00:00,18.95,55068.1875,4653.8525,7580.1075,5719.7425,4527.1075,1432.1775,52.11,0.12,5025.297500000001,25052.245000000003,23,1,1,0,26.28,30.75,41.88,40.03208333333333,9.751691036928435,33.36035714285714,36215.802500000005,0.6576537951244538,18852.384999999995
2020-01-08 00:00:00+00:00,4.96,53658.4675,4633.2625,7424.1925,5183.4225,4450.78,1438.4425,103.435,0.1175,5034.3275,25935.645,0,2,1,0,18.95,31.03,38.6,38.94583333333333,11.992553818993244,33.16011904761905,37145.23,0.6922529049119788,16513.237499999996
2020-01-08 01:00:00+00:00,0.1,52487.54,4647.6275000000005,6872.2225,5146.085,4444.005,1427.3925,101.3925,0.1175,5041.9675,26486.205,1,2,1,0,4.96,29.88,36.55,37.705000000000005,14.291603494177364,32.94315476190476,37704.7025,0.7183552991814819,14782.837500000001
2020-01-08 02:00:00+00:00,0.11,52546.192500000005,4591.8,6834.1775,5083.030000000001,4397.5625,1411.3075,123.7575,0.12,5034.0225,26437.4925,2,2,1,0,0.1,29.0,32.32,36.50125,16.152236434866413,32.75142857142857,37598.5,0.7155323385229101,14947.692500000005
2020-01-08 03:00:00+00:00,1.75,53861.83,4577.1475,7247.1675,5132.4475,4464.475,1404.94,159.135,0.1275,5249.44,25820.725,3,2,1,0,0.11,29.65,30.85,35.33875,17.605403150984515,32.57821428571429,37211.515,0.6908698609014955,16650.315000000002
2020-01-08 04:00:00+00:00,20.74,57033.3825,4596.974999999999,8955.275,5999.075,4831.57,1406.4,115.83,0.14,5502.3625,25551.8725,4,2,1,0,1.75,31.78,30.14,34.87875,17.845027881981455,32.522261904761905,37173.58,0.6517863463560135,19859.802499999998
2020-01-08 05:00:00+00:00,25.57,64747.49,4671.1325,10478.37,7523.7375,5692.3275,1407.7625,118.5875,0.2125,5506.435,25514.025,5,2,1,0,20.74,40.87,30.17,34.24125,17.894909966730516,32.494880952380946,37218.155,0.5748200432171193,27529.335
2020-01-08 06:00:00+00:00,32.47,71218.3,4774.5625,11724.8775,10339.14,7698.075,1397.1425,73.635,0.36,5882.3325,25581.7275,6,2,1,0,25.57,49.01,30.0,33.552083333333336,17.61775536686403,32.50958333333333,37709.76,0.5294953684656893,33508.54
2020-01-08 07:00:00+00:00,33.07,74170.8775,4811.6225,11793.4025,10926.8075,9024.095,1387.0975,66.8375,94.735,6119.4775,25351.67,7,2,1,0,32.47,51.09,30.65,32.80125,17.217263659907815,32.523988095238096,37831.44,0.5100578727816724,36339.4375
2020-01-08 08:00:00+00:00,33.05,74156.3375,4813.3425,12096.915,11060.2575,9410.1225,1371.7325,28.8475,669.4775,6468.2325,24901.51,8,2,1,0,33.07,51.12,30.65,32.04833333333334,16.770660111626785,32.53827380952381,38253.1425,0.515844549361678,35903.19499999999
