,Annual Return,Annual Volatility,Sharpe Ratio,Maximum Drawdown
AI Portfolio,0.1411175150340609,0.15,0.940783433560406,-0.26712539754247844
SPY,0.11409345328305065,0.17199727226122938,0.6633445506610451,-0.2536057440706697
