Date,Close,Log_Return,Return,SMA20,SMA50,SMA100,SMA200,EMA20,Momentum10,Momentum20,Volatility20,RollingMean20,RollingSkew20,RollingKurt20,Lag1,Lag2,Lag5,Lag10,Price_SMA20,Price_SMA50,UpperBand,LowerBand,RSI,MACD,MACD_Signal
2015-10-16,24.883136749267578,-0.007357545352577055,-0.007330544875428724,25.046606254577636,25.176152534484864,26.631793308258057,27.03514949798584,25.0133527084426,0.1479053497314453,-0.5400505065917969,0.01333994008920147,-0.001073565331633236,-0.29453294466265073,-0.06383201283932617,0.014860752398079527,-0.014234713300235464,0.02364502554496899,0.0072741726492506495,0.9934733870270276,0.9883613755193161,25.88949710931669,24.203715399838583,45.695046349684276,-0.13660426431217942,-0.15959959826544534
2015-10-19,25.03775978088379,0.0061947415544427575,0.006213968647693191,25.007614517211913,25.15916660308838,26.58819360733032,27.039375286102295,25.015677191532237,0.2128887176513672,-0.7798347473144531,0.0128933332005132,-0.0015335570673455277,-0.3186148200074667,0.19168221213756992,-0.007357545352577055,0.014860752398079527,-0.004648521093170343,0.003617416308347099,1.0012054433920967,0.9951744497693462,25.768494471384546,24.24673456303928,59.8380002044755,-0.11895776775605782,-0.15147123216356784
2015-10-20,25.494895935058594,0.018093196110392052,0.018257869640710744,25.011759948730468,25.132499656677247,26.552511615753176,27.049294462203978,25.061317071868082,0.5512580871582031,0.08290863037109375,0.013142213972321683,0.00016286344478072222,-0.4634997502234975,0.33302478751897013,0.0061947415544427575,-0.007357545352577055,0.0017010747205765443,0.00477277751411091,1.0193163530802496,1.0144194283629508,25.782752348723278,24.240767548737658,62.07374483802718,-0.06730981920662416,-0.13463894957217912
2015-10-21,25.492656707763672,-8.783427249578998e-05,-8.783041517901324e-05,25.00548553466797,25.13370964050293,26.516227188110353,27.05919140815735,25.102397037191473,0.66778564453125,-0.12548828125,0.013009482386295327,-0.00024552252994906583,-0.386337831894783,0.4155391100561649,0.018093196110392052,0.0061947415544427575,-0.014234713300235464,-0.004772777514110941,1.0194825720308562,1.0142814997226792,25.757508853784927,24.25346221555101,65.3001356478415,-0.02625646660359493,-0.11296245297846227
2015-10-22,25.882585525512695,0.015179930580855849,0.015295730932205043,25.01108846664429,25.134875068664552,26.485135860443116,27.069389400482176,25.176700702745876,1.344552993774414,0.11205863952636719,0.013399153216241253,0.00021694494309523236,-0.38520148028496026,0.15468350372174944,-8.783427249578998e-05,0.018093196110392052,0.014860752398079527,-0.01162175395238417,1.0348444275038517,1.029747928120013,25.78835748627008,24.233819447018497,67.5343111020944,0.037312492738912795,-0.08290746383498726
2015-10-23,26.684833526611328,0.03052500227461162,0.03099566696332756,25.06005268096924,25.152488861083985,26.461710147857666,27.079018144607545,25.32033240025687,1.5596847534179688,0.9792842864990234,0.014987112860789895,0.0018694239485270066,-0.1603754388645915,0.01599193810642421,0.015179930580855849,-8.783427249578998e-05,-0.007357545352577055,0.02364502554496899,1.0648354920209708,1.0609221884160416,26.100386204040397,24.01971915789808,73.34086185090472,0.15068901091269282,-0.03618816888545123
2015-10-26,25.833276748657227,-0.032431913989083315,-0.03191163913782302,25.091873550415038,25.14944122314453,26.431464233398437,27.084256343841552,25.369184242961666,0.8246517181396484,0.6364173889160156,0.01615511899166097,0.001247204957267056,-0.4145349235152679,0.22908144505965944,0.03052500227461162,0.015179930580855849,0.0061947415544427575,-0.004648521093170343,1.0295475424245444,1.027190883465171,26.18729980949811,23.996447291331965,59.42985816810135,0.16986905840962763,0.005023276573564552
2015-10-27,25.669687271118164,-0.00635264516537974,-0.006332509775306194,25.15338659286499,25.137743453979493,26.40116630554199,27.091730270385742,25.39780357897657,0.6184844970703125,1.2302608489990234,0.014469672870598404,0.002455657346879279,-0.24554211144364158,0.6868190554666519,-0.032431913989083315,0.03052500227461162,0.018093196110392052,0.0017010747205765443,1.0205260900494262,1.0211611602335158,26.232597623001922,24.07417556272806,58.870465453756026,0.16991045857180254,0.03800071297321216
2015-10-28,26.727407455444336,0.04037872322871016,0.04120502806110338,25.253891944885254,25.150158195495607,26.383341846466063,27.10341959953308,25.524432519592548,2.030275344848633,2.0101070404052734,0.01669483067081442,0.003909305763145212,0.22584898622711164,0.6034827340533507,-0.00635264516537974,-0.032431913989083315,-8.783427249578998e-05,-0.014234713300235464,1.0583480563619627,1.062713293796745,26.520271129107886,23.98751276066262,69.78526290823609,0.2523831319947192,0.08087719677751358
2015-10-29,27.009754180908203,0.01050853134549359,0.01056393987836457,25.376581859588622,25.174897880554198,26.36918851852417,27.116985321044922,25.665891725432132,1.9428634643554688,2.453798294067383,0.016567653742745863,0.004762181979520147,0.07774123994495041,0.6808956299903737,0.04037872322871016,-0.00635264516537974,0.015179930580855849,0.014860752398079527,1.064357458792366,1.0728843592160626,26.821174920406747,23.931988798770497,68.02390062662896,0.33664569887879736,0.13203089719777034
2015-10-30,26.77894401550293,-0.008582159070834894,-0.008545437468972628,25.478767490386964,25.205598335266114,26.349470100402833,27.13269411087036,25.771896705438877,1.8958072662353516,2.043712615966797,0.016818608175741732,0.00396936539351587,0.2021618573415354,0.4919742962798301,0.01050853134549359,0.04037872322871016,0.03052500227461162,-0.007357545352577055,1.051029804546335,1.0624204852949468,27.018349417225448,23.93918556354848,66.5686993807425,0.38041475433822214,0.1817076686258607
2015-11-02,27.155424118041992,0.013960902126981216,0.014058810620803719,25.59529514312744,25.27470817565918,26.33416341781616,27.151203594207765,25.90366122092489,2.117664337158203,2.3305530548095703,0.016965605440989052,0.0044865396844475745,0.10725266905430685,0.3389490002061682,-0.008582159070834894,0.01050853134549359,-0.032431913989083315,0.0061947415544427575,1.0609537403726115,1.074410985452803,27.273076099436395,23.917514186818487,68.5352735689161,0.4404041392529905,0.23344696275128668
2015-11-03,27.466907501220703,0.011405106677997804,0.011470392869753043,25.721458625793456,25.3618798828125,26.325139331817628,27.168250036239623,26.052541819048297,1.9720115661621094,2.5232696533203125,0.017036167161055722,0.00481815614264192,0.04494864889504762,0.2696166450231944,0.013960902126981216,-0.008582159070834894,-0.00635264516537974,0.018093196110392052,1.06785963816519,1.0829996683264305,27.56427903591447,23.878638215672442,74.58231595426432,0.5072331963001524,0.2882042094610599
