datetime,price_eur_mwh,load_mw,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil.1,Geothermal,Hydro Pumped Storage,Hydro Pumped Storage.1,Hydro Run-of-river and poundage,Hydro Water Reservoir,Hydro Water Reservoir.1,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore,renewable_generation,fossil_generation,residual_load,hour,day_of_week,month,quarter,weekend,season
2020-10-01 00:00:00+02:00,34.4,47415.192500000005,4192.7125,12365.59,7336.28,3330.2875,454.11,0.6975,26.8175,1404.82,2316.4125,1787.3875,148.9325,0.0,6626.745,325.21500000000003,150.025,0.2025,747.8175,5396.6525,7126.9375,18652.825,23486.2675,28762.367500000004,0,3,10,4,0,Autumn
2020-10-01 01:00:00+02:00,34.0,46022.7825,4181.9675,11744.395,7158.475,3055.6225,453.6075,0.6925,27.25,2090.1975,2620.9675,1796.005,167.37,0.0,6634.7875,315.4425,146.0025,0.1375,745.21,5335.344999999999,7489.1275,18969.9525,22412.1,27052.83,1,3,10,4,0,Autumn
2020-10-01 02:00:00+02:00,31.18,45186.69,4171.28,10848.405,6608.405,2862.8425,453.605,0.6425,27.65,2127.3875,2819.0675,1787.0125,137.45499999999998,0.0,6644.3175,329.0825,150.2425,0.15,744.5425,4910.71,7745.835,18752.4425,20773.2575,26434.2475,2,3,10,4,0,Autumn
2020-10-01 03:00:00+02:00,29.75,45215.84,4165.555,10792.105,6804.055,3113.1875,454.06,0.61,28.0875,2051.1175,2656.4275,1781.1225,113.855,0.0,6649.79,334.2025,149.68,0.145,732.9675,4933.855,8090.9775,19085.510000000002,21163.4075,26130.329999999994,3,3,10,4,0,Autumn
2020-10-01 04:00:00+02:00,31.1,46934.9875,4184.615,11396.74,6981.11,3261.44,453.6,0.63,28.1,2030.345,2899.315,1781.495,155.9875,0.0,6656.2325,334.21,150.7025,0.17,733.705,4663.3575,8334.74,19120.364999999998,22092.89,27814.622500000005,4,3,10,4,0,Autumn
2020-10-01 05:00:00+02:00,34.04,50799.925,4225.275,12549.44,8009.2575,3902.4675,452.8525,0.6775,28.095,1698.31,1735.98,1777.475,217.3575,0.0,6654.0475,344.865,158.01,0.1975,736.685,4735.8025,8621.9275,19578.035,24914.0175,31221.890000000003,5,3,10,4,0,Autumn
2020-10-01 06:00:00+02:00,43.58,59260.795,4351.735,13036.995,9968.8025,5683.1575,450.9725,0.6425000000000001,28.115,835.96,831.1675,1769.5825,341.19,0.0,6656.8150000000005,349.1225,155.975,0.5775,730.9475,5013.4925,9032.0675,20508.645,29139.9275,38752.149999999994,6,3,10,4,0,Autumn
2020-10-01 07:00:00+02:00,52.25,64424.662500000006,4494.72,13034.7525,10706.4225,6408.305,448.595,0.6675,27.9,1886.415,2288.1675,1757.0325,417.33,0.0,6669.49,349.115,154.585,375.6275,728.2175,5276.745,9156.7925,21478.247500000005,30598.075000000004,42946.415,7,3,10,4,0,Autumn
2020-10-01 08:00:00+02:00,55.05,66234.0925,4545.3975,12990.0975,10594.5125,6742.0025,448.675,0.635,27.025,3131.8450000000003,2186.9125,1765.1725,556.215,0.0,6677.285,348.9725,153.98,3216.6125,730.9975,5388.4375,8497.09,23968.925,30775.2875,42265.167499999996,8,3,10,4,0,Autumn
2020-10-01 09:00:00+02:00,51.13,66581.6425,4518.905,13015.4525,10274.775,6738.555,446.095,0.695,25.7175,2224.755,2071.8775,1761.6175,441.3175,0.0,6666.175,351.29,154.7025,7706.7075,730.9975,5460.555,7388.285,27277.3875,30474.877500000002,39304.255000000005,9,3,10,4,0,Autumn
