model,MAE,RMSE,MAPE
Previous Hour,13.745244918433219,23.27134566578245,191384322296176.6
Previous Day,26.842599886591646,42.52272792576362,1006458064330686.1
Previous Week,32.54683154497078,51.06785861783277,858680632171570.2
