timestamp,country,actual_price,forecast_price,error,absolute_error,percentage_error
2026-01-08 00:00:00+00:00,germany,83.08250000000001,68.8062,14.276301879882825,14.276301879882825,17.18328394052035
2026-01-08 01:00:00+00:00,germany,84.52250000000001,57.697956,26.82454391479493,26.82454391479493,31.736571817912303
2026-01-08 02:00:00+00:00,germany,82.4725,54.626793,27.845707092285156,27.845707092285156,33.76362677533136
2026-01-08 03:00:00+00:00,germany,85.265,53.478947,31.786053314208985,31.786053314208985,37.279133658838894
2026-01-08 04:00:00+00:00,germany,87.8875,58.11747,29.770030212402347,29.770030212402347,33.872883188624485
2026-01-08 05:00:00+00:00,germany,97.88,69.70046,28.1795376586914,28.1795376586914,28.789883182153048
2026-01-08 06:00:00+00:00,germany,126.7125,83.61762,43.09487762451173,43.09487762451173,34.009965571282805
2026-01-08 07:00:00+00:00,germany,168.81,90.789,78.02099853515625,78.02099853515625,46.21823264922472
2026-01-08 08:00:00+00:00,germany,192.72,91.51882,101.2011782836914,101.2011782836914,52.51202692179919
2026-01-08 09:00:00+00:00,germany,207.9325,90.72188,117.2106219482422,117.2106219482422,56.36955355619838
2026-01-08 10:00:00+00:00,germany,213.1125,84.21624,128.8962600708008,128.8962600708008,60.482730985184254
2026-01-08 11:00:00+00:00,germany,220.27,81.57806,138.6919436645508,138.6919436645508,62.96451793914323
2026-01-08 12:00:00+00:00,germany,236.215,81.13319,155.08181365966797,155.08181365966797,65.65282207297079
2026-01-08 13:00:00+00:00,germany,264.585,84.40165,180.18335052490232,180.18335052490232,68.10036492049902
2026-01-08 14:00:00+00:00,germany,264.42,83.8862,180.5338000488281,180.5338000488281,68.27539522306488
2026-01-08 15:00:00+00:00,germany,259.49,88.285965,171.2040350341797,171.2040350341797,65.97712244563554
2026-01-08 16:00:00+00:00,germany,233.8525,93.10995,140.74255279541015,140.74255279541015,60.18432678522152
2026-01-08 17:00:00+00:00,germany,199.3975,91.7514,107.64609619140626,107.64609619140626,53.9856799565723
2026-01-08 18:00:00+00:00,germany,139.2475,87.94956,51.297937927246096,51.297937927246096,36.83939598717829
2026-01-08 19:00:00+00:00,germany,102.125,85.469894,16.655105590820312,16.655105590820312,16.30854892613984
2026-01-08 20:00:00+00:00,germany,94.4825,81.91208,12.570421142578128,12.570421142578128,13.304496750803722
2026-01-08 21:00:00+00:00,germany,91.305,78.56145,12.74355285644532,12.74355285644532,13.957124863310137
2026-01-08 22:00:00+00:00,germany,79.035,76.35941,2.6755868530273403,2.6755868530273403,3.385318976437452
2026-01-08 23:00:00+00:00,germany,78.9625,73.94483,5.017668151855474,5.017668151855474,6.3544950474661706
2026-01-09 00:00:00+00:00,germany,70.69,71.6187,-0.9286981201171898,0.9286981201171898,1.3137616637674208
2026-01-09 01:00:00+00:00,germany,57.35,70.019264,-12.669264221191405,12.669264221191405,22.09113203346365
2026-01-09 02:00:00+00:00,germany,50.84,67.410065,-16.57006469726562,16.57006469726562,32.592574148830884
2026-01-09 03:00:00+00:00,germany,47.845,64.78508,-16.94007995605469,16.94007995605469,35.40616565169754
2026-01-09 04:00:00+00:00,germany,56.575,67.95533,-11.380329895019528,11.380329895019528,20.11547484758202
2026-01-09 05:00:00+00:00,germany,72.605,69.04267,3.5623287963867227,3.5623287963867227,4.906451065886265
2026-01-09 06:00:00+00:00,germany,84.3025,77.3776,6.924898376464839,6.924898376464839,8.21434521688543
2026-01-09 07:00:00+00:00,germany,89.7625,87.74898,2.0135223388671903,2.0135223388671903,2.2431665103658998
2026-01-09 08:00:00+00:00,germany,89.1475,92.06681,-2.9193106079101625,2.9193106079101625,3.2746971119887407
2026-01-09 09:00:00+00:00,germany,93.93,96.52192,-2.5919192504882744,2.5919192504882744,2.7594157888728565
2026-01-09 10:00:00+00:00,germany,85.795,101.28858,-15.49358184814453,15.49358184814453,18.05884008175829
2026-01-09 11:00:00+00:00,germany,83.015,101.225945,-18.210944519042968,18.210944519042968,21.93693250502074
2026-01-09 12:00:00+00:00,germany,82.85,103.34177,-20.49176635742188,20.49176635742188,24.733574360195394
2026-01-09 13:00:00+00:00,germany,82.83500000000001,112.104614,-29.26961425781249,29.26961425781249,35.33483944928169
2026-01-09 14:00:00+00:00,germany,85.245,117.64537,-32.40037048339843,32.40037048339843,38.00852892650411
2026-01-09 15:00:00+00:00,germany,87.5725,127.68171,-40.109209289550776,40.109209289550776,45.8011468092732
2026-01-09 16:00:00+00:00,germany,92.52,136.03972,-43.51971862792969,43.51971862792969,47.03817404661662
2026-01-09 17:00:00+00:00,germany,91.6625,136.18068,-44.51817932128907,44.51817932128907,48.56749414568561
2026-01-09 18:00:00+00:00,germany,87.28,126.06585,-38.78584930419922,38.78584930419922,44.438415793078846
2026-01-09 19:00:00+00:00,germany,82.80250000000001,114.74781,-31.94531036376952,31.94531036376952,38.58012785093387
2026-01-09 20:00:00+00:00,germany,80.36,111.3351,-30.975098266601563,30.975098266601563,38.54541845022594
2026-01-09 21:00:00+00:00,germany,80.35,104.641304,-24.291304016113287,24.291304016113287,30.231865608106144
2026-01-09 22:00:00+00:00,germany,74.51,95.65324,-21.14323638916015,21.14323638916015,28.376374163414507
2026-01-09 23:00:00+00:00,germany,72.78999999999999,96.020836,-23.23083587646485,23.23083587646485,31.91487275239024
2026-01-10 00:00:00+00:00,germany,69.775,91.756996,-21.98199615478515,21.98199615478515,31.504114876080468
2026-01-10 01:00:00+00:00,germany,66.2375,83.28427,-17.046771240234378,17.046771240234378,25.73583127417909
2026-01-10 02:00:00+00:00,germany,66.535,82.197784,-15.662784423828128,15.662784423828128,23.540669457921588
2026-01-10 03:00:00+00:00,germany,66.5125,81.334564,-14.822064208984372,14.822064208984372,22.2846295192398
2026-01-10 04:00:00+00:00,germany,68.46000000000001,80.238556,-11.778555908203115,11.778555908203115,17.20501885510242
2026-01-10 05:00:00+00:00,germany,69.96000000000001,84.98521,-15.025206604003898,15.025206604003898,21.476853350491563
2026-01-10 06:00:00+00:00,germany,76.66499999999999,84.54131,-7.876313171386727,7.876313171386727,10.273675303445806
