Date,AAPL,AMD,BAC,CVX,GOOGL,GS,INTC,JPM,KO,MA,MCD,MS,MSFT,NVDA,PEP,SBUX,V,XOM
2015-01-02,24.192602157592773,2.6700000762939453,14.050798416137695,68.89832305908203,26.244781494140625,154.87261962890625,27.896455764770508,46.06679153442383,29.390262603759766,79.71468353271484,69.80445098876953,28.405536651611328,39.68173599243164,0.48242294788360596,66.58292388916016,32.260986328125,61.088096618652344,57.14556121826172
2015-01-05,23.511058807373047,2.6600000858306885,13.642614364624023,66.14434814453125,25.74471664428711,150.03709411621094,27.581897735595703,44.63663864135742,29.390262603759766,77.47248077392578,69.03351593017578,27.51762580871582,39.31682586669922,0.47427481412887573,66.0823745727539,31.643028259277344,59.739646911621094,55.58192825317383
2015-01-06,23.51327133178711,2.630000114440918,13.234436988830566,66.11373901367188,25.10934829711914,147.00192260742188,27.067842483520508,43.47926712036133,29.613445281982422,77.30499267578125,69.16075897216797,26.725122451782227,38.739776611328125,0.4598955810070038,65.58177185058594,31.385536193847656,59.35470962524414,55.286434173583984
2015-01-07,23.84297752380371,2.5799999237060547,13.297233581542969,66.05868530273438,25.035505294799805,149.19265747070312,27.635602951049805,43.545597076416016,29.98308563232422,78.50749969482422,70.3658218383789,27.106700897216797,39.23196792602539,0.4586973190307617,67.49947357177734,32.15800476074219,60.14994812011719,55.84664535522461
2015-01-08,24.75908660888672,2.609999895095825,13.571975708007812,67.57032775878906,25.122730255126953,151.57460021972656,28.149639129638672,44.51869201660156,30.345754623413086,79.7286605834961,70.62779235839844,27.51029396057129,40.38608932495117,0.4759524166584015,68.72624206542969,32.67693328857422,60.956729888916016,56.77621078491211
2015-01-09,24.78563690185547,2.630000114440918,13.328633308410645,66.22391510009766,24.815950393676758,149.24842834472656,28.20334815979004,43.74465560913086,30.010982513427734,78.71259307861328,69.76702117919922,27.06266975402832,40.04664611816406,0.47786957025527954,68.26087951660156,31.607372283935547,60.053138732910156,56.69618225097656
2015-01-12,24.174901962280273,2.630000114440918,13.093146324157715,64.79798126220703,24.634559631347656,147.4320831298828,28.080585479736328,43.368682861328125,29.73898696899414,77.70586395263672,69.61732482910156,26.68842887878418,39.54597473144531,0.4718782305717468,67.97888946533203,31.781673431396484,59.935585021972656,55.60658645629883
2015-01-13,24.389541625976562,2.6600000858306885,12.912605285644531,63.76981735229492,24.869476318359375,147.32057189941406,28.003864288330078,43.376060485839844,29.732019424438477,77.88294219970703,69.48258972167969,26.438922882080078,39.34230041503906,0.47115927934646606,67.92957305908203,32.03520202636719,60.110774993896484,55.40342330932617
2015-01-14,24.29660987854004,2.630000114440918,12.590766906738281,63.58622360229492,25.074159622192383,143.57644653320312,27.888790130615234,41.87956237792969,29.683191299438477,77.7990493774414,68.51704406738281,25.837217330932617,39.002845764160156,0.47307655215263367,68.1551284790039,31.856935501098633,58.907527923583984,55.243370056152344
2015-01-15,23.637191772460938,2.5199999809265137,11.931401252746582,62.833465576171875,24.979005813598633,142.19024658203125,27.766021728515625,40.537879943847656,29.557649612426758,76.6711196899414,68.39730834960938,25.374921798706055,38.59550094604492,0.46972131729125977,68.1551284790039,31.524187088012695,58.3474006652832,54.76321029663086
