Date,AAPL,AMD,BAC,CVX,GOOGL,GS,INTC,JPM,KO,MA,MCD,MS,MSFT,NVDA,PEP,SBUX,V,XOM
2015-01-05,-0.028171560288558162,-0.003745314673225475,-0.0290505948078269,-0.03997158119783528,-0.01905387743331599,-0.03122259779864134,-0.011275913751453981,-0.03104520296356461,0.0,-0.028127851224158285,-0.01104421061513372,-0.03125837240061935,-0.009195921413368113,-0.016890021070672834,-0.007517683020942578,-0.01915496515086157,-0.022073853691154666,-0.027362282069743782
2015-01-06,9.410569010048775e-05,-0.011278184369081234,-0.029919292951055,-0.00046276260509048317,-0.02467956264373805,-0.02022947409550724,-0.018637414183861,-0.025928733798600834,0.007593762642804869,-0.0021619044139464805,0.0018432067420828258,-0.028799844959101817,-0.014676903403330055,-0.030318356981032246,-0.007575434832730266,-0.008137402758037093,-0.006443581545542587,-0.005316369706424684
2015-01-07,0.014022131900076396,-0.01901147853960916,0.004744938735618431,-0.0008327121073293808,-0.0029408569846397503,0.014902763340937764,0.020975460747377994,0.0015255536821967564,0.012482179861952547,0.015555360364450266,0.017424083889765907,0.014277893249058815,0.012705063316068355,-0.002605508784446875,0.029241383193495896,0.024612246931946746,0.01339806899728857,0.010132886846739186
2015-01-08,0.038422595674907134,0.011627896231359847,0.020661600383270473,0.02288332638058299,0.003484050323732335,0.0159655494406028,0.018600505279344315,0.022346574751929804,0.012095786122088725,0.015554703606901255,0.0037229796110567204,0.014889051415177157,0.029417881894223452,0.03761761168367017,0.01817448979580294,0.0161368384541547,0.013412842305162265,0.016644964505473814
2015-01-09,0.0010723454135508348,0.007662919597304585,-0.01792976975736771,-0.01992609335117923,-0.012211246880206805,-0.015346712916464389,0.001907982901806271,-0.017386773339658212,-0.011031925689106492,-0.012744068412120502,-0.01218742863760014,-0.016271153161231955,-0.008404953598153853,0.004028036269545954,-0.0067712497416210216,-0.032731376448127514,-0.014823484751437799,-0.0014095434131510265
2015-01-12,-0.024640679680475563,0.0,-0.017667751734480763,-0.021532007519267315,-0.007309442493700358,-0.012169945338710297,-0.004352769726423289,-0.008594712715586206,-0.009063200257169002,-0.012789937246395877,-0.00214566062256194,-0.013828675391068357,-0.012502205184460102,-0.012537604519015755,-0.0041310638431042435,0.005514572546403196,-0.0019574948690080918,-0.019218151053882804
2015-01-13,0.008878615682958557,0.011406832731696515,-0.013788972798698063,-0.015867221322090508,0.009536061960400799,-0.0007563566091005614,-0.00273217919411306,0.00017011410135081562,-0.00023428990916629644,0.002278827337641509,-0.001935367492971407,-0.009348845442994413,-0.005150317264636661,-0.0015235948147250822,-0.0007254664887568207,0.007977194640740537,0.0029229709171871843,-0.0036535806263223725
2015-01-14,-0.0038103113564686986,-0.011278184369081234,-0.0249243566102072,-0.002879006991438282,0.008230302126704059,-0.02541481693926162,-0.004109224231700015,-0.03450055378815897,-0.0016422740851522732,-0.0010771655499417498,-0.013896224337125007,-0.02275832316736659,-0.008628235952088503,0.0040692667855910525,0.003320430407029118,-0.005564707384140388,-0.020017161156792196,-0.002888869380511472
2015-01-15,-0.027140333955048224,-0.04182514400300241,-0.052368982674027786,-0.011838382333117181,-0.003794895223907413,-0.009654786593783715,-0.004402069846867973,-0.03203668705929674,-0.004229386447881511,-0.0144979880413173,-0.0017475318645632232,-0.01789262079988374,-0.010443976846672642,-0.007092371934534936,0.0,-0.010445085437501112,-0.009508585371760803,-0.008691717377731
2015-01-16,-0.007770222072743471,-0.051587252780272874,0.011841997042438157,0.02386315784872406,0.0127973068203866,-0.007058693491926893,0.00718452865733088,0.01709420047235466,0.0035397810930455353,0.01884513530459464,0.001203573195766916,0.008964904451498557,0.01671101357350402,0.018367345902909005,0.006413806250796794,0.012943017722977901,0.007189994966467328,0.02428076866519957
2015-01-20,0.02575729062859211,-0.06276154342405171,-0.007802033250926432,0.012842379448967156,-0.001018638037743158,-0.009028183135423973,-0.00987663330600641,-0.003933415602542345,0.014812325130263426,0.005489206764060617,-0.007541643818095856,-0.0040126546651078066,0.0032438147525910566,0.003006157230041495,0.0022613807313811574,0.007567344528073505,0.007413441849430047,-0.0003300368637507711
2015-01-21,0.0076341911805513085,0.0937500166307601,0.009829329058724356,0.015873023307224177,0.02049262664526741,0.008654890298210205,0.010805963614531233,0.003231033826792462,0.004634160420546873,-0.006408824924431955,-0.0050663050469966775,-0.0005756527030993386,-0.010131567548983922,0.013985797232432429,-0.0011278617702913385,0.0008616130007168543,0.001713252698104073,0.008563314628698304
2015-01-22,0.026015674206877337,0.008163257362146625,0.04412705343157808,0.007026665922860165,0.03249483371716999,0.027603667831308076,0.011787618693446467,0.030416763226864596,0.009686808639786992,0.007883630180884893,0.006088048219670794,0.02303488027819678,0.026350247037236985,0.01724128425327609,0.015400258624530316,0.01783769798735957,0.0012436486853917295,0.010885004305436485
2015-01-23,0.005160022665541719,-0.008097158176053498,-0.022373870287896835,-0.019004914241135706,0.008654485287797664,-0.00851459008186306,-0.01246264147542675,-0.0158014795478314,-0.010735632206884116,0.00011833532078475706,-0.01463311732769823,-0.010695241935625432,0.0010606940970050438,0.0029055893919038844,-0.0037414219416660455,0.06623154218377425,0.002678676112755518,-0.021319737206372813
2015-01-26,0.001062076182317906,0.065306058897173,0.007628819159634315,0.018998463308112168,-0.009650457281469516,-0.0003883052106548046,-0.017558133348974714,0.0015883720720037964,-0.007157700970821801,-0.009361059057273913,0.012393678195259383,-0.0011379081361763133,-0.0036029770102512515,-0.004345366801510542,0.0016240327411678468,-0.0011340357317859429,-0.0068138976704371634,0.009571562650036114
2015-01-27,-0.03501323462132122,0.03448281846945678,-0.013880125022305734,-0.005694284705075492,-0.02893512601238668,-0.021782415563891377,-0.04523899161535361,-0.010040789368020442,-0.01418646842668081,-0.021890206801486345,-0.012131110424357328,-0.012816864371595682,-0.09253363159449335,-0.048011746611261064,-0.019961843875683227,0.0024966401470138955,-0.02159639514520273,-0.008827372208131568
