Total Return,Sharpe Ratio,Max Drawdown,Pair,Trades
0.46493175966137534,0.2668675490979848,-0.3507877070107165,AAPL-AMD,210.0
0.1607528450018647,0.21987603890966953,-0.17049824302336639,KO-MA,220.0
0.13295673043469503,0.19429808036326715,-0.1639021241340553,KO-V,220.0
0.12889559109805226,0.17678495048476595,-0.13311026671844356,MA-V,222.0
-0.5428508190342829,0.07697120547867577,-0.8772759102480269,AAPL-KO,214.0
-0.04445342567172239,0.07586475512885602,-0.645731128986084,GOOGL-MS,206.0
-0.15191332630022591,0.0252676168304577,-0.5381760012909255,AMD-MSFT,198.0
-0.04088894485896233,0.00894322538695752,-0.4151657811383208,AAPL-MSFT,222.0
-0.49214548994310525,-0.093887815818501,-0.7174658592105632,AMD-V,216.0
-0.5023396179988309,-0.17947950457997106,-0.6046961590875147,AMD-GOOGL,202.0
-0.6453184036752517,-0.2899479234209333,-0.7893282217661608,AMD-MA,228.0
-0.2926397904540359,-0.3406487038294483,-0.39388612319759086,KO-MSFT,210.0
