Datetime,Price,Temperature,Humidity,WindSpeed,Rain,Volatility_24h,Spike_Flag,Negative_Price,Position,PnL,Cumulative_PnL
2023-01-01 23:00:00,35.0,9.2,89.0,2.9,0.0,23.49965562498212,0,0,0,,
2023-01-02 00:00:00,57.91,9.0,89.0,1.8,0.0,24.65497174778463,0,0,0,0.0,0.0
2023-01-02 01:00:00,51.67,8.6,92.0,3.2,0.0,25.266758006220897,0,0,0,-0.0,0.0
2023-01-02 02:00:00,52.93,8.6,91.0,3.2,0.0,25.717448300744177,0,0,0,0.0,0.0
2023-01-02 03:00:00,44.09,8.3,91.0,2.2,0.0,25.42271784108726,0,0,0,-0.0,0.0
2023-01-02 04:00:00,50.08,8.1,93.0,1.8,0.0,25.19807267762094,0,0,0,0.0,0.0
2023-01-02 05:00:00,69.72,9.8,81.0,4.3,0.0,25.745164116049427,0,0,0,0.0,0.0
2023-01-02 06:00:00,105.08,10.6,75.0,5.4,0.0,28.944855503956617,1,0,0,0.0,0.0
2023-01-02 07:00:00,140.64,10.4,76.0,6.1,0.0,35.22785385112925,1,0,0,0.0,0.0
2023-01-02 08:00:00,145.98,11.4,70.0,7.9,0.0,40.19722673215805,1,0,0,0.0,0.0
2023-01-02 09:00:00,147.05,13.3,58.0,16.9,0.0,43.84392447128197,1,0,0,0.0,0.0
2023-01-02 10:00:00,145.61,13.5,58.0,19.8,0.0,46.24224368961,0,0,0,-0.0,0.0
2023-01-02 11:00:00,143.35,13.6,61.0,20.5,0.0,47.54703062247413,0,0,0,-0.0,0.0
2023-01-02 12:00:00,144.38,13.0,72.0,29.5,0.0,48.12317542372198,0,0,0,0.0,0.0
2023-01-02 13:00:00,143.76,12.7,76.0,28.1,0.0,47.9003302990034,0,0,0,-0.0,0.0
2023-01-02 14:00:00,148.2,12.5,79.0,24.5,0.0,47.22700257567284,0,0,0,0.0,0.0
2023-01-02 15:00:00,155.34,11.7,89.0,20.9,0.1,47.7213577120775,0,0,0,0.0,0.0
2023-01-02 16:00:00,162.89,10.7,95.0,21.6,0.9,48.746038365600334,0,0,0,0.0,0.0
2023-01-02 17:00:00,170.0,9.7,96.0,20.2,0.9,50.064147539337775,0,0,0,0.0,0.0
2023-01-02 18:00:00,174.74,9.9,91.0,15.5,0.0,51.508413944376294,0,0,0,0.0,0.0
2023-01-02 19:00:00,164.46,9.1,90.0,19.8,0.0,51.871549118674054,0,0,0,-0.0,0.0
2023-01-02 20:00:00,153.0,8.6,89.0,14.8,0.0,51.07469815009374,0,0,0,-0.0,0.0
2023-01-02 21:00:00,141.67,7.9,89.0,17.6,0.0,49.311670442683514,0,0,0,-0.0,0.0
2023-01-02 22:00:00,134.91,7.5,90.0,16.2,0.0,47.07974827700428,0,0,0,-0.0,0.0
2023-01-02 23:00:00,124.22,6.8,94.0,19.4,0.0,43.45032395936667,0,0,0,-0.0,0.0
2023-01-03 00:00:00,130.01,6.4,95.0,14.4,0.0,41.125466871055934,0,0,0,0.0,0.0
2023-01-03 01:00:00,120.0,5.8,98.0,13.0,0.0,37.938091367785425,0,0,0,-0.0,0.0
2023-01-03 02:00:00,118.76,5.7,97.0,10.1,0.0,34.35944372641103,0,0,0,-0.0,0.0
2023-01-03 03:00:00,115.0,5.7,98.0,10.4,0.0,29.076904672369924,0,0,0,-0.0,0.0
2023-01-03 04:00:00,113.63,4.6,99.0,5.8,0.0,23.290093185294715,0,0,0,-0.0,0.0
2023-01-03 05:00:00,116.27,4.6,99.0,3.2,0.0,18.874930880956114,0,0,0,0.0,0.0
2023-01-03 06:00:00,138.92,2.6,100.0,4.3,0.0,17.359442941498198,0,0,0,0.0,0.0
2023-01-03 07:00:00,159.92,2.0,100.0,7.9,0.0,17.76572407735623,0,0,0,0.0,0.0
2023-01-03 08:00:00,169.17,1.6,99.0,6.1,0.0,18.59333422321648,0,0,0,0.0,0.0
2023-01-03 09:00:00,171.18,2.7,97.0,5.4,0.0,19.446997826310444,0,0,0,0.0,0.0
2023-01-03 10:00:00,168.57,5.3,93.0,7.2,0.0,20.076931598915646,0,0,0,-0.0,0.0
2023-01-03 11:00:00,169.49,5.6,92.0,6.5,0.0,20.67802960909221,0,0,0,0.0,0.0
2023-01-03 12:00:00,164.5,7.9,87.0,14.4,0.0,21.006821869008014,0,0,0,-0.0,0.0
2023-01-03 13:00:00,160.91,8.5,80.0,15.1,0.0,21.18187761107207,0,0,0,-0.0,0.0
2023-01-03 14:00:00,163.06,8.9,78.0,16.2,0.0,21.411846155740587,0,0,0,0.0,0.0
2023-01-03 15:00:00,167.73,9.2,75.0,13.0,0.0,21.734410100748946,0,0,0,0.0,0.0
2023-01-03 16:00:00,166.61,8.6,80.0,13.7,0.0,21.851649719666845,0,0,0,-0.0,0.0
2023-01-03 17:00:00,170.72,7.3,84.0,12.2,0.0,21.8821633695548,0,0,0,0.0,0.0
2023-01-03 18:00:00,168.93,6.4,85.0,12.6,0.0,21.616239399976656,0,0,0,-0.0,0.0
2023-01-03 19:00:00,160.99,4.8,93.0,10.8,0.0,21.51845271076011,0,0,0,-0.0,0.0
2023-01-03 20:00:00,149.62,3.6,97.0,6.5,0.0,21.499960056417265,0,0,0,-0.0,0.0
2023-01-03 21:00:00,130.99,3.1,99.0,3.2,0.0,21.757169928488015,0,0,0,-0.0,0.0
2023-01-03 22:00:00,114.27,3.2,97.0,4.3,0.0,22.68868305894542,0,0,0,-0.0,0.0
2023-01-03 23:00:00,93.66,2.7,98.0,4.7,0.0,24.795774706532217,0,0,1,-0.0,0.0
2023-01-04 00:00:00,80.89,3.6,96.0,7.6,0.0,27.990478346746976,0,0,1,-12.769999999999996,-12.769999999999996
2023-01-04 01:00:00,70.67,4.4,95.0,10.8,0.0,31.42316263522819,0,0,1,-10.219999999999999,-22.989999999999995
2023-01-04 02:00:00,40.0,4.7,95.0,15.5,0.0,37.47042461748324,0,0,1,-30.67,-53.66
2023-01-04 03:00:00,8.68,5.3,94.0,16.6,0.0,45.74874642299353,0,0,1,-31.32,-84.97999999999999
2023-01-04 04:00:00,0.85,5.7,91.0,16.2,0.0,53.14196709444116,0,0,1,-7.83,-92.80999999999999
2023-01-04 05:00:00,11.02,5.5,93.0,22.3,0.8,58.3625149808617,0,0,1,10.17,-82.63999999999999
2023-01-04 06:00:00,61.02,5.5,92.0,25.2,0.0,59.708640368052684,0,0,1,50.0,-32.639999999999986
