Date,Daily_PnL,Cumulative_PnL,Running_Peak,Drawdown,Rolling_Volatility,Rolling_Mean,Rolling_Sharpe,VaR95,Month
2023-01-01,0.0,0.0,0.0,0.0,,,,,2023-01
2023-01-02,0.0,0.0,0.0,0.0,,,,,2023-01
2023-01-03,-7.5,-7.5,0.0,-7.5,,,,,2023-01
2023-01-04,51.95,44.45,44.45,0.0,,,,,2023-01
2023-01-05,0.0,44.45,44.45,0.0,,,,,2023-01
2023-01-06,0.0,44.45,44.45,0.0,,,,,2023-01
2023-01-07,-77.41,-32.959999999999994,44.45,-77.41,,,,,2023-01
2023-01-08,0.0,-32.959999999999994,44.45,-77.41,,,,,2023-01
2023-01-09,0.0,-32.959999999999994,44.45,-77.41,,,,,2023-01
2023-01-10,40.91,7.950000000000003,44.45,-36.5,,,,,2023-01
2023-01-11,0.0,7.950000000000003,44.45,-36.5,,,,,2023-01
2023-01-12,106.0,113.95,113.95,0.0,,,,,2023-01
2023-01-13,78.88,192.82999999999998,192.82999999999998,0.0,,,,,2023-01
2023-01-14,-24.83,168.0,192.82999999999998,-24.829999999999984,,,,,2023-01
2023-01-15,26.66,194.66,194.66,0.0,,,,,2023-01
2023-01-16,0.0,194.66,194.66,0.0,,,,,2023-01
2023-01-17,0.0,194.66,194.66,0.0,,,,,2023-01
2023-01-18,36.94,231.6,231.6,0.0,,,,,2023-01
2023-01-19,0.0,231.6,231.6,0.0,,,,,2023-01
2023-01-20,0.0,231.6,231.6,0.0,,,,,2023-01
2023-01-21,65.97999999999998,297.58,297.58,0.0,,,,,2023-01
2023-01-22,0.0,297.58,297.58,0.0,,,,,2023-01
2023-01-23,0.0,297.58,297.58,0.0,,,,,2023-01
2023-01-24,0.0,297.58,297.58,0.0,,,,,2023-01
2023-01-25,0.0,297.58,297.58,0.0,,,,,2023-01
2023-01-26,46.64999999999998,344.22999999999996,344.22999999999996,0.0,,,,,2023-01
2023-01-27,50.99,395.21999999999997,395.21999999999997,0.0,,,,,2023-01
2023-01-28,31.97999999999999,427.19999999999993,427.19999999999993,0.0,,,,,2023-01
2023-01-29,43.16999999999999,470.3699999999999,470.3699999999999,0.0,,,,,2023-01
2023-01-30,0.0,470.3699999999999,470.3699999999999,0.0,34.845418374933274,15.678999999999998,7.1428733085936695,-17.031499999999994,2023-01
2023-01-31,43.19,513.56,513.56,0.0,35.066801839694016,17.118666666666666,7.7495064963254565,-17.031499999999994,2023-01
2023-02-01,0.0,513.56,513.56,0.0,35.066801839694016,17.118666666666666,7.7495064963254565,-17.031499999999994,2023-02
2023-02-02,0.0,513.56,513.56,0.0,34.911628408897215,17.368666666666666,7.897627472409629,-13.656499999999994,2023-02
2023-02-03,24.570000000000007,538.13,538.13,0.0,34.329455493537296,16.456,7.609526504096505,-13.656499999999994,2023-02
2023-02-04,0.0,538.13,538.13,0.0,34.329455493537296,16.456,7.609526504096505,-13.656499999999994,2023-02
2023-02-05,31.36999999999999,569.5,569.5,0.0,34.28866245551881,17.501666666666665,8.102688331319714,-13.656499999999994,2023-02
2023-02-06,0.0,569.5,569.5,0.0,29.474711007328242,20.081999999999997,10.815775832154351,0.0,2023-02
2023-02-07,0.0,569.5,569.5,0.0,29.474711007328242,20.081999999999997,10.815775832154351,0.0,2023-02
2023-02-08,0.0,569.5,569.5,0.0,29.474711007328242,20.081999999999997,10.815775832154351,0.0,2023-02
2023-02-09,0.0,569.5,569.5,0.0,29.424182299989035,18.71833333333333,10.098643582213494,0.0,2023-02
2023-02-10,11.939999999999998,581.44,581.44,0.0,29.24245278208795,19.11633333333333,10.377459994134554,0.0,2023-02
2023-02-11,0.0,581.44,581.44,0.0,24.382469416110947,15.582999999999998,10.145504618923601,0.0,2023-02
2023-02-12,0.0,581.44,581.44,0.0,21.39090807237783,12.953666666666665,9.613106778954231,0.0,2023-02
2023-02-13,0.0,581.44,581.44,0.0,20.33274795841008,13.78133333333333,10.759582760618438,0.0,2023-02
2023-02-14,0.0,581.44,581.44,0.0,20.333064448947603,12.892666666666663,10.065612044489706,0.0,2023-02
