datetime,price_eur_mwh,load_mw,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Gas.1,Fossil Hard coal,Fossil Oil,Fossil Oil.1,Geothermal,Hydro Pumped Storage,Hydro Pumped Storage.1,Hydro Run-of-river and poundage,Hydro Water Reservoir,Hydro Water Reservoir.1,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2020-08-01 00:00:00+02:00,33.35,43519.535,4239.955,8950.15,7699.110000000001,0.0,1357.495,380.98,0.425,14.16,273.88,1381.9,1710.9925,177.0575,0.0,6416.485,279.89250000000004,126.265,0.15,846.9000000000001,4793.155000000001,11302.605
2020-08-01 01:00:00+02:00,24.6,41567.442500000005,4214.755,7646.105,7511.1825,0.6366666666666667,1195.5149999999999,380.975,0.41,14.445,346.65,1041.515,1731.4975,104.58,0.0,6424.7975,279.70000000000005,126.1725,0.1475,858.7874999999999,4972.6275000000005,11727.665
2020-08-01 02:00:00+02:00,24.28,40239.295,4212.594999999999,6838.2875,7518.1900000000005,0.6325000000000001,1100.5225,380.975,0.4975,14.620000000000001,317.59499999999997,2119.5175,1732.045,92.43,0.0,6435.1224999999995,273.27,127.1075,0.16,858.9449999999999,4978.525,11837.49
2020-08-01 03:00:00+02:00,23.99,39451.565,4194.8825,6829.805,7440.13,0.6325000000000001,1115.345,380.9725,0.4525,14.7525,818.5425,1754.16,1732.045,140.245,0.0,6433.9375,273.1775,126.8875,0.17,852.9300000000001,5022.735000000001,11536.585
2020-08-01 04:00:00+02:00,23.67,39266.15,4197.4575,7025.7575,7307.705,0.6325000000000001,1266.705,380.9725,0.4225,14.95,761.475,1969.515,1729.5425,117.35249999999999,0.0,6438.85,273.175,125.6725,0.185,853.3475,4989.1025,11036.82
2020-08-01 05:00:00+02:00,24.0,39740.957500000004,4222.28,7220.28,7272.7375,0.6375,1297.6775,381.345,0.4175,14.9975,687.5,1329.0300000000002,1725.6325,77.8625,0.0,6445.42,273.1775,125.6875,35.595,854.9625,4771.3625,10158.1875
2020-08-01 06:00:00+02:00,25.0,40739.0525,4296.555,7990.4675,7518.115,0.6325000000000001,1414.1775,380.97,0.4075,15.032499999999999,781.4599999999999,586.715,1719.6425,135.4725,0.0,6458.54,273.27,124.9025,1029.9225000000001,883.1475,4267.4475,8863.0625
2020-08-01 07:00:00+02:00,27.59,43354.51,4383.795,8715.0575,7778.005,0.61,1334.0900000000001,380.97,0.41500000000000004,14.317499999999999,451.8575,304.94,1716.4,285.4875,0.0,6458.8425,273.565,122.6375,4866.495,917.2025,3930.65,6721.5
2020-08-01 08:00:00+02:00,25.93,47071.302500000005,4457.8625,8731.28,7805.9175000000005,0.0,1376.1225,381.38750000000005,0.4075,13.115,400.8825,287.4175,1724.72,87.0875,0.0,6454.51,273.8375,120.8725,10806.5825,912.24,3263.7425,4472.54
2020-08-01 09:00:00+02:00,24.4,50568.4075,4453.305,8543.1175,7955.03,0.0,1437.7975000000001,380.97,0.4225,12.055,547.3050000000001,527.4625,1731.5625,309.125,0.0,6443.4775,273.85,119.35499999999999,16618.6825,909.8225,2404.6975,3655.8125
2020-08-01 10:00:00+02:00,23.22,52799.3925,4416.0675,8566.1075,7753.505,0.0,1442.73,380.97,0.435,11.33,1060.78,815.0575,1718.8,193.82,0.0,6424.315,273.5025,117.305,20891.1775,902.2275,1877.7675,3829.8975
2020-08-01 11:00:00+02:00,23.37,54238.9925,4340.7325,8643.095000000001,7706.2575,0.0,1263.745,380.9725,0.42,10.705,2131.235,871.2775,1705.0975,94.1975,0.0,6397.34,273.5575,118.88,23571.739999999998,897.6825,2000.4475,4547.4349999999995
2020-08-01 12:00:00+02:00,24.31,53819.0375,4266.8225,8232.9575,7545.2875,0.61,1259.5675,380.9725,0.4325,10.3975,1988.5925,2480.7575,1701.8025,78.325,0.0,6381.5225,273.4625,120.1275,25274.6725,896.0725,2056.5775,4699.04
2020-08-01 13:00:00+02:00,23.74,52421.520000000004,4243.735000000001,7889.665,7484.5575,0.65,1258.4925,380.97,0.4875,10.235,1984.395,3222.8075,1701.92,97.7175,0.0,6377.4625,273.5525,116.9075,25377.085,894.2025,2195.36,4713.1525
2020-08-01 14:00:00+02:00,23.11,50961.115,4201.6425,7604.077499999999,7508.5875,0.0,1196.5325,380.9775,0.4225,10.135,1990.5525,3144.425,1691.5275,52.2975,0.0,6368.4025,273.365,116.89,24233.010000000002,896.6775,2232.5375,4286.0325
2020-08-01 15:00:00+02:00,23.16,49507.9675,4197.2725,7761.505,7720.2175,0.635,1176.9325,381.39750000000004,0.415,9.8225,1958.5375000000001,2046.5124999999998,1679.945,159.13,0.0,6368.6275,273.2025,119.235,21228.295,882.75,2154.315,3745.1525
2020-08-01 16:00:00+02:00,25.54,48637.645000000004,4226.0075,8354.435000000001,7467.52,0.6375,1273.875,380.98,0.415,9.7375,847.7475000000001,1256.5225,1663.2625,117.565,0.0,6375.5675,273.295,114.81,16994.235,885.24,2186.9075000000003,3770.715
2020-08-01 17:00:00+02:00,32.62,49165.945,4292.935,9322.994999999999,7173.1875,0.67,1383.185,380.98,0.40249999999999997,9.7575,822.14,511.7,1652.1675,168.015,0.0,6363.6875,273.175,112.785,12121.727499999999,886.89,2533.17,4409.445
2020-08-01 18:00:00+02:00,38.43,49218.0075,4378.8525,10296.335,7349.9325,0.63,1330.33,380.98,0.4125,10.16,1114.2275,745.865,1630.155,178.05,0.0,6374.9175,273.175,114.7475,6711.2675,881.07,2667.535,4798.8925
2020-08-01 19:00:00+02:00,38.78,47861.4325,4430.4349999999995,10616.0975,7622.4625,0.0,1276.87,381.315,0.40249999999999997,11.035,2138.0525,2333.11,1612.1,237.04250000000002,0.0,6382.43,273.175,116.7725,2765.715,885.0875,2536.42,4614.035
2020-08-01 20:00:00+02:00,38.37,46187.305,4450.7725,10665.9875,7994.504999999999,0.0,1296.8274999999999,380.98,0.43,12.23,1810.67,2403.7174999999997,1615.5149999999999,263.025,0.0,6389.725,273.175,115.6925,557.38,900.2375,2063.4375,4668.5
2020-08-01 21:00:00+02:00,37.78,46179.065,4429.6025,10691.0225,8371.1775,0.0,1350.685,380.98,0.485,12.0625,2522.745,2396.5075,1593.78,477.5575,0.0,6402.3375,273.1775,115.2275,8.035,906.89,1710.81,5255.575
2020-08-01 22:00:00+02:00,37.12,45231.62,4383.45,10760.47,8639.3575,0.0,1460.2024999999999,381.315,0.4475,12.8225,2654.395,2323.3325,1578.1875,526.52,0.0,6414.6175,273.275,114.6775,0.155,908.4,1732.18,5164.4525
2020-08-01 23:00:00+02:00,33.09,42568.41,4323.2525000000005,10477.27,8636.9075,0.0,1350.875,381.02250000000004,0.4375,13.3325,901.54,2296.0225,1563.05,287.93,0.0,6425.195,273.18,115.0175,0.14,906.4075,1719.8825000000002,4825.9075
2020-08-02 00:00:00+02:00,30.67,40176.05,4242.2225,9150.4725,8022.895,0.5,1505.5300000000002,381.0625,0.4175,15.425,221.30249999999998,906.075,1565.5349999999999,190.09,0.0,6431.675,184.13,115.3725,0.165,844.225,1670.675,4276.6425
2020-08-02 01:00:00+02:00,27.82,38282.457500000004,4219.015,8567.225,7998.030000000001,0.63,1611.46,381.395,0.4325,15.99,319.9075,746.8625,1584.9125,170.1225,0.0,6440.6825,184.18,115.58,0.175,840.84,1623.875,3834.0299999999997
2020-08-02 02:00:00+02:00,26.97,36987.494999999995,4200.84,8163.6675000000005,8056.7,0.63,1645.5075,381.475,0.4225,16.5425,265.2575,822.7275,1591.0425,115.805,0.0,6450.47,184.13,116.00750000000001,0.18,842.3025,1277.2375,3471.0074999999997
2020-08-02 03:00:00+02:00,25.25,36086.380000000005,4186.77,7860.0125,8036.5875,0.63,1596.5974999999999,381.3075,0.40249999999999997,16.7025,793.03,880.17,1607.2675,157.6375,0.0,6415.175,184.13,116.39750000000001,0.19,847.3975,967.5725,3165.4175
2020-08-02 04:00:00+02:00,25.23,36142.14,4203.6849999999995,7836.925,7882.6875,0.63,1558.115,380.97,0.4125,16.77,895.8525,1525.2125,1623.2275,252.74,0.0,6165.435,184.13,116.64,0.21000000000000002,848.36,830.49,3213.93
