Country,ISO3,Date,Metric,Unit,Value
Belgium,BEL,2015-05-01,Demand,TWh,6.97
Belgium,BEL,2015-05-01,Bioenergy,%,3.84
Belgium,BEL,2015-05-01,Coal,%,1.54
Belgium,BEL,2015-05-01,Gas,%,26.87
Belgium,BEL,2015-05-01,Hydro,%,0.38
Belgium,BEL,2015-05-01,Nuclear,%,40.88
Belgium,BEL,2015-05-01,Solar,%,7.87
Belgium,BEL,2015-05-01,Wind,%,7.49
Belgium,BEL,2015-05-01,Bioenergy,TWh,0.2
Belgium,BEL,2015-05-01,Coal,TWh,0.08
Belgium,BEL,2015-05-01,Gas,TWh,1.4
Belgium,BEL,2015-05-01,Hydro,TWh,0.02
Belgium,BEL,2015-05-01,Nuclear,TWh,2.13
Belgium,BEL,2015-05-01,Solar,TWh,0.41
Belgium,BEL,2015-05-01,Wind,TWh,0.39
Belgium,BEL,2015-05-01,Total Generation,TWh,5.21
Belgium,BEL,2015-05-01,Net Imports,TWh,1.76
Belgium,BEL,2015-05-01,Bioenergy,mtCO2,0.05
Belgium,BEL,2015-05-01,Coal,mtCO2,0.08
Belgium,BEL,2015-05-01,Gas,mtCO2,0.59
Belgium,BEL,2015-05-01,Hydro,mtCO2,0.0
Belgium,BEL,2015-05-01,Nuclear,mtCO2,0.01
Belgium,BEL,2015-05-01,Solar,mtCO2,0.02
Belgium,BEL,2015-05-01,Wind,mtCO2,0.01
Belgium,BEL,2015-06-01,Demand,TWh,6.87
Belgium,BEL,2015-06-01,Bioenergy,%,2.62
Belgium,BEL,2015-06-01,Coal,%,0.0
Belgium,BEL,2015-06-01,Gas,%,26.41
Belgium,BEL,2015-06-01,Hydro,%,0.2
Belgium,BEL,2015-06-01,Nuclear,%,44.76
Belgium,BEL,2015-06-01,Solar,%,9.27
Belgium,BEL,2015-06-01,Wind,%,6.65
Belgium,BEL,2015-06-01,Bioenergy,TWh,0.13
Belgium,BEL,2015-06-01,Coal,TWh,0.0
Belgium,BEL,2015-06-01,Gas,TWh,1.31
Belgium,BEL,2015-06-01,Hydro,TWh,0.01
Belgium,BEL,2015-06-01,Nuclear,TWh,2.22
Belgium,BEL,2015-06-01,Solar,TWh,0.46
Belgium,BEL,2015-06-01,Wind,TWh,0.33
Belgium,BEL,2015-06-01,Total Generation,TWh,4.96
Belgium,BEL,2015-06-01,Net Imports,TWh,1.91
Belgium,BEL,2015-06-01,Bioenergy,mtCO2,0.03
Belgium,BEL,2015-06-01,Coal,mtCO2,0.0
Belgium,BEL,2015-06-01,Gas,mtCO2,0.55
Belgium,BEL,2015-06-01,Hydro,mtCO2,0.0
Belgium,BEL,2015-06-01,Nuclear,mtCO2,0.01
Belgium,BEL,2015-06-01,Solar,mtCO2,0.02
Belgium,BEL,2015-06-01,Wind,mtCO2,0.0
Belgium,BEL,2015-07-01,Demand,TWh,6.73
Belgium,BEL,2015-07-01,Bioenergy,%,3.91
Belgium,BEL,2015-07-01,Coal,%,1.65
Belgium,BEL,2015-07-01,Gas,%,31.48
Belgium,BEL,2015-07-01,Hydro,%,0.0
Belgium,BEL,2015-07-01,Nuclear,%,37.24
Belgium,BEL,2015-07-01,Solar,%,8.02
Belgium,BEL,2015-07-01,Wind,%,7.41
Belgium,BEL,2015-07-01,Bioenergy,TWh,0.19
Belgium,BEL,2015-07-01,Coal,TWh,0.08
Belgium,BEL,2015-07-01,Gas,TWh,1.53
Belgium,BEL,2015-07-01,Hydro,TWh,0.0
Belgium,BEL,2015-07-01,Nuclear,TWh,1.81
Belgium,BEL,2015-07-01,Solar,TWh,0.39
Belgium,BEL,2015-07-01,Wind,TWh,0.36
Belgium,BEL,2015-07-01,Total Generation,TWh,4.86
Belgium,BEL,2015-07-01,Net Imports,TWh,1.87
Belgium,BEL,2015-07-01,Bioenergy,mtCO2,0.04
Belgium,BEL,2015-07-01,Coal,mtCO2,0.08
Belgium,BEL,2015-07-01,Gas,mtCO2,0.64
Belgium,BEL,2015-07-01,Hydro,mtCO2,0.0
Belgium,BEL,2015-07-01,Nuclear,mtCO2,0.01
Belgium,BEL,2015-07-01,Solar,mtCO2,0.02
Belgium,BEL,2015-07-01,Wind,mtCO2,0.0
Belgium,BEL,2015-08-01,Demand,TWh,6.75
Belgium,BEL,2015-08-01,Bioenergy,%,4.45
Belgium,BEL,2015-08-01,Coal,%,5.57
Belgium,BEL,2015-08-01,Gas,%,33.18
Belgium,BEL,2015-08-01,Hydro,%,0.0
Belgium,BEL,2015-08-01,Nuclear,%,30.96
Belgium,BEL,2015-08-01,Solar,%,8.46
Belgium,BEL,2015-08-01,Wind,%,6.01
Belgium,BEL,2015-08-01,Bioenergy,TWh,0.2
