Date,EUA_Price
2022-01-04,84.80000305175781
2022-01-05,87.5199966430664
2022-01-06,86.81500244140625
2022-01-07,85.30000305175781
2022-01-10,80.41999816894531
2022-01-11,81.7300033569336
2022-01-12,80.0199966430664
2022-01-13,80.875
2022-01-14,82.25
2022-01-17,80.2249984741211
2022-01-18,82.2300033569336
2022-01-19,81.6050033569336
2022-01-20,85.19999694824219
2022-01-21,84.4000015258789
2022-01-24,83.58999633789062
2022-01-25,87.2249984741211
2022-01-26,88.78500366210938
2022-01-27,89.84500122070312
2022-01-28,89.47000122070312
2022-01-31,88.87999725341797
2022-02-01,88.86499786376953
2022-02-02,93.1449966430664
2022-02-03,94.62999725341797
2022-02-04,95.33000183105469
2022-02-07,95.43499755859375
2022-02-08,95.23999786376953
2022-02-09,91.41000366210938
2022-02-10,90.7750015258789
2022-02-11,92.31500244140625
2022-02-14,90.80500030517578
2022-02-15,89.68499755859375
2022-02-16,89.06999969482422
2022-02-17,85.74500274658203
2022-02-18,88.66500091552734
2022-02-21,89.01499938964844
2022-02-22,89.0
2022-02-23,94.42500305175781
2022-02-24,86.51000213623047
2022-02-25,87.1500015258789
2022-02-28,81.13500213623047
2022-03-01,69.4000015258789
2022-03-02,67.37000274658203
2022-03-03,66.33999633789062
2022-03-04,64.66999816894531
2022-03-07,57.720001220703125
2022-03-08,67.75499725341797
2022-03-09,72.26499938964844
2022-03-10,74.87999725341797
2022-03-11,75.91999816894531
2022-03-14,77.7699966430664
2022-03-15,76.41000366210938
2022-03-16,77.63500213623047
2022-03-17,79.25
2022-03-18,78.08000183105469
2022-03-21,78.0250015258789
2022-03-22,79.9800033569336
2022-03-23,76.36499786376953
2022-03-24,78.16000366210938
2022-03-25,78.01499938964844
2022-03-28,80.125
2022-03-29,80.93000030517578
2022-03-30,77.72000122070312
2022-03-31,76.00499725341797
2022-04-01,77.5999984741211
2022-04-04,78.0
2022-04-05,77.88500213623047
2022-04-06,76.68499755859375
2022-04-07,79.43000030517578
2022-04-08,79.55999755859375
2022-04-11,77.2699966430664
2022-04-12,78.55999755859375
2022-04-13,76.92500305175781
2022-04-14,79.26000213623047
2022-04-19,79.55000305175781
2022-04-20,86.28500366210938
2022-04-21,85.94000244140625
2022-04-22,88.21499633789062
2022-04-25,82.58000183105469
2022-04-26,81.5
2022-04-27,80.21499633789062
2022-04-28,82.03500366210938
2022-04-29,82.94000244140625
2022-05-03,87.38500213623047
2022-05-04,87.04000091552734
2022-05-05,87.96499633789062
2022-05-06,90.7249984741211
2022-05-09,86.12999725341797
2022-05-10,86.50499725341797
2022-05-11,87.73999786376953
2022-05-12,87.25
2022-05-13,87.37999725341797
2022-05-16,88.63500213623047
2022-05-17,90.73999786376953
2022-05-18,83.83000183105469
2022-05-19,82.0199966430664
2022-05-20,79.65499877929688
2022-05-23,77.18000030517578
2022-05-24,80.41500091552734
2022-05-25,80.68499755859375
2022-05-26,84.37999725341797
2022-05-27,83.36000061035156
2022-05-30,82.7750015258789
2022-05-31,83.36499786376953
2022-06-01,85.45500183105469
2022-06-06,80.79000091552734
2022-06-07,80.17500305175781
2022-06-08,79.40499877929688
2022-06-09,80.28500366210938
2022-06-10,81.30500030517578
2022-06-13,80.75499725341797
2022-06-14,83.26000213623047
2022-06-15,85.75
2022-06-16,82.26499938964844
2022-06-17,81.53500366210938
2022-06-20,83.05500030517578
2022-06-21,83.55500030517578
2022-06-22,80.81500244140625
2022-06-23,82.88999938964844
2022-06-24,82.66999816894531
2022-06-27,83.69000244140625
2022-06-28,86.54499816894531
2022-06-29,87.29499816894531
2022-06-30,88.81500244140625
2022-07-01,84.70999908447266
2022-07-04,83.71499633789062
2022-07-05,82.375
2022-07-06,82.7249984741211
2022-07-07,84.1500015258789
2022-07-08,82.125
2022-07-11,83.52999877929688
2022-07-12,84.75
2022-07-13,83.1050033569336
2022-07-14,83.20500183105469
2022-07-15,84.6449966430664
2022-07-18,83.98500061035156
2022-07-19,82.56999969482422
2022-07-20,78.375
2022-07-21,77.19999694824219
2022-07-22,75.9000015258789
2022-07-25,75.53500366210938
2022-07-26,76.0199966430664
2022-07-27,75.29000091552734
2022-07-28,77.92500305175781
2022-07-29,77.33000183105469
2022-08-01,79.62000274658203
2022-08-02,81.0250015258789
2022-08-03,83.07499694824219
2022-08-04,83.33000183105469
2022-08-05,84.01499938964844
2022-08-08,83.31999969482422
2022-08-09,84.76499938964844
2022-08-10,85.0
2022-08-11,86.13999938964844
2022-08-12,83.5
2022-08-15,89.73500061035156
2022-08-16,91.23500061035156
2022-08-17,95.04000091552734
2022-08-18,95.62999725341797
2022-08-19,96.41500091552734
2022-08-22,90.8550033569336
2022-08-23,88.28500366210938
2022-08-24,88.11499786376953
2022-08-25,87.67500305175781
2022-08-26,89.05999755859375
2022-08-30,79.5999984741211
2022-08-31,79.22000122070312
2022-09-01,79.6500015258789
2022-09-02,76.87999725341797
2022-09-05,73.19000244140625
2022-09-06,68.74500274658203
2022-09-07,68.9000015258789
2022-09-08,66.5
2022-09-09,65.3499984741211
2022-09-12,71.16999816894531
2022-09-13,69.13500213623047
2022-09-14,70.9000015258789
2022-09-15,71.0999984741211
2022-09-16,71.88999938964844
2022-09-20,70.17500305175781
2022-09-21,68.91000366210938
2022-09-22,69.18000030517578
2022-09-23,65.06999969482422
2022-09-26,69.16000366210938
2022-09-27,67.13999938964844
2022-09-28,64.41500091552734
2022-09-29,65.20999908447266
2022-09-30,65.72000122070312
2022-10-03,65.07499694824219
2022-10-04,66.61000061035156
2022-10-05,66.1449966430664
2022-10-06,68.22000122070312
2022-10-07,69.00499725341797
2022-10-10,65.97000122070312
2022-10-11,65.38999938964844
2022-10-12,65.72000122070312
2022-10-13,67.93499755859375
2022-10-14,67.16500091552734
2022-10-17,66.47000122070312
2022-10-18,66.87999725341797
2022-10-19,66.62000274658203
2022-10-20,65.98500061035156
2022-10-21,68.22000122070312
2022-10-24,71.4000015258789
2022-10-25,76.00499725341797
2022-10-26,74.44000244140625
2022-10-27,79.01499938964844
2022-10-28,80.44999694824219
2022-10-31,78.76000213623047
2022-11-01,75.76499938964844
2022-11-02,75.86499786376953
2022-11-03,75.70500183105469
2022-11-04,75.54499816894531
2022-11-07,77.0
2022-11-08,75.23999786376953
2022-11-09,72.04000091552734
2022-11-10,72.30500030517578
2022-11-11,74.68000030517578
2022-11-14,74.17500305175781
2022-11-15,75.83999633789062
2022-11-16,72.53500366210938
2022-11-17,71.4000015258789
2022-11-18,71.25
2022-11-21,73.6500015258789
2022-11-22,73.03500366210938
2022-11-23,75.09500122070312
2022-11-24,77.62999725341797
2022-11-25,77.90499877929688
2022-11-28,77.79000091552734
2022-11-29,80.33000183105469
2022-11-30,84.05000305175781
2022-12-01,84.04000091552734
2022-12-02,86.79499816894531
2022-12-05,86.69999694824219
2022-12-06,86.7699966430664
2022-12-07,87.40499877929688
2022-12-08,87.70999908447266
2022-12-09,86.48500061035156
2022-12-12,89.0250015258789
2022-12-13,87.88999938964844
2022-12-14,85.68499755859375
2022-12-15,84.4000015258789
2022-12-16,82.4800033569336
2022-12-19,83.19999694824219
2022-12-20,85.5999984741211
2022-12-21,83.76000213623047
2022-12-22,85.28500366210938
2022-12-23,85.54000091552734
2022-12-28,82.15499877929688
2022-12-29,80.57499694824219
2022-12-30,80.94499969482422
2023-01-03,79.49500274658203
2023-01-04,73.9000015258789
2023-01-05,75.25499725341797
2023-01-06,73.8949966430664
2023-01-09,78.37999725341797
2023-01-10,77.49500274658203
2023-01-11,75.3499984741211
2023-01-12,76.57499694824219
2023-01-13,76.09500122070312
2023-01-16,74.29499816894531
2023-01-17,76.05500030517578
2023-01-18,79.77999877929688
2023-01-19,80.66000366210938
2023-01-20,81.5
2023-01-23,81.49500274658203
2023-01-24,79.05500030517578
2023-01-25,81.30000305175781
2023-01-26,85.4000015258789
2023-01-27,85.49500274658203
2023-01-30,86.11000061035156
2023-01-31,89.3949966430664
2023-02-01,91.36000061035156
2023-02-02,89.25
2023-02-03,89.73999786376953
2023-02-06,87.05000305175781
2023-02-07,86.72000122070312
2023-02-08,86.33999633789062
2023-02-09,87.20999908447266
2023-02-10,89.12000274658203
2023-02-13,88.33000183105469
2023-02-14,88.01499938964844
2023-02-15,90.73500061035156
2023-02-16,93.54000091552734
2023-02-17,92.2699966430664
2023-02-20,94.34500122070312
2023-02-21,96.25
2023-02-22,92.37999725341797
2023-02-23,92.66500091552734
2023-02-24,93.16999816894531
2023-02-27,95.94999694824219
2023-02-28,95.04000091552734
2023-03-01,92.41999816894531
2023-03-02,88.79499816894531
2023-03-03,88.02999877929688
2023-03-06,89.01000213623047
2023-03-07,91.48500061035156
2023-03-08,93.55000305175781
2023-03-09,94.75499725341797
2023-03-10,95.80999755859375
2023-03-13,93.62000274658203
2023-03-14,88.83999633789062
2023-03-15,85.44499969482422
2023-03-16,84.19999694824219
2023-03-17,83.75499725341797
2023-03-20,84.08000183105469
2023-03-21,86.55500030517578
2023-03-22,85.83499908447266
2023-03-23,89.1050033569336
2023-03-24,84.44999694824219
2023-03-27,84.09500122070312
2023-03-28,85.83000183105469
2023-03-29,86.55000305175781
2023-03-30,87.21499633789062
2023-03-31,88.375
2023-04-03,91.98500061035156
2023-04-04,91.40499877929688
2023-04-05,92.8499984741211
2023-04-06,92.83999633789062
2023-04-11,94.32499694824219
2023-04-12,92.30500030517578
2023-04-13,90.7699966430664
2023-04-14,90.2249984741211
2023-04-17,89.34500122070312
2023-04-18,91.84500122070312
2023-04-19,91.0250015258789
2023-04-20,88.31500244140625
2023-04-21,86.36000061035156
2023-04-24,85.30000305175781
2023-04-25,83.36000061035156
2023-04-26,82.44499969482422
2023-04-27,82.80999755859375
2023-04-28,84.25
2023-05-02,85.18499755859375
2023-05-03,81.91500091552734
2023-05-04,81.5199966430664
2023-05-05,81.90499877929688
2023-05-09,83.48999786376953
2023-05-10,85.97000122070312
2023-05-11,85.27999877929688
2023-05-12,85.36499786376953
2023-05-15,83.79000091552734
2023-05-16,85.63999938964844
2023-05-17,85.19999694824219
2023-05-18,86.8550033569336
2023-05-19,86.31999969482422
2023-05-22,84.69999694824219
2023-05-23,82.2699966430664
2023-05-24,81.86000061035156
2023-05-25,79.98999786376953
2023-05-26,79.31500244140625
2023-05-30,77.58000183105469
2023-05-31,78.30000305175781
2023-06-01,76.27999877929688
2023-06-02,76.24500274658203
2023-06-05,79.6500015258789
2023-06-06,78.76499938964844
2023-06-07,80.75
2023-06-08,81.125
2023-06-09,83.7699966430664
2023-06-12,84.30000305175781
2023-06-13,87.11000061035156
2023-06-14,89.71499633789062
2023-06-15,90.19999694824219
2023-06-16,88.9000015258789
2023-06-19,88.8949966430664
2023-06-20,91.5
2023-06-21,87.63500213623047
2023-06-22,86.97000122070312
2023-06-23,84.7699966430664
2023-06-26,83.17500305175781
2023-06-27,85.68000030517578
2023-06-28,84.5250015258789
2023-06-29,84.91500091552734
2023-06-30,85.98999786376953
2023-07-03,84.37000274658203
2023-07-04,84.33499908447266
2023-07-05,82.8949966430664
2023-07-06,82.83499908447266
2023-07-07,83.06999969482422
2023-07-10,83.06999969482422
2023-07-11,83.87999725341797
2023-07-12,82.75499725341797
2023-07-13,82.8949966430664
2023-07-14,83.16000366210938
2023-07-17,83.71499633789062
2023-07-18,85.06999969482422
2023-07-19,85.92500305175781
2023-07-20,87.81999969482422
2023-07-21,88.40499877929688
2023-07-24,88.00499725341797
2023-07-25,88.95999908447266
2023-07-26,87.7699966430664
2023-07-27,87.93499755859375
2023-07-28,85.80500030517578
2023-07-31,83.84500122070312
2023-08-01,81.69499969482422
2023-08-02,80.75
2023-08-03,81.875
2023-08-04,80.95500183105469
2023-08-07,80.3949966430664
2023-08-08,81.73999786376953
2023-08-09,81.26499938964844
2023-08-10,82.12999725341797
2023-08-11,84.13500213623047
2023-08-14,85.31500244140625
2023-08-15,84.25499725341797
2023-08-16,85.5199966430664
2023-08-17,86.13500213623047
2023-08-18,85.38500213623047
2023-08-21,85.2249984741211
2023-08-22,87.22000122070312
2023-08-23,85.44499969482422
2023-08-24,82.71499633789062
2023-08-25,82.26000213623047
2023-08-29,82.375
2023-08-30,83.41000366210938
2023-08-31,83.38999938964844
2023-09-01,82.80000305175781
2023-09-04,81.5999984741211
2023-09-05,81.4000015258789
2023-09-06,81.3949966430664
2023-09-07,80.7750015258789
2023-09-08,79.3550033569336
2023-09-11,79.45500183105469
2023-09-12,78.70999908447266
2023-09-13,80.7300033569336
2023-09-14,80.7750015258789
2023-09-15,79.70500183105469
2023-09-18,78.5250015258789
2023-09-19,79.0199966430664
2023-09-20,80.45500183105469
2023-09-21,82.07499694824219
2023-09-22,83.2750015258789
2023-09-25,82.7750015258789
2023-09-26,80.50499725341797
2023-09-27,80.08499908447266
2023-09-28,80.55999755859375
2023-09-29,79.30500030517578
2023-10-02,78.80500030517578
2023-10-03,77.70999908447266
2023-10-04,79.7249984741211
2023-10-05,78.5999984741211
2023-10-06,78.43000030517578
2023-10-09,79.63999938964844
2023-10-10,82.81999969482422
2023-10-11,81.69999694824219
2023-10-12,83.2750015258789
2023-10-13,83.48999786376953
2023-10-16,82.15499877929688
2023-10-17,80.44000244140625
2023-10-18,79.93499755859375
2023-10-19,79.6500015258789
2023-10-20,79.66500091552734
2023-10-23,78.62999725341797
2023-10-24,78.72000122070312
2023-10-25,78.20500183105469
2023-10-26,77.5
2023-10-27,77.55000305175781
2023-10-30,76.91500091552734
2023-10-31,77.19000244140625
2023-11-01,76.69499969482422
2023-11-02,77.18000030517578
2023-11-03,75.66999816894531
2023-11-06,74.25
2023-11-07,73.7300033569336
2023-11-08,73.88500213623047
2023-11-09,75.87999725341797
2023-11-10,76.86000061035156
2023-11-13,75.52999877929688
2023-11-14,76.86000061035156
2023-11-15,78.06500244140625
2023-11-16,75.3550033569336
2023-11-17,74.66999816894531
2023-11-20,75.0999984741211
2023-11-21,74.0199966430664
2023-11-22,73.49500274658203
2023-11-23,75.11499786376953
2023-11-24,75.02999877929688
2023-11-27,71.48999786376953
2023-11-28,71.4000015258789
2023-11-29,69.45500183105469
2023-11-30,69.45999908447266
2023-12-01,71.13999938964844
2023-12-04,69.08999633789062
2023-12-05,67.30000305175781
2023-12-06,67.82499694824219
2023-12-07,68.33999633789062
2023-12-08,67.4000015258789
2023-12-11,66.1500015258789
2023-12-12,66.8499984741211
2023-12-13,67.55500030517578
2023-12-14,65.33000183105469
2023-12-15,65.76000213623047
2023-12-18,67.80000305175781
2023-12-19,67.82499694824219
2023-12-20,71.21499633789062
2023-12-21,73.53500366210938
2023-12-22,74.57499694824219
2023-12-27,74.98999786376953
2023-12-28,75.74500274658203
2023-12-29,76.5999984741211
2024-01-02,71.8949966430664
2024-01-03,73.31999969482422
2024-01-04,71.3550033569336
2024-01-05,72.1449966430664
2024-01-08,68.19999694824219
2024-01-09,68.25499725341797
2024-01-10,65.95999908447266
2024-01-11,64.24500274658203
2024-01-12,62.095001220703125
2024-01-15,63.439998626708984
2024-01-16,61.92499923706055
2024-01-17,59.83000183105469
2024-01-18,59.93000030517578
2024-01-19,59.95000076293945
2024-01-22,59.34000015258789
2024-01-23,59.584999084472656
2024-01-24,62.1150016784668
2024-01-25,59.76499938964844
2024-01-26,59.97999954223633
