feature,importance
price_lag_1,1644
hour,1221
price_std_24h,1210
price_lag_24,1140
price_lag_168,976
gas_mw,954
price_mean_24h,868
price_mean_168h,831
hydro_reservoir_mw,773
load_mw,677
solar_mw,635
lignite_mw,591
residual_load,588
wind_onshore_mw,532
renewable_generation,506
renewable_share,491
hydro_pumped_mw,456
month,392
day_of_week,388
storage_mw,108
weekend,19
oil_mw,0
