Date,AAPL,AMZN,BAC,COST,CVX,DIS,GOOGL,HD,JNJ,JPM,KO,MA,META,MSFT,NKE,NVDA,PEP,PFE,SPY,TSLA,UNH,V,WMT,XOM
2020-01-02,72.33386993408203,94.90049743652344,30.429458618164062,265.748291015625,91.18255615234375,143.68927001953125,67.83251190185547,187.32260131835938,121.9369888305664,117.89917755126953,45.14126205444336,291.90673828125,207.953857421875,151.8295440673828,92.82109069824219,5.963803291320801,110.94515228271484,27.048362731933594,296.1253662109375,28.68400001525879,261.7021484375,182.43104553222656,36.28996276855469,52.94703674316406
2020-01-03,71.63063049316406,93.74849700927734,29.79764175415039,265.9671630859375,90.8672103881836,142.04100036621094,67.4776611328125,186.70005798339844,120.52521514892578,116.3433609008789,44.89499282836914,289.0588073730469,206.85348510742188,149.9390106201172,92.5667953491211,5.868348121643066,110.78994750976562,26.903242111206055,293.88287353515625,29.534000396728516,259.05389404296875,180.9801788330078,35.9695930480957,52.5213623046875
2020-01-06,72.201416015625,95.14399719238281,29.75494956970215,266.0400695800781,90.55931091308594,141.2168731689453,69.2762222290039,187.57843017578125,120.3748779296875,116.2508544921875,44.87857437133789,289.8285217285156,210.74929809570312,150.32655334472656,92.48503875732422,5.89295768737793,111.21468353271484,26.868688583374023,295.00408935546875,30.1026668548584,260.85223388671875,180.5887908935547,35.8963623046875,52.92463302612305
2020-01-07,71.86185455322266,95.34300231933594,29.558578491210938,265.62060546875,89.4029312133789,141.26536560058594,69.14239501953125,186.35044860839844,121.1099624633789,114.27449035644531,44.53380584716797,288.8470458984375,211.20529174804688,148.95596313476562,92.43964385986328,5.964301109313965,109.46662139892578,26.778846740722656,294.17462158203125,31.270666122436523,259.27752685546875,180.11154174804688,35.56378173828125,52.491493225097656
2020-01-08,73.01785278320312,94.59850311279297,29.85740852355957,268.665771484375,88.38168334960938,140.97450256347656,69.63453674316406,189.1390380859375,121.09324645996094,115.16598510742188,44.615882873535156,293.9436950683594,213.34649658203125,151.3285369873047,92.23075103759766,5.97548770904541,110.03025817871094,26.99307632446289,295.7425231933594,32.80933380126953,264.744140625,183.19467163085938,35.44175720214844,51.699913024902344
2020-01-09,74.56879425048828,95.05249786376953,29.908632278442383,272.97802734375,88.23902130126953,140.42184448242188,70.36556243896484,192.03846740722656,121.45245361328125,115.58646392822266,45.4285774230957,297.79742431640625,216.3997039794922,153.2190704345703,92.16716766357422,6.041114807128906,110.10372924804688,26.87559700012207,297.747802734375,32.089332580566406,263.2410583496094,184.46420288085938,35.80788803100586,52.0956916809082
2020-01-10,74.73736572265625,94.15799713134766,29.661041259765625,270.99053955078125,87.43555450439453,140.2182159423828,70.82002258300781,191.21128845214844,121.17677307128906,114.43429565429688,45.58454132080078,299.791748046875,216.16175842285156,152.51014709472656,91.6404037475586,6.073429584503174,109.89141845703125,27.290237426757812,296.8909606933594,31.876667022705078,264.0553283691406,184.96063232421875,35.50886917114258,51.632694244384766
2020-01-13,76.3340835571289,94.56500244140625,29.934255599975586,273.3882751464844,87.6007308959961,139.50074768066406,71.36865234375,190.46084594726562,121.7114028930664,115.38463592529297,46.07709503173828,303.6839904785156,219.97825622558594,154.343994140625,92.78475189208984,6.263845920562744,111.52509307861328,27.23495101928711,298.9327697753906,34.990665435791016,255.75234985351562,186.4496612548828,35.35630798339844,52.12556838989258
2020-01-14,75.30335235595703,93.47200012207031,30.156240463256836,273.27886962890625,87.33043670654297,140.78057861328125,70.90080261230469,190.0088348388672,122.39643859863281,116.730224609375,45.97037124633789,299.2810363769531,217.1530303955078,153.25692749023438,93.47504425048828,6.147010803222656,111.78649139404297,27.691057205200195,298.47705078125,35.861331939697266,257.8907470703125,187.13693237304688,35.44784927368164,51.677490234375
2020-01-15,74.9806137084961,93.10099792480469,29.60126304626465,274.25439453125,87.2027587890625,139.92735290527344,71.32752990722656,191.52684020996094,122.80575561523438,114.98094940185547,46.545005798339844,302.75909423828125,219.22483825683594,154.24942016601562,93.35697174072266,6.104501724243164,113.70610046386719,28.105701446533203,299.15155029296875,34.56666564941406,265.200439453125,190.71644592285156,35.17325210571289,51.59534454345703
