timestamp,country,price_eur_mwh,resolution
2020-01-06 02:00:00+00:00,france,27.72,PT60M
2020-01-06 03:00:00+00:00,france,27.03,PT60M
2020-01-06 04:00:00+00:00,france,28.98,PT60M
2020-01-06 05:00:00+00:00,france,33.18,PT60M
2020-01-06 06:00:00+00:00,france,43.13,PT60M
2020-01-06 07:00:00+00:00,france,44.52,PT60M
2020-01-06 08:00:00+00:00,france,44.96,PT60M
2020-01-06 09:00:00+00:00,france,44.0,PT60M
2020-01-06 10:00:00+00:00,france,42.46,PT60M
2020-01-06 11:00:00+00:00,france,41.3,PT60M
2020-01-06 12:00:00+00:00,france,40.51,PT60M
2020-01-06 13:00:00+00:00,france,41.22,PT60M
2020-01-06 14:00:00+00:00,france,43.28,PT60M
2020-01-06 15:00:00+00:00,france,43.68,PT60M
2020-01-06 16:00:00+00:00,france,47.9,PT60M
2020-01-06 17:00:00+00:00,france,48.91,PT60M
2020-01-06 18:00:00+00:00,france,49.01,PT60M
2020-01-06 19:00:00+00:00,france,47.03,PT60M
2020-01-06 21:00:00+00:00,france,38.26,PT60M
2020-01-06 22:00:00+00:00,france,35.91,PT60M
2020-01-06 23:00:00+00:00,france,32.1,PT60M
2020-01-07 00:00:00+00:00,france,31.07,PT60M
2020-01-07 01:00:00+00:00,france,29.99,PT60M
2020-01-07 02:00:00+00:00,france,29.05,PT60M
2020-01-07 04:00:00+00:00,france,31.79,PT60M
2020-01-07 05:00:00+00:00,france,40.87,PT60M
2020-01-07 06:00:00+00:00,france,49.01,PT60M
2020-01-07 07:00:00+00:00,france,51.09,PT60M
2020-01-07 08:00:00+00:00,france,51.12,PT60M
2020-01-07 09:00:00+00:00,france,49.83,PT60M
2020-01-07 10:00:00+00:00,france,49.16,PT60M
2020-01-07 11:00:00+00:00,france,48.43,PT60M
2020-01-07 13:00:00+00:00,france,47.24,PT60M
2020-01-07 14:00:00+00:00,france,45.48,PT60M
2020-01-07 15:00:00+00:00,france,45.9,PT60M
2020-01-07 16:00:00+00:00,france,47.96,PT60M
2020-01-07 17:00:00+00:00,france,48.11,PT60M
2020-01-07 18:00:00+00:00,france,49.05,PT60M
2020-01-07 19:00:00+00:00,france,47.34,PT60M
2020-01-07 20:00:00+00:00,france,35.31,PT60M
2020-01-07 21:00:00+00:00,france,35.21,PT60M
2020-01-07 22:00:00+00:00,france,34.52,PT60M
2020-01-07 23:00:00+00:00,france,28.9,PT60M
