feature,importance
price_lag_1,0.930753391182144
price_lag_24,0.019770500914822103
price_lag_168,0.006472047426731906
hour,0.005122327021245448
price_mean_24h,0.004964396293243063
price_std_24h,0.004154709591799022
price_mean_168h,0.004060851262449694
gas_mw,0.0037400456345208738
hydro_reservoir_mw,0.003353309731479461
residual_load,0.00250417131759254
load_mw,0.0023066461034217285
solar_mw,0.002054033255872449
lignite_mw,0.0019795242097013404
wind_onshore_mw,0.0018319961441739285
renewable_share,0.0017045332194674473
renewable_generation,0.001449367761910382
day_of_week,0.0009550300521873894
month,0.000945100770412216
hydro_pumped_mw,0.0009008972636018921
storage_mw,0.0008753955404857883
weekend,0.00010172530273746279
oil_mw,0.0
