feature,importance
price_lag_1,58.77417460554831
price_lag_24,9.784380579753135
hour,6.004043325822887
price_lag_168,5.562895775846222
price_std_24h,3.1850449819222084
price_mean_24h,2.7816454636915338
price_mean_168h,2.3405452470807764
hydro_reservoir_mw,1.9257647753689122
gas_mw,1.6031902435995977
solar_mw,1.572321457774719
day_of_week,0.850300428702384
lignite_mw,0.7079152172843426
residual_load,0.7052348027683241
month,0.6834294912085297
load_mw,0.6728051004266642
renewable_share,0.662383191457342
wind_onshore_mw,0.49671157652736375
storage_mw,0.4770437626969712
hydro_pumped_mw,0.4685689907142761
renewable_generation,0.4536649373033693
weekend,0.28793604450211674
oil_mw,0.0
