timestamp,country,actual_price,forecast_price,error,absolute_error,percentage_error
2020-01-07 23:15:00,germany,19.61,26.10437,6.494370117187501,6.494370117187501,33.11764465674401
2020-01-07 23:30:00,germany,12.07,13.714921,1.6449209976196286,1.6449209976196286,13.628177279367264
2020-01-07 23:45:00,germany,1.2,12.781555,11.58155517578125,11.58155517578125,965.1295979817708
2020-01-08 00:00:00,germany,4.96,20.684906,15.724906005859374,15.724906005859374,317.0343952794229
2020-01-08 00:15:00,germany,13.0,15.52858,2.5285797119140625,2.5285797119140625,19.45061316856971
2020-01-08 00:30:00,germany,7.6,10.458779,2.858779335021973,2.858779335021973,37.615517566078594
2020-01-08 00:45:00,germany,3.3,3.0186207,-0.2813792705535887,0.2813792705535887,8.526644562229961
2020-01-08 01:00:00,germany,0.1,5.857752,5.757751846313477,5.757751846313477,5757.751846313477
2020-01-08 01:15:00,germany,1.2,9.813957,8.61395721435547,8.61395721435547,717.8297678629558
2020-01-08 01:30:00,germany,2.6,5.4223547,2.8223546981811523,2.8223546981811523,108.55210377619817
2020-01-08 01:45:00,germany,3.35,3.092596,-0.2574039459228516,0.2574039459228516,7.683699878294078
2020-01-08 02:00:00,germany,0.11,3.9881327,3.87813271522522,3.87813271522522,3525.575195659291
2020-01-08 02:15:00,germany,-0.15,2.8210077,2.97100772857666,2.97100772857666,-1980.6718190511067
2020-01-08 02:30:00,germany,4.61,3.0170586,-1.5929413890838626,1.5929413890838626,34.55404314715537
2020-01-08 02:45:00,germany,2.57,4.575333,2.005333118438721,2.005333118438721,78.02852600928875
2020-01-08 03:00:00,germany,-5.0,3.7900813,8.790081262588501,8.790081262588501,-175.80162525177002
2020-01-08 03:15:00,germany,-1.68,-0.6725372,1.0074627923965451,1.0074627923965451,-59.96802335693723
2020-01-08 03:30:00,germany,9.5,3.3754203,-6.124579668045044,6.124579668045044,64.46925966363204
2020-01-08 03:45:00,germany,13.88,6.2794957,-7.60050428390503,7.60050428390503,54.7586763970103
2020-01-08 04:00:00,germany,20.74,4.2795076,-16.460492362976073,16.460492362976073,79.36592267587307
2020-01-08 04:15:00,germany,5.81,8.055269,2.245269241333008,2.245269241333008,38.64490948938053
2020-01-08 04:30:00,germany,18.0,10.209387,-7.790613174438477,7.790613174438477,43.28118430243598
2020-01-08 04:45:00,germany,34.35,19.23824,-15.111760711669923,15.111760711669923,43.99348096556018
2020-01-08 05:00:00,germany,25.57,29.839529,4.269529037475586,4.269529037475586,16.697415085942847
2020-01-08 05:15:00,germany,23.05,14.297588,-8.752411651611329,8.752411651611329,37.971417143650015
2020-01-08 05:30:00,germany,34.46,23.915384,-10.544615707397462,10.544615707397462,30.5995812750942
2020-01-08 05:45:00,germany,42.2,40.075382,-2.124617767333987,2.124617767333987,5.034639259085277
