timestamp,country,forecast_price,step
2026-07-28 22:00:00+00:00,italy,181.24734,1
2026-07-28 22:15:00+00:00,italy,181.24734,2
2026-07-28 22:30:00+00:00,italy,181.24734,3
2026-07-28 22:45:00+00:00,italy,181.24734,4
2026-07-28 23:00:00+00:00,italy,177.69177,5
2026-07-28 23:15:00+00:00,italy,177.69177,6
2026-07-28 23:30:00+00:00,italy,177.69177,7
2026-07-28 23:45:00+00:00,italy,177.69177,8
2026-07-29 00:00:00+00:00,italy,176.77194,9
2026-07-29 00:15:00+00:00,italy,176.77194,10
2026-07-29 00:30:00+00:00,italy,176.77194,11
2026-07-29 00:45:00+00:00,italy,176.77194,12
2026-07-29 01:00:00+00:00,italy,174.69226,13
2026-07-29 01:15:00+00:00,italy,174.69226,14
2026-07-29 01:30:00+00:00,italy,174.69226,15
2026-07-29 01:45:00+00:00,italy,174.69226,16
2026-07-29 02:00:00+00:00,italy,177.44604,17
2026-07-29 02:15:00+00:00,italy,177.44604,18
2026-07-29 02:30:00+00:00,italy,177.44604,19
2026-07-29 02:45:00+00:00,italy,177.44604,20
2026-07-29 03:00:00+00:00,italy,177.77512,21
2026-07-29 03:15:00+00:00,italy,177.77512,22
2026-07-29 03:30:00+00:00,italy,177.77512,23
2026-07-29 03:45:00+00:00,italy,177.77512,24
2026-07-29 04:00:00+00:00,italy,178.69266,25
2026-07-29 04:15:00+00:00,italy,178.69266,26
2026-07-29 04:30:00+00:00,italy,178.69266,27
2026-07-29 04:45:00+00:00,italy,178.69266,28
2026-07-29 05:00:00+00:00,italy,179.98447,29
2026-07-29 05:15:00+00:00,italy,179.98447,30
2026-07-29 05:30:00+00:00,italy,179.98447,31
2026-07-29 05:45:00+00:00,italy,179.98447,32
2026-07-29 06:00:00+00:00,italy,179.99081,33
2026-07-29 06:15:00+00:00,italy,179.99081,34
2026-07-29 06:30:00+00:00,italy,179.99081,35
2026-07-29 06:45:00+00:00,italy,179.99081,36
2026-07-29 07:00:00+00:00,italy,180.58179,37
2026-07-29 07:15:00+00:00,italy,180.58179,38
2026-07-29 07:30:00+00:00,italy,180.58179,39
2026-07-29 07:45:00+00:00,italy,180.58179,40
2026-07-29 08:00:00+00:00,italy,180.93536,41
2026-07-29 08:15:00+00:00,italy,180.93536,42
2026-07-29 08:30:00+00:00,italy,180.93536,43
2026-07-29 08:45:00+00:00,italy,180.93536,44
2026-07-29 09:00:00+00:00,italy,181.548,45
2026-07-29 09:15:00+00:00,italy,181.548,46
2026-07-29 09:30:00+00:00,italy,181.548,47
2026-07-29 09:45:00+00:00,italy,181.548,48
2026-07-29 10:00:00+00:00,italy,181.72067,49
2026-07-29 10:15:00+00:00,italy,181.72067,50
2026-07-29 10:30:00+00:00,italy,181.72067,51
2026-07-29 10:45:00+00:00,italy,181.72067,52
2026-07-29 11:00:00+00:00,italy,182.48245,53
2026-07-29 11:15:00+00:00,italy,182.48245,54
2026-07-29 11:30:00+00:00,italy,182.48245,55
2026-07-29 11:45:00+00:00,italy,182.48245,56
2026-07-29 12:00:00+00:00,italy,181.69757,57
2026-07-29 12:15:00+00:00,italy,181.69757,58
2026-07-29 12:30:00+00:00,italy,181.69757,59
2026-07-29 12:45:00+00:00,italy,181.69757,60
2026-07-29 13:00:00+00:00,italy,181.16055,61
2026-07-29 13:15:00+00:00,italy,181.16055,62
2026-07-29 13:30:00+00:00,italy,181.16055,63
2026-07-29 13:45:00+00:00,italy,181.16055,64
2026-07-29 14:00:00+00:00,italy,181.95596,65
2026-07-29 14:15:00+00:00,italy,181.95596,66
2026-07-29 14:30:00+00:00,italy,181.95596,67
2026-07-29 14:45:00+00:00,italy,181.95596,68
2026-07-29 15:00:00+00:00,italy,181.36896,69
2026-07-29 15:15:00+00:00,italy,181.36896,70
2026-07-29 15:30:00+00:00,italy,181.36896,71
2026-07-29 15:45:00+00:00,italy,181.36896,72
2026-07-29 16:00:00+00:00,italy,183.56335,73
2026-07-29 16:15:00+00:00,italy,183.56335,74
2026-07-29 16:30:00+00:00,italy,183.56335,75
2026-07-29 16:45:00+00:00,italy,183.56335,76
2026-07-29 17:00:00+00:00,italy,182.89105,77
2026-07-29 17:15:00+00:00,italy,182.89105,78
2026-07-29 17:30:00+00:00,italy,182.89105,79
2026-07-29 17:45:00+00:00,italy,182.89105,80
2026-07-29 18:00:00+00:00,italy,184.80975,81
2026-07-29 18:15:00+00:00,italy,184.80975,82
2026-07-29 18:30:00+00:00,italy,184.80975,83
2026-07-29 18:45:00+00:00,italy,184.80975,84
2026-07-29 19:00:00+00:00,italy,184.94165,85
2026-07-29 19:15:00+00:00,italy,184.94165,86
2026-07-29 19:30:00+00:00,italy,184.94165,87
2026-07-29 19:45:00+00:00,italy,184.94165,88
2026-07-29 20:00:00+00:00,italy,183.20132,89
2026-07-29 20:15:00+00:00,italy,183.20132,90
2026-07-29 20:30:00+00:00,italy,183.20132,91
2026-07-29 20:45:00+00:00,italy,183.20132,92
2026-07-29 21:00:00+00:00,italy,182.43939,93
2026-07-29 21:15:00+00:00,italy,182.43939,94
2026-07-29 21:30:00+00:00,italy,182.43939,95
2026-07-29 21:45:00+00:00,italy,182.43939,96
