timestamp,country,forecast_price,step
2026-07-28 22:00:00+00:00,spain,184.06866,1
2026-07-28 22:15:00+00:00,spain,184.06866,2
2026-07-28 22:30:00+00:00,spain,184.06866,3
2026-07-28 22:45:00+00:00,spain,184.06866,4
2026-07-28 23:00:00+00:00,spain,183.79477,5
2026-07-28 23:15:00+00:00,spain,183.79477,6
2026-07-28 23:30:00+00:00,spain,183.79477,7
2026-07-28 23:45:00+00:00,spain,183.79477,8
2026-07-29 00:00:00+00:00,spain,181.4899,9
2026-07-29 00:15:00+00:00,spain,181.4899,10
2026-07-29 00:30:00+00:00,spain,181.4899,11
2026-07-29 00:45:00+00:00,spain,181.4899,12
2026-07-29 01:00:00+00:00,spain,179.30261,13
2026-07-29 01:15:00+00:00,spain,179.30261,14
2026-07-29 01:30:00+00:00,spain,179.30261,15
2026-07-29 01:45:00+00:00,spain,179.30261,16
2026-07-29 02:00:00+00:00,spain,178.573,17
2026-07-29 02:15:00+00:00,spain,178.573,18
2026-07-29 02:30:00+00:00,spain,178.573,19
2026-07-29 02:45:00+00:00,spain,178.573,20
2026-07-29 03:00:00+00:00,spain,178.79709,21
2026-07-29 03:15:00+00:00,spain,178.79709,22
2026-07-29 03:30:00+00:00,spain,178.79709,23
2026-07-29 03:45:00+00:00,spain,178.79709,24
2026-07-29 04:00:00+00:00,spain,178.72964,25
2026-07-29 04:15:00+00:00,spain,178.72964,26
2026-07-29 04:30:00+00:00,spain,178.72964,27
2026-07-29 04:45:00+00:00,spain,178.72964,28
2026-07-29 05:00:00+00:00,spain,178.79953,29
2026-07-29 05:15:00+00:00,spain,178.79953,30
2026-07-29 05:30:00+00:00,spain,178.79953,31
2026-07-29 05:45:00+00:00,spain,178.79953,32
2026-07-29 06:00:00+00:00,spain,179.24742,33
2026-07-29 06:15:00+00:00,spain,179.24742,34
2026-07-29 06:30:00+00:00,spain,179.24742,35
2026-07-29 06:45:00+00:00,spain,179.24742,36
2026-07-29 07:00:00+00:00,spain,179.81563,37
2026-07-29 07:15:00+00:00,spain,179.81563,38
2026-07-29 07:30:00+00:00,spain,179.81563,39
2026-07-29 07:45:00+00:00,spain,179.81563,40
2026-07-29 08:00:00+00:00,spain,183.58815,41
2026-07-29 08:15:00+00:00,spain,183.58815,42
2026-07-29 08:30:00+00:00,spain,183.58815,43
2026-07-29 08:45:00+00:00,spain,183.58815,44
2026-07-29 09:00:00+00:00,spain,183.29167,45
2026-07-29 09:15:00+00:00,spain,183.29167,46
2026-07-29 09:30:00+00:00,spain,183.29167,47
2026-07-29 09:45:00+00:00,spain,183.29167,48
2026-07-29 10:00:00+00:00,spain,183.11975,49
2026-07-29 10:15:00+00:00,spain,183.11975,50
2026-07-29 10:30:00+00:00,spain,183.11975,51
2026-07-29 10:45:00+00:00,spain,183.11975,52
2026-07-29 11:00:00+00:00,spain,182.70801,53
2026-07-29 11:15:00+00:00,spain,182.70801,54
2026-07-29 11:30:00+00:00,spain,182.70801,55
2026-07-29 11:45:00+00:00,spain,182.70801,56
2026-07-29 12:00:00+00:00,spain,182.94977,57
2026-07-29 12:15:00+00:00,spain,182.94977,58
2026-07-29 12:30:00+00:00,spain,182.94977,59
2026-07-29 12:45:00+00:00,spain,182.94977,60
2026-07-29 13:00:00+00:00,spain,182.94977,61
2026-07-29 13:15:00+00:00,spain,182.94977,62
2026-07-29 13:30:00+00:00,spain,182.94977,63
2026-07-29 13:45:00+00:00,spain,182.94977,64
2026-07-29 14:00:00+00:00,spain,182.18617,65
2026-07-29 14:15:00+00:00,spain,182.18617,66
2026-07-29 14:30:00+00:00,spain,182.18617,67
2026-07-29 14:45:00+00:00,spain,182.18617,68
2026-07-29 15:00:00+00:00,spain,181.89445,69
2026-07-29 15:15:00+00:00,spain,181.89445,70
2026-07-29 15:30:00+00:00,spain,181.89445,71
2026-07-29 15:45:00+00:00,spain,181.89445,72
2026-07-29 16:00:00+00:00,spain,181.7691,73
2026-07-29 16:15:00+00:00,spain,181.7691,74
2026-07-29 16:30:00+00:00,spain,181.7691,75
2026-07-29 16:45:00+00:00,spain,181.7691,76
2026-07-29 17:00:00+00:00,spain,181.71788,77
2026-07-29 17:15:00+00:00,spain,181.71788,78
2026-07-29 17:30:00+00:00,spain,181.71788,79
2026-07-29 17:45:00+00:00,spain,181.71788,80
2026-07-29 18:00:00+00:00,spain,180.75783,81
2026-07-29 18:15:00+00:00,spain,180.75783,82
2026-07-29 18:30:00+00:00,spain,180.75783,83
2026-07-29 18:45:00+00:00,spain,180.75783,84
2026-07-29 19:00:00+00:00,spain,181.32281,85
2026-07-29 19:15:00+00:00,spain,181.32281,86
2026-07-29 19:30:00+00:00,spain,181.32281,87
2026-07-29 19:45:00+00:00,spain,181.32281,88
2026-07-29 20:00:00+00:00,spain,184.56093,89
2026-07-29 20:15:00+00:00,spain,184.56093,90
2026-07-29 20:30:00+00:00,spain,184.56093,91
2026-07-29 20:45:00+00:00,spain,184.56093,92
2026-07-29 21:00:00+00:00,spain,184.69673,93
2026-07-29 21:15:00+00:00,spain,184.69673,94
2026-07-29 21:30:00+00:00,spain,184.69673,95
2026-07-29 21:45:00+00:00,spain,184.69673,96
