model,MAE,RMSE,MAPE
Previous Hour,13.74524491843322,23.27134566578245,191384322296176.6
Previous Day,26.84259988659165,42.52272792576362,1006458064330686.0
Previous Week,32.54683154497078,51.06785861783277,858680632171570.2
Random Forest,8.849520425501185,16.595636051723346,
XGBoost,9.404666547113887,16.74675334030135,
