datetime,forecast_load_mw
2026-07-22 00:00:00,4829.7134
2026-07-22 01:00:00,4591.1465
2026-07-22 02:00:00,4434.226
2026-07-22 03:00:00,4326.857
2026-07-22 04:00:00,4364.1167
2026-07-22 05:00:00,4602.3657
2026-07-22 06:00:00,5137.878
2026-07-22 07:00:00,5403.4897
2026-07-22 08:00:00,6258.212
2026-07-22 09:00:00,6694.69
2026-07-22 10:00:00,6870.1646
2026-07-22 11:00:00,6989.026
2026-07-22 12:00:00,6671.0415
2026-07-22 13:00:00,6450.008
2026-07-22 14:00:00,6262.162
2026-07-22 15:00:00,6259.3687
2026-07-22 16:00:00,6502.9087
2026-07-22 17:00:00,7143.9634
2026-07-22 18:00:00,7224.192
2026-07-22 19:00:00,6880.874
2026-07-22 20:00:00,6378.6724
2026-07-22 21:00:00,5641.2153
2026-07-22 22:00:00,5123.3525
2026-07-22 23:00:00,5008.2827
