datetime,forecast_load_mw
2026-07-25 00:00:00,22770.996
2026-07-25 01:00:00,22193.312
2026-07-25 02:00:00,21498.127
2026-07-25 03:00:00,20829.633
2026-07-25 04:00:00,21140.896
2026-07-25 05:00:00,21256.736
2026-07-25 06:00:00,23120.004
2026-07-25 07:00:00,25042.438
2026-07-25 08:00:00,26691.459
2026-07-25 09:00:00,28248.473
2026-07-25 10:00:00,28594.746
2026-07-25 11:00:00,28098.062
2026-07-25 12:00:00,27688.865
2026-07-25 13:00:00,26501.201
2026-07-25 14:00:00,26155.691
2026-07-25 15:00:00,25853.912
2026-07-25 16:00:00,27274.68
2026-07-25 17:00:00,29684.146
2026-07-25 18:00:00,30384.87
2026-07-25 19:00:00,29666.54
2026-07-25 20:00:00,28186.746
2026-07-25 21:00:00,26644.129
2026-07-25 22:00:00,24556.037
2026-07-25 23:00:00,22496.203
