datetime,forecast_load_mw
2026-07-23 00:00:00,4829.7134
2026-07-23 01:00:00,4591.1465
2026-07-23 02:00:00,4434.226
2026-07-23 03:00:00,4326.857
2026-07-23 04:00:00,4364.1167
2026-07-23 05:00:00,4602.3657
2026-07-23 06:00:00,5137.878
2026-07-23 07:00:00,5403.4897
2026-07-23 08:00:00,6258.212
2026-07-23 09:00:00,6694.69
2026-07-23 10:00:00,6870.1646
2026-07-23 11:00:00,6989.026
2026-07-23 12:00:00,6671.0415
2026-07-23 13:00:00,6450.008
2026-07-23 14:00:00,6262.162
2026-07-23 15:00:00,6259.3687
2026-07-23 16:00:00,6502.9087
2026-07-23 17:00:00,7143.9634
2026-07-23 18:00:00,7224.192
2026-07-23 19:00:00,6880.874
2026-07-23 20:00:00,6378.6724
2026-07-23 21:00:00,5641.2153
2026-07-23 22:00:00,5123.3525
2026-07-23 23:00:00,5008.2827
