datetime,forecast_load_mw
2026-07-10 00:00:00,46975.164
2026-07-10 01:00:00,46126.746
2026-07-10 02:00:00,46002.402
2026-07-10 03:00:00,45517.05
2026-07-10 04:00:00,45412.695
2026-07-10 05:00:00,46171.207
2026-07-10 06:00:00,46955.45
2026-07-10 07:00:00,48627.2
2026-07-10 08:00:00,50480.473
2026-07-10 09:00:00,51955.19
2026-07-10 10:00:00,53562.242
2026-07-10 11:00:00,55798.43
2026-07-10 12:00:00,55575.266
2026-07-10 13:00:00,53245.516
2026-07-10 14:00:00,52288.875
2026-07-10 15:00:00,51922.29
2026-07-10 16:00:00,53797.58
2026-07-10 17:00:00,55683.973
2026-07-10 18:00:00,57311.43
2026-07-10 19:00:00,54235.8
2026-07-10 20:00:00,51540.08
2026-07-10 21:00:00,50188.723
2026-07-10 22:00:00,48626.508
2026-07-10 23:00:00,47858.03
