datetime,renewable_total_mwh,prediction_mwh,error_mwh,error_percent
2025-03-25,458430.1,454696.06,-3734.0374999999767,-0.8145271220192516
2025-03-26,376028.81,384550.8,8522.002500000002,2.2663163761308613
2025-03-27,459940.74,456619.78,-3320.9587499999907,-0.7220405720093399
2025-03-28,555246.43,545439.8,-9806.617500000051,-1.7661738950757504
2025-03-29,488664.28,488718.1,53.81374999997206,0.01101241735941331
2025-03-30,921466.88,911170.7,-10296.192500000005,-1.1173697854447036
2025-03-31,533324.86,537050.94,3726.077500000014,0.6986506310619036
2025-04-01,611487.25,596166.6,-15320.625,-2.5054692473146414
2025-04-02,846057.5,829647.06,-16410.4375,-1.9396361949394691
2025-04-03,648180.5,641251.4,-6929.125,-1.069011641047517
2025-04-04,522577.0,501003.53,-21573.46875,-4.128285161803906
2025-04-05,728369.5,712315.6,-16053.875,-2.204083916199127
2025-04-06,602126.5,598105.8,-4020.6875,-0.6677479732248954
2025-04-07,526328.25,515284.03,-11044.21875,-2.098351884019146
2025-04-08,410854.75,404565.0,-6289.75,-1.5308938256159872
2025-04-09,543432.5,542558.6,-873.875,-0.1608065399106605
2025-04-10,603003.5,597049.1,-5954.375,-0.9874528091462156
2025-04-11,733214.25,733037.94,-176.3125,-0.024046518463054965
2025-04-12,587164.75,558991.8,-28172.9375,-4.798131614678844
2025-04-13,685264.75,700028.2,14763.4375,2.1544136773414944
2025-04-14,505167.75,491447.94,-13719.8125,-2.7158923941601576
2025-04-15,742338.25,746655.8,4317.5625,0.5816166013269558
2025-04-16,509698.5,510586.97,888.46875,0.17431260833610457
2025-04-17,533495.25,540655.1,7159.875,1.3420691187034937
2025-04-18,317257.0,333117.7,15860.6875,4.999318375953879
2025-04-19,385604.25,363924.4,-21679.84375,-5.62230414991536
2025-04-20,430604.5,425616.66,-4987.84375,-1.158335258920889
2025-04-21,315354.25,324100.66,8746.40625,2.7735177978416337
2025-04-22,321369.0,325351.94,3982.9375,1.2393658069073246
2025-04-23,401173.25,400975.94,-197.3125,-0.04918386258306106
2025-04-24,385114.0,390231.25,5117.25,1.328762392434448
2025-04-25,339303.25,328002.25,-11301.0,-3.3306489106720907
2025-04-26,617610.0,597038.2,-20571.8125,-3.330874257217338
2025-04-27,558767.25,569084.25,10317.0,1.8463859505008569
2025-04-28,478167.25,461278.8,-16888.4375,-3.5319101214062654
2025-04-29,510001.0,493708.88,-16292.125,-3.194528049945
2025-04-30,470979.0,454733.03,-16245.96875,-3.4494040604782805
2025-05-01,482765.0,471745.72,-11019.28125,-2.282535239712904
2025-05-02,599681.5,603734.4,4052.875,0.6758379239646379
2025-05-03,553679.75,555448.94,1769.1875,0.31953263596871656
2025-05-04,638240.25,653096.2,14855.9375,2.3276403360646714
2025-05-05,559419.25,565720.56,6301.3125,1.1264025147507886
2025-05-06,624128.25,611534.9,-12593.375,-2.0177543637866098
2025-05-07,525392.0,528267.3,2875.3125,0.5472699432043122
2025-05-08,490422.75,493745.7,3322.9375,0.6775659367351943
2025-05-09,562784.25,531550.4,-31233.875,-5.5498843473320365
2025-05-10,527705.75,521292.6,-6413.15625,-1.215290197235865
2025-05-11,677195.0,662954.5,-14240.5,-2.1028654966442457
2025-05-12,802295.5,781160.5,-21135.0,-2.6343161590710653
2025-05-13,599238.75,568784.6,-30454.125,-5.082135459364069
2025-05-14,721235.5,693151.4,-28084.125,-3.8938911076895137
2025-05-15,756707.5,754154.3,-2553.1875,-0.3374074526815183
2025-05-16,665964.0,664463.4,-1500.625,-0.22533124913658997
2025-05-17,619835.75,620940.44,1104.6875,0.17822261784674406
2025-05-18,543185.0,544922.7,1737.6875,0.31990712188296805
2025-05-19,477812.0,478596.3,784.3125,0.16414667274995187
2025-05-20,552997.0,544125.6,-8871.375,-1.6042356468479937
2025-05-21,805813.25,794249.4,-11563.875,-1.4350564476322523
2025-05-22,833612.5,818706.94,-14905.5625,-1.7880684970534872
2025-05-23,752424.5,742633.8,-9790.6875,-1.3012185940250485
2025-05-24,740015.75,731126.75,-8889.0,-1.2011906503341314
2025-05-25,702064.5,706383.9,4319.375,0.6152390556708109
2025-05-26,701748.5,691158.5,-10590.0,-1.509087657472727
2025-05-27,822005.0,820740.2,-1264.8125,-0.15386919787592535
2025-05-28,734961.75,734066.0,-895.75,-0.12187709088262075
