datetime,actual,prediction,error,absolute_error
2025-01-01 00:00:00,4790.9215619999995,4615.7275,175.19402293749954,175.19402293749954
2025-01-01 01:00:00,4629.974748000001,4588.2134,41.761369093750545,41.761369093750545
2025-01-01 02:00:00,4305.527611,4557.7114,-252.18381478124957,252.18381478124957
2025-01-01 03:00:00,4223.946301,4196.9463,27.00001193749995,27.00001193749995
2025-01-01 04:00:00,4277.251093999999,4061.7493,215.50182642187428,215.50182642187428
2025-01-01 05:00:00,4134.767645999999,4148.8525,-14.084893062500669,14.084893062500669
2025-01-01 06:00:00,4314.635851,4064.0786,250.55723771875,250.55723771875
2025-01-01 07:00:00,4101.130547999999,4267.541,-166.41046762500082,166.41046762500082
2025-01-01 08:00:00,4186.268512000001,3979.9248,206.34370731250056,206.34370731250056
2025-01-01 09:00:00,4067.401433,4085.058,-17.656672468750003,17.656672468750003
2025-01-01 10:00:00,3789.14738,4026.809,-237.66170203125012,237.66170203125012
2025-01-01 11:00:00,3188.6436830000002,3625.0918,-436.44811387499976,436.44811387499976
2025-01-01 12:00:00,3075.450163,3016.353,59.097135656249975,59.097135656249975
2025-01-01 13:00:00,3437.8602730000002,2927.1956,510.66471635937523,510.66471635937523
2025-01-01 14:00:00,3602.0063499999997,3451.777,150.22925039062466,150.22925039062466
2025-01-01 15:00:00,3870.6737019999996,3758.2517,112.4219930156246,112.4219930156246
2025-01-01 16:00:00,3826.5412490000003,3926.8435,-100.30225685937467,100.30225685937467
2025-01-01 17:00:00,3668.421198,3854.6929,-186.27167309375,186.27167309375
2025-01-01 18:00:00,3388.943337,3590.0588,-201.11550089062484,201.11550089062484
2025-01-01 19:00:00,3108.164995,3107.1948,0.9701707812500899,0.9701707812500899
2025-01-01 20:00:00,2552.97795,2786.9963,-234.01838789062504,234.01838789062504
2025-01-01 21:00:00,2214.433358,2330.8494,-116.41600723437477,116.41600723437477
2025-01-01 22:00:00,2207.274056,1863.8453,343.4287190859377,343.4287190859377
2025-01-01 23:00:00,2349.525103,2015.834,333.69111862499994,333.69111862499994
2025-01-02 00:00:00,2435.215787,2324.1143,111.10152918750009,111.10152918750009
2025-01-02 01:00:00,2563.193511,2424.4348,138.75869654687494,138.75869654687494
2025-01-02 02:00:00,2923.171398,2538.2256,384.94581206249995,384.94581206249995
2025-01-02 03:00:00,2891.958556,3173.6382,-281.67962759374996,281.67962759374996
2025-01-02 04:00:00,2390.005096,2918.4836,-528.4785465781251,528.4785465781251
2025-01-02 05:00:00,2116.4425950000004,2260.9001,-144.45755148437456,144.45755148437456
2025-01-02 06:00:00,2030.8942459999998,1788.5585,242.33577432031234,242.33577432031234
2025-01-02 07:00:00,1799.7237460000001,1939.685,-139.96131259374988,139.96131259374988
2025-01-02 08:00:00,1466.15087,1631.0765,-164.92566808593756,164.92566808593756
2025-01-02 09:00:00,1433.900081,1313.1357,120.7643388125,120.7643388125
2025-01-02 10:00:00,1747.773966,1289.0045,458.7694493984375,458.7694493984375
2025-01-02 11:00:00,2161.87748,1702.1069,459.7705464062501,459.7705464062501
2025-01-02 12:00:00,2501.015036,2296.65,204.36513365624978,204.36513365624978
2025-01-02 13:00:00,2764.0895699999996,2589.651,174.43869109374964,174.43869109374964
2025-01-02 14:00:00,2936.61224,2752.2173,184.39495484374993,184.39495484374993
2025-01-02 15:00:00,2831.8016429999993,2946.636,-114.83434332812567,114.83434332812567
2025-01-02 16:00:00,2838.705397,3020.127,-181.42155612499982,181.42155612499982
2025-01-02 17:00:00,3071.936182,2878.4749,193.46132848437492,193.46132848437492
2025-01-02 18:00:00,2999.3080360000004,3160.448,-161.13996204687464,161.13996204687464
2025-01-02 19:00:00,2811.867381,2979.1028,-167.23540220312498,167.23540220312498
2025-01-02 20:00:00,2508.55012,2693.7869,-185.23674523437512,185.23674523437512
2025-01-02 21:00:00,2276.1082499999998,2337.3423,-61.23403515625023,61.23403515625023
2025-01-02 22:00:00,1927.8302190000002,2019.4045,-91.57432201562483,91.57432201562483
2025-01-02 23:00:00,1627.406928,1644.0665,-16.659600320312393,16.659600320312393
2025-01-03 00:00:00,1836.002455,1393.682,442.32044816406255,442.32044816406255
2025-01-03 01:00:00,2403.20932,1886.6644,516.5448912890624,516.5448912890624
2025-01-03 02:00:00,3062.965561,2681.5127,381.4528656875,381.4528656875
2025-01-03 03:00:00,3745.797023,3438.1948,307.6021987812501,307.6021987812501
2025-01-03 04:00:00,4211.435799,3932.863,278.57276189062486,278.57276189062486
