date,actual_mwh,prediction_mwh,error_mwh,absolute_error_mwh
2025-01-01,87311.888103,86847.59,464.2917895234368,4389.430769148437
2025-01-02,57055.538334,56621.27,434.2675820468744,4911.944927578124
2025-01-03,81636.011944,79322.9,2313.112407867187,4569.295516257814
2025-01-04,25044.232339000002,26409.418,-1365.1860569960936,2823.631346613281
2025-01-05,50216.226298,48708.027,1508.1987711445304,2651.225414691406
2025-01-06,100784.371106,99251.125,1533.2490356874987,1981.4126507812507
2025-01-07,96533.707887,95172.875,1360.8345959843732,2919.9889324218743
2025-01-08,82177.795665,82241.15,-63.352894570311946,2531.8756091640644
2025-01-09,11126.398853,12043.171,-916.7723811308595,1532.7052380126952
2025-01-10,33207.175018,32542.096,665.078956293459,2479.296312547362
2025-01-11,57905.460572,57256.016,649.4448249296879,1516.3130888828123
2025-01-12,16952.225602,17928.355,-976.129080922364,1767.8677703266605
2025-01-13,77380.69981399999,76264.53,1116.170395054687,2289.072656929688
2025-01-14,87166.824137,87405.914,-239.0926110468754,2613.8235764531255
2025-01-15,33141.45194,34545.133,-1403.6807504296883,2855.887296
2025-01-16,56255.808556,56165.383,90.42549935937632,2952.209464281248
2025-01-17,63254.95001,64041.074,-786.1249411718738,3054.9845801406236
2025-01-18,20919.479706,22203.748,-1284.2682188046879,1969.0222274570308
2025-01-19,9208.358584,9131.461,76.89798219335947,1155.5768898632812
2025-01-20,9871.769212,10237.416,-365.6470477656249,1245.957149171875
2025-01-21,35808.883711,35813.812,-4.929643492187097,1705.1538111484363
2025-01-22,27147.344641,27784.338,-636.9933716953128,2057.792047250001
2025-01-23,41595.339598,41540.508,54.833555519530876,3193.6694440195315
2025-01-24,98480.481292,95690.9,2789.5840752031263,4357.111929484372
2025-01-25,86542.249823,86358.35,183.90094604687465,3159.3753920156264
2025-01-26,24426.823367999998,25515.412,-1088.5882836113285,3007.2601049394534
2025-01-27,83645.57021800001,82416.01,1229.5611847968767,2454.2147557656244
2025-01-28,44926.266635,46067.53,-1141.2641877539068,4594.152969058595
2025-01-29,19893.818146999998,20664.688,-770.8699938691407,2209.8469265839844
2025-01-30,51645.552695,51673.562,-28.008340156249005,2433.2061364218753
2025-01-31,30848.058691000002,31645.0,-796.940942789062,1997.3902563593747
2025-02-01,8899.308861,9671.641,-772.3322560959471,1059.995231326416
2025-02-02,13443.109896,13760.202,-317.09182519140614,967.2541141210936
2025-02-03,24188.086808,24679.674,-491.5876304765628,1825.162358890625
2025-02-04,68878.758199,67181.97,1696.7876179453137,2277.0551356015635
2025-02-05,69245.09088,69421.67,-176.57782117187458,2656.866592078126
2025-02-06,32788.222932,34475.395,-1687.1734303046883,2607.8973628203125
2025-02-07,51717.412092,51991.06,-273.64552518750065,2448.732210343751
2025-02-08,60207.297392,61734.5,-1527.2011431562473,2265.5625227812475
2025-02-09,49939.267517,49986.547,-47.27764901562614,1611.729706015626
2025-02-10,82267.373466,82039.914,227.46330974999955,1939.076005218751
2025-02-11,95450.339408,93371.234,2079.103079874999,2932.8727371562472
2025-02-12,62638.620212,64068.88,-1430.2588163203116,2300.2744824921856
2025-02-13,29736.019305,30694.014,-957.9941227343743,2158.809133625
2025-02-14,6873.929222,7342.468,-468.5387116547851,1017.3490953588866
2025-02-15,35466.935716,35566.676,-99.73826471289021,2737.8145140722663
2025-02-16,28988.380124,30126.87,-1138.4890166249997,2041.897093417968
2025-02-17,27501.045361,28055.486,-554.4411197128911,2177.7439094238284
2025-02-18,15491.675649,16527.252,-1035.576914476562,1677.636083345703
2025-02-19,46332.816053,45841.523,491.2916694550796,2162.882314611328
2025-02-20,90692.068026,88556.22,2135.848299437501,2885.6462748125023
2025-02-21,64162.867981,64244.617,-81.74786372656149,3068.2688674921874
2025-02-22,60250.072007999996,62205.656,-1955.5853406328135,2812.1846205078136
2025-02-23,49905.415393999996,48466.773,1438.6423837460934,3309.2250459804686
2025-02-24,84607.2442,84841.91,-234.66363691406286,2772.6246960859366
2025-02-25,26550.133466,27002.195,-452.0623958164066,2146.75201098828
2025-02-26,11703.238046,11794.431,-91.19264858007779,1245.0111017070315
2025-02-27,9776.723217,10348.607,-571.8840980634766,946.147572051758
2025-02-28,11667.512929,11439.112,228.4003420249021,1376.529461687988
2025-03-01,36486.433135,35598.773,887.6600408227533,2718.9863710610352
2025-03-02,78899.806391,76617.65,2282.1557562343755,4090.560739484374
2025-03-03,95270.385244,93659.914,1610.4714256406237,4460.613619828122
2025-03-04,100137.670701,96854.625,3283.0496072500005,3625.668642843752
2025-03-05,104925.140245,102300.46,2624.676621953128,7174.129660921877
2025-03-06,72043.825263,71570.69,473.13849542187563,4525.448508140627
2025-03-07,42646.45176,43725.117,-1078.666831308594,2526.527755308595
2025-03-08,17483.661274000002,18079.93,-596.2674521962888,1885.9142732236323
2025-03-09,21119.320817,22605.758,-1486.437422746094,2952.649930386719
2025-03-10,22334.639075,22623.232,-288.5935299804692,1705.7862242812503
2025-03-11,7586.360296,9347.62,-1761.2602026572267,1795.571648631836
2025-03-12,18651.763918,19710.639,-1058.8754252617184,1667.3908839882813
2025-03-13,33726.006712999995,34553.68,-827.6748055546889,2214.983828625
2025-03-14,29145.592788,29211.107,-65.51482460986301,1760.6063387788085
