datetime,price_eur_mwh,load_mw,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil.1,Geothermal,Hydro Pumped Storage,Hydro Pumped Storage.1,Hydro Run-of-river and poundage,Hydro Water Reservoir,Hydro Water Reservoir.1,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2020-01-01 00:00:00+01:00,41.88,43968.47749999999,4824.6925,9316.965,6053.305,1961.8225,453.735,0.0,31.7325,623.915,275.81,1329.9625,306.965,0.0,8084.69,462.6125,200.12,0.10250000000000001,845.89,549.4,6084.94
2020-01-01 01:00:00+01:00,38.6,43046.685,4801.3625,9419.067500000001,5681.1275000000005,1825.3025,453.7475,0.0,31.83,669.5575,481.8275,1324.17,155.59,0.0,8089.5125,460.985,199.19,0.1075,826.155,1169.1675,5886.695
2020-01-01 02:00:00+01:00,36.55,41894.8125,4798.62,9425.6025,5493.5650000000005,1797.245,454.135,0.0,31.7825,2365.8325,681.42,1319.13,109.4525,0.0,8082.452499999999,454.6125,198.16,0.11,818.8575,1665.6225,5771.55
2020-01-01 03:00:00+01:00,32.32,40701.645,4794.6875,9497.335,5512.719999999999,1899.2875000000001,453.7275,0.0,31.439999999999998,2454.5474999999997,751.3525,1311.7875,164.735,0.0,8072.74,462.7475,201.09,0.11499999999999999,814.255,2062.205,5487.4825
2020-01-01 04:00:00+01:00,30.85,40681.4025,4796.4,9549.8575,5415.3625,1922.8025,453.73,0.0,31.5625,2269.945,1471.96,1307.185,39.9425,0.0,8073.57,462.555,199.46,0.1375,834.975,2292.1525,5458.39
2020-01-01 05:00:00+01:00,30.14,40438.005,4807.8625,9466.532500000001,5431.0925,1983.435,453.7275,0.0,31.0275,2257.19,1654.825,1307.3125,33.645,0.0,8070.2075,459.9775,196.775,0.1575,838.5675,2159.1575000000003,5567.9325
2020-01-01 06:00:00+01:00,30.17,39381.875,4825.3724999999995,9338.395,5475.11,2006.77,453.7425,0.0,30.83,1406.4875,1356.25,1307.04,45.835,0.0,8076.2925,459.055,191.76749999999998,0.195,833.34,1942.92,5568.1
2020-01-01 07:00:00+01:00,30.0,39901.435,4869.9075,9323.5475,5659.045,2012.77,453.7275,0.0,30.75,492.12,773.2925,1313.4025000000001,35.995,0.0,8093.0975,459.1725,192.27,0.41250000000000003,838.315,2154.3025,5255.3099999999995
2020-01-01 08:00:00+01:00,30.65,40619.445,4914.2,9801.6075,5755.75,2049.9375,454.1175,0.0,30.65,202.0825,1584.99,1316.5,26.85,0.0,8097.2125,460.14,192.3625,366.62,839.86,2283.2875,5053.995
2020-01-01 09:00:00+01:00,30.65,42820.225,4917.9075,9961.682499999999,5826.715,2065.865,453.7225,0.0,30.29,180.64,1598.02,1323.1499999999999,38.0075,0.0,8097.825,460.84000000000003,192.0925,3030.885,825.015,2341.16,5042.0425
2020-01-01 10:00:00+01:00,30.27,45015.915,4879.952499999999,10179.17,5828.13,2045.145,453.7475,0.0,30.04,453.195,2610.7225,1327.3675,66.5825,0.0,8050.9,461.3725,191.6975,6618.6225,831.2025,2546.73,4782.8675
2020-01-01 11:00:00+01:00,30.34,47152.1125,4853.035,10170.6175,5837.725,2038.0025,453.745,0.0,29.82,642.1975,2861.09,1332.7475,52.5,0.0,7816.5525,461.46000000000004,193.865,9558.7975,840.47,2751.8650000000002,4556.137500000001
2020-01-01 12:00:00+01:00,30.99,48492.5875,4796.9175000000005,10322.2775,5786.702499999999,2035.1475,453.745,0.0,29.3925,580.0825,2509.53,1342.28,38.015,0.0,7681.96,461.40250000000003,195.375,10892.4225,836.1625,3363.4700000000003,4166.58
2020-01-01 13:00:00+01:00,30.04,48223.1775,4843.945,10042.904999999999,5767.5650000000005,2008.0525,453.7575,0.0,29.37,524.02,1750.2175,1351.0725,49.614999999999995,0.0,7917.754999999999,461.335,196.9525,10006.7675,837.8425,3619.1225,4220.9625
2020-01-01 14:00:00+01:00,30.75,46625.1025,4873.3075,10753.6325,5866.4775,2031.5475,453.73,0.0,29.302500000000002,966.8325,725.375,1346.6399999999999,91.96000000000001,0.0,8076.0650000000005,461.095,197.1225,6892.4925,835.1625,3326.8225,4080.0325
2020-01-01 15:00:00+01:00,32.11,46762.1275,4851.14,11081.605,5955.905000000001,2206.4925000000003,453.73,0.0,29.442500000000003,1076.775,319.935,1347.0125,81.2525,0.0,8090.0025,461.6,196.765,2490.31,830.5550000000001,2967.3375,4245.4775
2020-01-01 16:00:00+01:00,35.98,49568.08,4848.4925,11183.515,6307.1775,2144.34,453.7325,0.0,29.57,1017.1625,260.0375,1342.88,162.495,0.0,8089.4275,459.71000000000004,196.9675,124.125,843.84,2985.0175,5418.43
2020-01-01 17:00:00+01:00,40.4,53576.86,4899.775,11179.92,6347.4175,2189.6425,453.74,0.0,29.7575,1354.3600000000001,2867.73,1338.06,74.47,0.0,8085.77,459.91499999999996,196.91750000000002,0.66,840.2925,3755.87,6694.225
2020-01-01 18:00:00+01:00,44.05,54413.8725,4943.969999999999,11114.2875,6424.8275,2050.5975,453.735,0.0,29.78,2156.515,3270.7275,1332.585,60.4325,0.0,8083.3175,463.7625,196.59,0.46,837.115,4458.3150000000005,7871.94
2020-01-01 19:00:00+01:00,43.15,53169.07,4936.705,10710.215,6452.37,1886.565,453.725,0.0,29.755,1647.4675,3429.3525,1317.745,61.2525,0.0,8088.1325,465.0525,196.3325,0.295,841.8275,4710.36,8766.955
2020-01-01 20:00:00+01:00,43.45,51030.3825,4905.8575,11077.765,6427.8975,1873.0325,454.7325,0.0,29.84,1295.545,2128.42,1313.15,94.9325,0.0,8087.9974999999995,465.1225,195.4625,0.1925,838.8425,4405.2825,9479.17
