,MAE,RMSE,MAPE
Germany,355.8121375023018,488.24902705235013,0.006573320504200969
France,338.7404758490406,701.3412852520445,0.006453939010976807
Spain,174.30803383601375,267.5175028889601,0.006381413458914323
Netherlands,100.0759765605559,150.94663958914094,0.00807080133384348
