Model,MAE,RMSE,MAPE
Holt-Winters,35.13773205688348,48.01429343135917,inf
Moving Average,38.053588245552845,55.4141879643015,inf
"ARIMA(2,1,2)",39.36650822338022,55.76334359685687,inf
Naive,45.266283746076034,59.02257209297359,inf
Exponential Smoothing,45.266283753145245,59.022572097747336,inf
SARIMA,325.8166709496188,378.8239793948565,inf
