feature,mean_abs_shap
lag_1,45.954138253495046
lag_4,5.001784985406958
shortwave_radiation,1.50183414527332
rolling_mean_96,1.375692775586494
evening_peak,0.9692502532243378
lag_96,0.9139205413595626
hour,0.39721160590277566
morning_ramp,0.38141197916318886
night_period,0.3179302221291782
temperature_2m,0.27873252093024137
wind_speed_10m,0.21818835788162957
weekend,0.17468862498912863
rolling_mean_672,0.1606058932021566
rolling_std_96,0.11370502137268931
day_of_week,0.10818762554140567
is_peak,0.10672881201925993
is_off_peak,0.10672881201925838
lag_672,0.03555574025124389
cloud_cover,0.017008672845937635
month,0.0013682837333361612
precipitation,1.3919291775691146e-05
dst_flag,0.0
