date,actual_mwh,prediction_mwh,error_mwh,absolute_error_mwh
2025-01-01,50.239999999999995,53.51927,-3.2792724913358695,4.504845409989356
2025-01-02,99.17,99.63935,-0.469350652694703,5.265232095718384
2025-01-03,163.25,167.31853,-4.0685257911682156,6.228740749359132
2025-01-04,76.8,79.96729,-3.167291474342347,4.676064195632934
2025-01-05,104.81,105.640656,-0.8306551003456095,4.8699679350853
2025-01-06,130.24,130.1853,0.054703464508061295,4.680694293975832
2025-01-07,133.42000000000002,134.43253,-1.0125325489044141,6.284264268875123
2025-01-08,144.86,143.86206,0.9979344463348374,5.298979825973512
2025-01-09,147.34,146.23665,1.1033514404296882,5.222216262817384
2025-01-10,181.08,183.31732,-2.237323923110957,6.108261232376103
2025-01-11,96.98,98.787865,-1.8078613471984855,5.65778060913086
2025-01-12,192.82,190.23143,2.588563747406009,5.263348712921144
2025-01-13,164.54,165.89111,-1.3511190032958957,4.287274589538574
2025-01-14,172.59,172.01785,0.5721527004241929,4.9899476146697985
2025-01-15,96.07000000000001,99.68942,-3.619425230026244,5.116214122772214
2025-01-16,103.84,101.99297,1.8470239305496237,4.9427547597885155
2025-01-17,166.68,167.10153,-0.4215336513519281,5.412803316116334
2025-01-18,136.76,140.7575,-3.9975109004974354,6.214515047073364
2025-01-19,63.010000000000005,66.37009,-3.3600853586196884,3.9992024946212776
2025-01-20,36.71,36.692078,0.017921379804611115,2.8518412983417503
2025-01-21,77.97,75.921745,2.0482545208930985,4.843622791767124
2025-01-22,78.62,79.75111,-1.1311055469512943,3.750549659729003
2025-01-23,109.25,109.607704,-0.3577015399932888,3.9088671588897714
2025-01-24,109.4,107.12918,2.2708195686340336,7.925683259963993
2025-01-25,82.5,86.350746,-3.850742697715758,7.037097611427308
2025-01-26,140.56,137.13037,3.4296351051330625,6.067707672119144
2025-01-27,155.06,153.96239,1.0976152992248576,6.237565097808835
2025-01-28,181.65,180.99661,0.6533812522888187,7.075063724517824
2025-01-29,101.96000000000001,103.654655,-1.6946581983566278,5.935985045433044
2025-01-30,102.97,102.59034,0.3796612930297818,4.641071920394897
2025-01-31,73.39,75.42244,-2.032441303730008,3.2757984137535083
2025-02-01,85.7,86.79388,-1.0938762903213506,5.8524661207199085
2025-02-02,108.64,109.02825,-0.3882533168792728,4.583646421432493
2025-02-03,105.83,100.121956,5.7080437707900975,7.570254855155943
2025-02-04,143.48,144.0068,-0.5268025588989222,7.65200967788696
2025-02-05,146.89,146.67532,0.2146722221374504,7.009344406127928
2025-02-06,113.44,114.0063,-0.5663046216964689,6.475265297889711
2025-02-07,79.57000000000001,83.13777,-3.567769341468809,4.802298288345336
2025-02-08,98.8,101.216255,-2.416252803802488,4.897809619903564
2025-02-09,88.24,88.824326,-0.5843240118026731,3.807039837837219
2025-02-10,71.0,69.81619,1.1838044971227641,3.9857821542024596
2025-02-11,56.13,60.09251,-3.962511028051376,4.913445588350295
