Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2010-01-04,84.57847595214844,84.62325228661169,83.22020543300488,83.8620261315511,118944600
2010-01-05,84.8023681640625,84.83968557413895,84.22025300742887,84.52623982731122,111579900
2010-01-06,84.862060546875,85.0710243456003,84.6530967481497,84.72026124323862,116074400
2010-01-07,85.22032165527344,85.32480359556855,84.46655420556837,84.70537088250559,131091100
2010-01-08,85.50389099121094,85.54120839976568,84.82475856744435,84.99640498158702,126402800
2010-01-11,85.62329864501953,85.92181512591176,85.2576062764038,85.88450341271869,106375700
2010-01-12,84.82474517822266,85.23520813834931,84.49637025505237,85.05609713200016,163333500
2010-01-13,85.54119110107422,85.78000766355298,84.60831301422972,85.04116411921022,161822000
2010-01-14,85.77256774902344,85.92929062949273,85.39195178569081,85.44419274584723,115718800
2010-01-15,84.80982208251953,85.70538287296826,84.48144713556457,85.62329483006616,212283100
2010-01-19,85.86957550048828,85.9218164548361,84.77250976534697,84.79490362621345,139172700
2010-01-20,84.99640655517578,85.41433420830795,84.317274118836,85.28746412701243,216490200
2010-01-21,83.36201477050781,85.28001260733325,83.25753284117398,85.01880778399868,344859600
2010-01-22,81.50370025634766,83.39184478418747,81.41414190116632,82.9888407266263,345942400
2010-01-25,81.921630859375,82.39926974399602,81.65296717166602,82.25000581322796,186937500
2010-01-26,81.5783462524414,82.44406011681994,81.37684702888447,81.60073442241021,211168800
2010-01-27,81.96642303466797,82.1529987008524,80.84696903756134,81.47386054289906,271863600
2010-01-28,81.02607727050781,82.27986593150325,80.53352048967243,82.23508959520112,316104000
2010-01-29,80.14545440673828,81.94404682427654,80.01858430173903,81.376855122028,310677600
2010-02-01,81.39178466796875,81.39924929052985,80.22755407733993,80.71265205471485,187865000
2010-02-02,82.37689971923828,82.53362262151396,81.25744553683631,81.54104424043473,216327900
2010-02-03,81.96642303466797,82.451520905515,81.72760640970539,82.00373475160237,172730700
2010-02-04,79.43644714355469,81.36936806123416,79.42151790364919,81.3320563491439,356715700
2010-02-05,79.60063171386719,79.76481348997739,78.04832106289004,79.52599690473757,493585800
2010-02-08,79.0259780883789,80.1006556031368,78.96627251670643,79.66033412934812,224166900
2010-02-09,80.01859283447266,80.71265471573132,79.3096017075996,79.95142261688561,337820500
2010-02-10,79.86186218261719,80.30217809032912,79.19018854100392,79.89171497711537,240511500
2010-02-11,80.69770050048828,80.78725886494672,79.29465362032877,79.75736329594172,223591600
2010-02-12,80.63052368164062,80.67530001011193,79.48868175493209,79.84690377037509,304622100
2010-02-16,81.89926147460938,81.98135523189862,80.46636157365961,81.24251711013359,159317500
2010-02-17,82.28736114501953,82.39930772123174,81.8992804399958,82.29482007461813,168845100
2010-02-18,82.77244567871094,82.9440921329123,82.12316019765389,82.15301299269727,193708600
2010-02-19,82.94406127929688,83.26497158934262,82.36194622708281,82.55598647576628,222684900
2010-02-22,82.9590072631836,83.27245301705356,82.71272601635542,83.25006484803964,132346900
2010-02-23,81.95149993896484,82.98886026524254,81.73507146669886,82.73512007324386,207497000
2010-02-24,82.70526123046875,82.8395959381219,81.98881135426441,82.19777518976099,176350700
2010-02-25,82.5933609008789,82.65306651409256,81.30225975471744,81.52614726350764,259634700
2010-02-26,82.64556121826172,82.92915989454447,82.17539255672045,82.66794938873923,173589300
2010-03-01,83.50382232666016,83.58591609261536,82.96648338362202,82.98887155727549,147709700
2010-03-02,83.73513793945312,84.13814197135139,83.58587971749209,83.86201369133983,160992400
2010-03-03,83.8097915649414,84.30981298401758,83.60082203589822,83.9515851994953,150785000
2010-03-04,84.06352996826172,84.18294112520104,83.6082848966459,83.9217306428556,135770400
2010-03-05,85.26506042480469,85.33222491660561,84.40681141305254,84.60831627612771,176118800
2010-03-08,85.27999114990234,85.4665667901736,85.13073291522,85.2725322238539,114631200
2010-03-09,85.42179870605469,85.81733819060545,84.98148288554339,85.02625922150393,154556700
2010-03-10,85.80239868164062,86.03375063284864,85.38447110685554,85.45910021751915,186088800
2010-03-11,86.16063690185547,86.18303076372061,85.3397051424217,85.60090992580919,160791100
2010-03-12,86.16810607910156,86.54872203721467,85.9292894511132,86.53379279518178,162074800
2010-03-15,86.19046783447266,86.25017339663184,85.5262591135003,86.01882146055978,146816800
2010-03-16,86.87709045410156,86.95917850371332,86.190487718544,86.42930432843968,168673000
2010-03-17,87.39203643798828,87.67563508015823,86.88455042413578,87.13829627798061,177468100
2010-03-18,87.3472671508789,87.51891358030277,86.99650397705062,87.39950811120411,196509100
2010-03-19,86.9051284790039,87.89430448886382,86.56790587639969,86.9051284790039,226641100
2010-03-22,87.3697280883789,87.52710204895554,86.35807182876417,86.4105279098617,184477800
2010-03-23,87.98424530029297,88.05918176228343,87.21238316166308,87.49714972142664,182941600
2010-03-24,87.55707550048828,87.99921024482515,86.61286600354346,87.65449802442373,196072600
2010-03-25,87.41473388671875,88.55378318225502,87.30982167728594,88.14911935274846,223396300
2010-03-26,87.36223602294922,87.99170897865872,87.01752382568678,87.57955570069194,205808500
2010-03-29,87.91678619384766,88.07415445721718,87.44468140373912,87.80437865793093,134513500
2010-03-30,87.97673034667969,88.29896220703534,87.60953776259954,88.0216910704042,145772500
2010-03-31,87.677001953125,88.06667500175536,87.38474573733077,87.6395308619572,161078700
2010-04-01,88.27650451660156,88.61372146570898,87.75193783019631,88.27650451660156,161215200
2010-04-05,88.9958724975586,89.05581821702165,88.36639384628509,88.61368923490267,105847600
2010-04-06,89.20569610595703,89.36306433821444,88.6436642547733,88.74108105075636,110384200
2010-04-07,88.69615173339844,89.44552780027927,88.28399260969971,89.02587903235741,184576300
2010-04-08,89.00337982177734,89.15325844342108,88.12661132497952,88.38889176625004,158704000
2010-04-09,89.58789825439453,89.6253636220025,89.02586628471147,89.19072419329923,133006500
2010-04-12,89.73027801513672,89.96258845609707,89.5953901103899,89.7003022899391,110279000
2010-04-13,89.7977294921875,89.9550977696884,89.17574602590875,89.6403612146866,125043600
2010-04-14,90.81688690185547,90.81688690185547,89.98507901456685,90.12745657877848,161609000
2010-04-15,90.8918228149414,91.10164719654047,90.63703198208138,90.66700771049348,144615300
2010-04-16,89.44552612304688,90.89182213369818,88.98840627343837,90.56959020229031,366786700
2010-04-19,89.78273010253906,89.87265727412313,88.77856908096499,89.18323277716618,217947800
2010-04-20,90.58456420898438,90.65950637899627,89.82769860397119,90.34476412988701,157708000
2010-04-21,90.41968536376953,90.84682933442429,89.9175992404553,90.6369993111747,192910100
2010-04-22,90.68949127197266,90.80189882815613,89.26568128460151,89.78274689538814,115360300
2010-04-23,91.28150177001953,91.31897286228634,90.39723773501113,90.62954821595055,177335500
2010-04-26,90.93678283691406,91.51380559907923,90.84686136966744,91.3114708632032,143457300
2010-04-27,88.78606414794922,90.92927408275106,88.613705165637,90.41220857038383,355853300
2010-04-28,89.46047973632812,89.68529476020223,88.62867215219096,89.21319007080689,300674100
2010-04-29,90.56953430175781,90.7568781993343,89.97752689934228,90.00000725228634,193775000
2010-04-30,89.03336334228516,90.68199402101925,89.01088297639131,90.58457147909883,270000900
2010-05-03,90.18739318847656,90.43468862069582,89.32560971446937,89.46049761229035,182747900
2010-05-04,88.066650390625,89.19820956369404,87.61702600869265,89.18322456178612,360353400
2010-05-05,87.54207611083984,88.27646687171706,86.90510785788663,87.34723681227514,328973200
2010-05-06,84.63450622558594,87.67697019956128,78.68446043550372,87.12243369828386,647356600
2010-05-07,83.37559509277344,85.25652518147503,81.9892503081337,84.40973215929294,637558800
2010-05-10,87.04749298095703,87.41468551076474,86.11077325991859,86.7852068852395,396159600
2010-05-11,86.80022430419922,87.94676868068834,86.11079974958011,86.23069693776877,317849800
2010-05-12,88.01421356201172,88.14161183387763,86.99506169079713,87.14494032908483,235607100
2010-05-13,86.92012023925781,88.18656750296239,86.84518378305961,87.77440841794458,234452500
2010-05-14,85.34642791748047,86.42553113308418,84.58206695128442,86.26816286702278,345601400
2010-05-17,85.39139556884766,85.81853967344087,83.75775560934834,85.57873957467424,325739800
2010-05-18,84.2298583984375,86.34309836066288,83.95258723715142,86.088307563238,360556800
2010-05-19,83.750244140625,84.50710961048327,82.70111683793684,83.75773378246085,394742700
2010-05-20,80.587890625,82.34892297007266,80.53543453701178,81.96673963342437,530418300
2010-05-21,81.7644271850586,81.96675621758286,78.95426679436311,79.3664259385795,500909400
2010-05-24,80.7153091430664,81.97426137726299,80.64037266714843,81.32230203047465,269823000
2010-05-25,80.79771423339844,80.83518531759582,78.21985915076411,78.76690610670815,396505200
2010-05-26,80.31061553955078,82.03418243313537,80.07081547514014,81.29230187719065,349719300
2010-05-27,83.00090789794922,83.0308836314404,81.51714053521171,81.82438751553143,300870500
2010-05-28,81.95927429199219,82.97093098446419,81.56959547943528,82.91097951833444,297933500
2010-06-01,80.58038330078125,82.39387146459165,80.46048613916007,81.19487126196015,277909400
2010-06-02,82.67863464355469,82.68612428522438,80.56539508410711,80.99253906791193,240243700
2010-06-03,82.96341705322266,83.22569751222929,82.11662422349117,82.91845632233158,226618300
2010-06-04,80.0483169555664,81.92925167878435,79.77854122963541,81.38970022692237,398475600
2010-06-07,79.05164337158203,80.64032196162242,78.99169765891267,80.33307517107865,264609100
2010-06-08,79.89847564697266,80.05584392970009,78.42220392963863,79.11162851604995,357774300
2010-06-09,79.4713363647461,81.14244183815858,79.13411369500615,80.36309002109942,268023300
2010-06-10,81.79439544677734,81.89181227320353,79.4638355181776,80.82769967457132,317890600
2010-06-11,82.19154357910156,82.24399965998832,81.02251908089139,81.07497516177814,214128200
2010-06-14,82.06417846679688,83.2706744474579,81.98174663825836,82.82104421278017,207196100
2010-06-15,83.93009948730469,84.00503593267578,82.49878879639436,82.64117204469845,238268700
2010-06-16,83.90013122558594,84.24484347877011,83.33060389901502,83.49546752386067,216374000
2010-06-17,84.03500366210938,84.17738689687206,83.21818676586477,84.13991581910807,263185800
2010-06-18,84.12611389160156,84.42728574410829,83.85505462875761,84.20140685472825,174006600
2010-06-21,83.88517761230469,85.23293723708201,83.41835202386932,85.17270630993323,213140700
2010-06-22,82.49977111816406,84.25412557926018,82.37930350736227,83.88518598154212,239355400
2010-06-23,82.2437515258789,82.84610090532264,81.67904575137804,82.55245436214092,254639900
2010-06-24,80.8809585571289,81.94260861954194,80.67013589793709,81.83719728994603,268523600
2010-06-25,81.21975708007812,81.63387123102002,80.39151728922512,81.12187106234934,238726500
2010-06-28,80.9637680053711,81.55859225511433,80.67012139080597,81.34023861322234,169218600
2010-06-29,78.46399688720703,80.9487049906109,77.96705871321733,79.82681853629113,373649500
