Price,Close,High,Low,Open,Volume,Returns,Rolling_Volatility
2010-01-05,84.8023681640625,84.83968557413895,84.22025300742887,84.52623982731122,111579900.0,0.0026436559987555873,
2010-01-06,84.862060546875,85.0710243456003,84.6530967481497,84.72026124323862,116074400.0,0.0007036523298251103,
2010-01-07,85.22032165527344,85.32480359556855,84.46655420556837,84.70537088250559,131091100.0,0.004212801274520394,
2010-01-08,85.50389099121094,85.54120839976568,84.82475856744435,84.99640498158702,126402800.0,0.0033219611010926182,
2010-01-11,85.62329864501953,85.92181512591176,85.2576062764038,85.88450341271869,106375700.0,0.0013955429694332455,
2010-01-12,84.82474517822266,85.23520813834931,84.49637025505237,85.05609713200016,163333500.0,-0.009370119968162175,
2010-01-13,85.54119110107422,85.78000766355298,84.60831301422972,85.04116411921022,161822000.0,0.008410720616520068,
2010-01-14,85.77256774902344,85.92929062949273,85.39195178569081,85.44419274584723,115718800.0,0.002701204972549362,
2010-01-15,84.80982208251953,85.70538287296826,84.48144713556457,85.62329483006616,212283100.0,-0.01128786963140233,
2010-01-19,85.86957550048828,85.9218164548361,84.77250976534697,84.79490362621345,139172700.0,0.012418218623288603,
2010-01-20,84.99640655517578,85.41433420830795,84.317274118836,85.28746412701243,216490200.0,-0.010220601383379851,
2010-01-21,83.36201477050781,85.28001260733325,83.25753284117398,85.01880778399868,344859600.0,-0.019416232550378536,
2010-01-22,81.50370025634766,83.39184478418747,81.41414190116632,82.9888407266263,345942400.0,-0.022544326090271512,
2010-01-25,81.921630859375,82.39926974399602,81.65296717166602,82.25000581322796,186937500.0,0.005114647909834631,
2010-01-26,81.5783462524414,82.44406011681994,81.37684702888447,81.60073442241021,211168800.0,-0.004199206843148019,
2010-01-27,81.96642303466797,82.1529987008524,80.84696903756134,81.47386054289906,271863600.0,0.004745826018176226,
2010-01-28,81.02607727050781,82.27986593150325,80.53352048967243,82.23508959520112,316104000.0,-0.01153864374785437,
2010-01-29,80.14545440673828,81.94404682427654,80.01858430173903,81.376855122028,310677600.0,-0.010927880602092746,
2010-02-01,81.39178466796875,81.39924929052985,80.22755407733993,80.71265205471485,187865000.0,0.015431178590775618,
2010-02-02,82.37689971923828,82.53362262151396,81.25744553683631,81.54104424043473,216327900.0,0.012030711938545111,
2010-02-03,81.96642303466797,82.451520905515,81.72760640970539,82.00373475160237,172730700.0,-0.004995366179373825,
2010-02-04,79.43644714355469,81.36936806123416,79.42151790364919,81.3320563491439,356715700.0,-0.03135239325461096,
2010-02-05,79.60063171386719,79.76481348997739,78.04832106289004,79.52599690473757,493585800.0,0.0020647339578965386,
2010-02-08,79.0259780883789,80.1006556031368,78.96627251670643,79.66033412934812,224166900.0,-0.007245393948818367,
2010-02-09,80.01859283447266,80.71265471573132,79.3096017075996,79.95142261688561,337820500.0,0.012482383127781908,
2010-02-10,79.86186218261719,80.30217809032912,79.19018854100392,79.89171497711537,240511500.0,-0.0019605986490853714,
2010-02-11,80.69770050048828,80.78725886494672,79.29465362032877,79.75736329594172,223591600.0,0.010411660999604107,
2010-02-12,80.63052368164062,80.67530001011193,79.48868175493209,79.84690377037509,304622100.0,-0.0008327969029692646,
2010-02-16,81.89926147460938,81.98135523189862,80.46636157365961,81.24251711013359,159317500.0,0.015612689865110796,
2010-02-17,82.28736114501953,82.39930772123174,81.8992804399958,82.29482007461813,168845100.0,0.004727551941140419,0.1805528869888766
2010-02-18,82.77244567871094,82.9440921329123,82.12316019765389,82.15301299269727,193708600.0,0.005877698993559836,0.18134839321684937
2010-02-19,82.94406127929688,83.26497158934262,82.36194622708281,82.55598647576628,222684900.0,0.0020711957437031816,0.18149068092259088
2010-02-22,82.9590072631836,83.27245301705356,82.71272601635542,83.25006484803964,132346900.0,0.00018017730544046812,0.18090553283603958
2010-02-23,81.95149993896484,82.98886026524254,81.73507146669886,82.73512007324386,207497000.0,-0.012218989276812881,0.18334730998533244
2010-02-24,82.70526123046875,82.8395959381219,81.98881135426441,82.19777518976099,176350700.0,0.009155610149163466,0.18574456865623584
2010-02-25,82.5933609008789,82.65306651409256,81.30225975471744,81.52614726350764,259634700.0,-0.0013539174766329107,0.1841098552211551
2010-02-26,82.64556121826172,82.92915989454447,82.17539255672045,82.66794938873923,173589300.0,0.000631816262776916,0.18206466005626398
2010-03-01,83.50382232666016,83.58591609261536,82.96648338362202,82.98887155727549,147709700.0,0.010331290119622789,0.18478903068454502
2010-03-02,83.73513793945312,84.13814197135139,83.58587971749209,83.86201369133983,160992400.0,0.0027662903420843645,0.18239331756045193
2010-03-03,83.8097915649414,84.30981298401758,83.60082203589822,83.9515851994953,150785000.0,0.0008911475942552187,0.1783550562868419
2010-03-04,84.06352996826172,84.18294112520104,83.6082848966459,83.9217306428556,135770400.0,0.003022977019015386,0.1764020477163688
2010-03-05,85.26506042480469,85.33222491660561,84.40681141305254,84.60831627612771,176118800.0,0.014191940303650105,0.17169642729875062
2010-03-08,85.27999114990234,85.4665667901736,85.13073291522,85.2725322238539,114631200.0,0.00017509420528989184,0.15689756494722523
2010-03-09,85.42179870605469,85.81733819060545,84.98148288554339,85.02625922150393,154556700.0,0.0016614657513934635,0.15652688334336484
2010-03-10,85.80239868164062,86.03375063284864,85.38447110685554,85.45910021751915,186088800.0,0.004445640373634536,0.15584608601800615
2010-03-11,86.16063690185547,86.18303076372061,85.3397051424217,85.60090992580919,160791100.0,0.004166462138013725,0.15575615670265572
2010-03-12,86.16810607910156,86.54872203721467,85.9292894511132,86.53379279518178,162074800.0,8.668521712134567e-05,0.15075765517570625
2010-03-15,86.19046783447266,86.25017339663184,85.5262591135003,86.01882146055978,146816800.0,0.0002594794675868061,0.14579344993404494
2010-03-16,86.87709045410156,86.95917850371332,86.190487718544,86.42930432843968,168673000.0,0.007934776788140939,0.1415385325624643
2010-03-17,87.39203643798828,87.67563508015823,86.88455042413578,87.13829627798061,177468100.0,0.0059097958635159036,0.1389220538123555
2010-03-18,87.3472671508789,87.51891358030277,86.99650397705062,87.39950811120411,196509100.0,-0.0005124123442117903,0.13756989832349548
2010-03-19,86.9051284790039,87.89430448886382,86.56790587639969,86.9051284790039,226641100.0,-0.005074703496943427,0.0971578514210732
2010-03-22,87.3697280883789,87.52710204895554,86.35807182876417,86.4105279098617,184477800.0,0.005331815721120205,0.09734716016526224
2010-03-23,87.98424530029297,88.05918176228343,87.21238316166308,87.49714972142664,182941600.0,0.007008905651854065,0.09284025718309916
2010-03-24,87.55707550048828,87.99921024482515,86.61286600354346,87.65449802442373,196072600.0,-0.0048668956236815756,0.09199602870441778
