timestamp,load_mw,day_ahead_price,wind_generation,solar_generation,renewable_generation,residual_load,renewable_share,hour,day_of_week,month,weekend,day_ahead_price_lag_1,day_ahead_price_lag_2,day_ahead_price_lag_3,day_ahead_price_lag_6,day_ahead_price_lag_24,day_ahead_price_lag_48,day_ahead_price_lag_168,day_ahead_price_rolling_mean_6,day_ahead_price_rolling_std_6,day_ahead_price_rolling_mean_24,day_ahead_price_rolling_std_24,day_ahead_price_rolling_mean_48,day_ahead_price_rolling_std_48,day_ahead_price_rolling_mean_168,day_ahead_price_rolling_std_168,price_spike,negative_price_flag,load_lag_1,load_lag_24,load_lag_168,load_ramp,load_change_pct,wind_generation_lag_1,wind_generation_lag_24,wind_generation_ramp,solar_generation_lag_1,solar_generation_lag_24,solar_generation_ramp,renewable_generation_lag_1,renewable_generation_lag_24,renewable_generation_ramp,renewable_share_change,price_volatility_24h,price_volatility_168h,residual_load_change,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos
2025-12-27 15:00:00+00:00,58350.1583825,103.0075,23648.025965,201.146488,30096.071261000005,28254.0871215,0.5157838829453156,15,5,12,1,94.5425,81.19999999999999,76.7375,80.0325,116.7725,92.235,120.205,80.40791666666664,7.397141579128242,95.51791666666668,14.855070805121164,93.19385416666668,11.574896913280131,83.0415625,16.47923104215639,0,0,55386.035090000005,51290.5043525,55743.3971175,2964.123292499993,0.0535175209361604,23186.689761,8700.512074999999,461.33620399999927,3052.742196,162.712468,-2851.5957080000003,32447.549784000003,17063.835615,-2351.478522999998,-0.0700596375607846,14.252267101382571,16.299429004662734,5315.601815499998,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0
2025-12-27 16:00:00+00:00,61230.3121425,105.925,24212.391835,56.177879,32387.8825095,28842.429633,0.5289517785590309,16,5,12,1,103.0075,94.5425,81.19999999999999,75.395,120.47,94.005,122.3925,84.2370833333333,11.800115615605858,94.944375,14.252267101382571,93.41828125,11.660031581348305,82.93919642857144,16.299429004662734,0,0,58350.1583825,53519.0214625,57357.148085,2880.153760000001,0.0493598276309701,23648.025965,9989.444492,564.3658699999978,201.146488,61.201657,-144.968609,30096.071261000005,20321.620073,2291.8112484999947,0.0131678956137152,13.403642303297085,16.10915076109297,588.3425115000027,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0
2025-12-27 17:00:00+00:00,61627.773155,108.4275,24111.43345,49.257649,31911.068995,29716.70416,0.5178033759996564,17,5,12,1,105.925,103.0075,94.5425,74.54,116.9725,94.055,118.265,89.32541666666663,13.66052793788226,94.33833333333332,13.403642303297085,93.66661458333334,11.79890136982158,82.8411755952381,16.10915076109297,0,0,61230.3121425,54060.3018175,57211.197905,397.4610125000036,0.0064912458975385,24212.391835,10486.330072,-100.95838499999807,56.177879,56.093761,-6.9202299999999966,32387.8825095,20996.803817,-476.8135144999978,-0.0111484025593744,12.879512145608144,15.997104509286736,874.2745270000014,-0.9659258262890684,-0.2588190451025206,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0
2025-12-27 18:00:00+00:00,59704.8453025,105.0,23550.088798,16.013352,30605.403891,29099.4414115,0.512611727506117,18,5,12,1,108.4275,105.925,103.0075,76.7375,116.2625,91.715,104.11,94.9733333333333,13.32619513089381,93.98229166666664,12.879512145608144,93.96604166666668,11.989792498542895,82.78261904761905,15.997104509286736,0,0,61627.773155,53094.8601025,55705.450785,-1922.9278525000043,-0.0312022932852635,24111.43345,10567.296259,-561.3446519999998,49.257649,42.987708,-33.244297,31911.068995,20434.296337,-1305.6651039999997,-0.0051916484935393,12.220757843655708,16.004355324317057,-617.2627485000012,-1.0,-1.8369701987210294e-16,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0
2025-12-27 19:00:00+00:00,56859.0014725,102.5875,22227.357883,10.784037,28439.29856,28419.7029125,0.5001723179003545,19,5,12,1,105.0,108.4275,105.925,81.19999999999999,113.725,91.0325,96.3825,99.68374999999996,10.225435534733377,93.51302083333331,12.220757843655708,94.2428125,12.089642993890642,82.78791666666667,16.004355324317057,0,0,59704.8453025,51612.145005,52941.571905,-2845.843829999998,-0.0476652073308501,23550.088798,10724.756701,-1322.730915,16.013352,28.066245,-5.2293150000000015,30605.403891,18921.18987,-2166.1053310000025,-0.0124394096057625,11.616391691698416,16.043029647725913,-679.7384989999991,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0
2025-12-27 20:00:00+00:00,54123.2482925,93.895,19822.069963,9.163767,25512.018862,28611.2294305,0.4713689526564367,20,5,12,1,102.5875,105.0,108.4275,94.5425,111.5,92.7,93.01,103.24833333333328,4.761152871590274,93.04895833333332,11.616391691698416,94.48354166666668,12.13929881640041,82.82485119047618,16.043029647725913,0,0,56859.0014725,50264.972805,50630.659055,-2735.75318,-0.0481146891283899,22227.357883,10986.298303,-2405.287919999999,10.784037,12.608177,-1.6202699999999997,28439.29856,17567.274368,-2927.2796979999985,-0.0288033652439178,10.936563392701244,16.046538963620225,191.5265179999988,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0
2025-12-27 21:00:00+00:00,52325.52334,95.4175,17233.96771,8.391671,22921.8073505,29403.7159895,0.4380616931733109,21,5,12,1,93.895,102.5875,105.0,103.0075,108.255,96.1525,92.245,103.14041666666662,4.999326308779255,92.31541666666664,10.936563392701244,94.5084375,12.136788343032062,82.83011904761904,16.046538963620225,0,0,54123.2482925,49144.5127675,48684.4154825,-1797.7249525000009,-0.0332153928157544,19822.069963,10664.579627,-2588.102253000001,9.163767,12.40386,-0.7720959999999994,25512.018862,16953.792325,-2590.211511500001,-0.0333072594831257,10.425052418355335,16.059546415575774,792.4865590000009,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0
2025-12-27 22:00:00+00:00,49931.592425,91.295,16168.568158,7.073077,21754.342461,28177.249963999995,0.4356829294734836,22,5,12,1,95.4175,93.895,102.5875,105.925,99.3675,91.47,90.6725,101.87541666666664,5.915923304240279,91.78052083333334,10.425052418355335,94.493125,12.13513350947848,82.84900297619048,16.059546415575774,0,0,52325.52334,46994.69721,46345.7965,-2393.930914999997,-0.0457507304694259,17233.96771,10842.653756,-1065.3995520000008,8.391671,9.309493,-1.318594000000001,22921.8073505,16703.932742,-1167.4648894999991,-0.0023787636998273,10.299087698895203,16.061434012312723,-1226.4660255000051,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0
2025-12-27 23:00:00+00:00,47257.783715,84.33500000000001,15956.925532,7.145769,21844.802793000003,25412.980921999995,0.4622477203912186,23,5,12,1,91.295,95.4175,93.895,108.4275,96.69,97.1,95.7,99.4370833333333,6.85367080779744,91.44416666666666,10.299087698895203,94.48947916666668,12.136087340929924,82.85270833333333,16.061434012312723,0,0,49931.592425,44655.258010000005,43270.3420075,-2673.808710000005,-0.0535494379438471,16168.568158,10743.627865,-211.64262600000075,7.073077,9.168587,0.0726919999999999,21754.342461,16340.094354,90.46033200000238,0.026564790917735,10.33419609033634,16.030903743938563,-2764.269042,-0.2588190451025215,0.965925826289068,-0.9749279121818236,-0.2225209339563146,-2.4492935982947064e-16,1.0
2025-12-28 00:00:00+00:00,44832.198535,83.37,14962.193793,8.265754999999999,20961.090278,23871.108257000004,0.4675454464191825,0,6,12,1,84.33500000000001,91.295,95.4175,105.0,91.725,91.0525,90.045,95.42166666666664,7.554706093995807,90.929375,10.33419609033634,94.22354166666666,12.21725400549204,82.78505952380954,16.030903743938563,0,0,47257.783715,43298.493455,41541.9858875,-2425.5851799999946,-0.0513266807988309,15956.925532,10744.738224,-994.7317389999988,7.145769,9.58885,1.119985999999999,21844.802793000003,16603.1517985,-883.7125150000029,0.0052977260279639,10.446346459400496,16.021071324660976,-1541.8726649999917,0.0,1.0,-0.7818314824680299,0.6234898018587334,-2.4492935982947064e-16,1.0
