timestamp,load_mw,day_ahead_price,wind_generation,solar_generation,renewable_generation,residual_load,renewable_share,hour,day_of_week,month,weekend,day_ahead_price_lag_1,day_ahead_price_lag_2,day_ahead_price_lag_3,day_ahead_price_lag_6,day_ahead_price_lag_24,day_ahead_price_lag_48,day_ahead_price_lag_168,day_ahead_price_rolling_mean_6,day_ahead_price_rolling_std_6,day_ahead_price_rolling_mean_24,day_ahead_price_rolling_std_24,day_ahead_price_rolling_mean_48,day_ahead_price_rolling_std_48,day_ahead_price_rolling_mean_168,day_ahead_price_rolling_std_168,price_spike,negative_price_flag,load_lag_1,load_lag_24,load_lag_168,load_ramp,load_change_pct,wind_generation_lag_1,wind_generation_lag_24,wind_generation_ramp,solar_generation_lag_1,solar_generation_lag_24,solar_generation_ramp,renewable_generation_lag_1,renewable_generation_lag_24,renewable_generation_ramp,renewable_share_change,price_volatility_24h,price_volatility_168h,residual_load_change,hour_sin,hour_cos,dow_sin,dow_cos,month_sin,month_cos
2025-12-30 14:00:00+00:00,32258.75,111.0925,3618.5,2443.5,8539.5,23719.25,0.2647188747239121,14,1,12,0,100.46,95.0,95.2275,120.21,125.0,102.1,121.0825,103.82958333333332,9.477178960115092,113.7275,16.47722751647841,110.976875,13.373525555067427,107.92607142857142,12.863787835210928,0,0,31736.5,32152.25,36940.0,522.25,0.0164558158587115,3501.0,207.75,117.5,5409.0,3143.0,-2965.5,11165.75,6393.75,-2626.25,-0.0871078862610736,16.30723029121269,12.82563998853858,3148.5,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0
2025-12-30 15:00:00+00:00,33697.5,118.0,3875.0,316.75,7398.5,26299.0,0.2195563469100081,15,1,12,0,111.0925,100.46,95.0,108.0,133.1525,115.94,122.975,102.31,6.628147742800672,113.14802083333332,16.30723029121269,111.16421875,13.309359610207007,107.86660714285716,12.82563998853858,0,0,32258.75,34125.5,37201.0,1438.75,0.0446003022435772,3618.5,404.0,256.5,2443.5,393.25,-2126.75,8539.5,4576.0,-1141.0,-0.0451625278139039,15.783988028349125,12.79625709151948,2579.75,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0
2025-12-30 16:00:00+00:00,35859.0,122.21,4446.75,1.0,8192.5,27666.5,0.2284642628071056,16,1,12,0,118.0,111.0925,100.46,104.08,145.06,126.13750000000002,128.0025,103.97666666666665,9.130115506774656,112.51666666666664,15.783988028349125,111.20713541666667,13.328394671500032,107.83699404761904,12.79625709151948,0,0,33697.5,36473.0,37895.75,2161.5,0.0641442243489873,3875.0,580.75,571.75,316.75,0.75,-315.75,7398.5,5682.0,794.0,0.0089079158970974,14.360612585817426,12.749314084272967,1367.5,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0
2025-12-30 17:00:00+00:00,36105.0,122.7675,4840.0,0.0,8768.0,27337.0,0.2428472510732585,17,1,12,0,122.21,118.0,111.0925,95.2275,144.33499999999998,115.39,124.83,106.99833333333332,11.785211036168294,111.56458333333332,14.360612585817426,111.1253125,13.246591528958422,107.8025148809524,12.749314084272967,0,0,35859.0,36501.0,37452.0,246.0,0.0068602024596335,4446.75,771.0,393.25,1.0,0.0,-1.0,8192.5,5258.0,575.5,0.0143829882661528,12.812102036477388,12.733803100858657,-329.5,-0.9659258262890684,-0.2588190451025206,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0
2025-12-30 18:00:00+00:00,36002.5,131.1225,4489.75,0.0,8762.25,27240.25,0.2433789320186098,18,1,12,0,122.7675,122.21,118.0,95.0,146.98999999999998,117.0925,122.0,111.58833333333332,11.64612807618852,110.6659375,12.812102036477388,111.27901041666668,13.339600188018572,107.79023809523808,12.733803100858657,0,0,36105.0,36362.75,37001.75,-102.5,-0.0028389419747957,4840.0,1077.25,-350.25,0.0,0.0,0.0,8768.0,6189.0,-5.75,0.0005316809453513,11.158914839214908,12.813958652644798,-96.75,-1.0,-1.8369701987210294e-16,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0
2025-12-30 19:00:00+00:00,34156.25,120.3175,3817.0,0.0,7347.75,26808.5,0.2151216834400731,19,1,12,0,131.1225,122.7675,122.21,100.46,125.7,120.0375,116.755,117.60875,10.649881308036829,110.00479166666666,11.158914839214908,111.57130208333332,13.620446476971132,107.84453869047618,12.813958652644798,0,0,36002.5,34337.0,35048.0,-1846.25,-0.0512811610304839,4489.75,1539.5,-672.75,0.0,0.0,0.0,8762.25,5326.0,-1414.5,-0.0282572485785367,10.880371236722809,12.8317279558795,-431.75,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0
2025-12-30 20:00:00+00:00,31526.75,112.4075,3667.25,0.0,6533.25,24993.5,0.2072287819074278,20,1,12,0,120.3175,131.1225,122.7675,111.0925,121.605,117.885,112.07,120.91833333333332,6.551908246222059,109.78052083333334,10.880371236722809,111.57713541666668,13.624208946316347,107.86574404761905,12.8317279558795,0,0,34156.25,31724.75,32425.5,-2629.5,-0.0769844464775846,3817.0,1881.75,-149.75,0.0,0.0,0.0,7347.75,4965.0,-814.5,-0.0078929015326452,10.604254604399948,12.83241651432805,-1815.0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0
2025-12-30 21:00:00+00:00,28872.75,109.45,4000.25,0.0,6446.0,22426.75,0.2232554917699214,21,1,12,0,112.4075,120.3175,131.1225,118.0,114.4,111.5,112.79,121.1375,6.168250765026031,109.39729166666667,10.604254604399948,111.46302083333332,13.59315499638106,107.86775297619047,12.83241651432805,0,0,31526.75,28624.0,29286.5,-2654.0,-0.0841824799574963,3667.25,2217.5,333.0,0.0,0.0,0.0,6533.25,4812.25,-87.25,0.0160267098624936,10.550725735276432,12.8273312149176,-2566.75,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0
2025-12-30 22:00:00+00:00,25941.75,101.78,4283.25,0.0,6550.5,19391.25,0.2525080227818092,22,1,12,0,109.45,112.4075,120.3175,122.21,105.28,105.0,104.81,119.71249999999998,7.807772889899879,109.19104166666666,10.550725735276432,111.4203125,13.596256433179471,107.84787202380951,12.8273312149176,0,0,28872.75,25673.75,26223.5,-2931.0,-0.1015144037197703,4000.25,2462.0,283.0,0.0,0.0,0.0,6446.0,4856.75,104.5,0.0292525310118878,10.631018165569872,12.833756693391209,-3035.5,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0
2025-12-30 23:00:00+00:00,25860.13,102.1088,4157.43,0.0,6406.3,19453.83,0.2477288397235435,23,1,12,0,101.78,109.45,112.4075,122.7675,105.1,103.4775,102.16,116.3075,10.493612223647416,109.04520833333332,10.631018165569872,111.35322916666668,13.636492098226778,107.8298363095238,12.833756693391209,0,0,25941.75,23279.5,22921.0,-81.61999999999898,-0.0031462796457447,4283.25,2736.0,-125.81999999999972,0.0,0.0,0.0,6550.5,5020.5,-144.19999999999982,-0.0047791830582657,10.696612375136482,12.833892747845963,62.58000000000175,-0.2588190451025215,0.965925826289068,0.7818314824680298,0.6234898018587336,-2.4492935982947064e-16,1.0
