timestamp,country,actual_load_mw,forecast_load_mw,imbalance_mw,imbalance_cost_eur,risk_score,risk_level
2025-12-27 15:00:00+00:00,germany,58350.1583825,60386.453,-2036.294742500002,241216.67529127927,6.597600111622715,MEDIUM
2025-12-27 16:00:00+00:00,germany,61230.3121425,61466.605,-236.29332625000097,28783.776170486053,0.8875749965117902,LOW
2025-12-27 17:00:00+00:00,germany,61627.773155,59994.625,1633.1481550000026,203639.89731270217,5.817461978512627,MEDIUM
2025-12-27 18:00:00+00:00,germany,59704.8453025,56612.89,3091.954677499998,373353.5273081248,8.267406167155016,HIGH
2025-12-27 19:00:00+00:00,germany,56859.0014725,54218.664,2640.33741,311495.4561556313,7.530521836193666,HIGH
2025-12-27 20:00:00+00:00,germany,54123.2482925,51973.395,2149.8537612500004,232139.59674945407,6.778812613366821,MEDIUM
2025-12-27 21:00:00+00:00,germany,52325.52334,49363.566,2961.95693375,325015.90458500414,8.0514859773964,HIGH
2025-12-27 22:00:00+00:00,germany,49931.592425,47411.05,2520.5416437500025,264629.77677108,7.351053439374913,HIGH
2025-12-27 23:00:00+00:00,germany,47257.783715,45094.992,2162.7915274999978,209758.8769924692,6.799741872471047,MEDIUM
2025-12-28 00:00:00+00:00,germany,44832.198535,43800.273,1031.9250975000032,98936.33468536157,3.960339053997489,LOW
2025-12-28 01:00:00+00:00,germany,43119.7591775,42798.6,321.15761499999644,29531.72732970968,1.2072694293288684,LOW
2025-12-28 02:00:00+00:00,germany,42958.6458,43170.035,-211.3893562500016,19160.35767416967,0.7996721082740338,LOW
2025-12-28 03:00:00+00:00,germany,43308.818655,43427.97,-119.15009499999724,11023.12635763912,0.4508511232035719,LOW
2025-12-28 04:00:00+00:00,germany,43830.89901,44495.625,-664.725989999999,63914.4010274849,2.5115110925073254,LOW
2025-12-28 05:00:00+00:00,germany,44344.2798975,46357.043,-2012.7630712500031,200167.52626812545,6.554695130459049,MEDIUM
2025-12-28 06:00:00+00:00,germany,46178.220915,48610.535,-2432.314241250002,257758.42093086583,7.211001813869123,HIGH
2025-12-28 07:00:00+00:00,germany,49157.2454975,52056.01,-2898.76622125,324565.795148921,7.946665271382727,HIGH
2025-12-28 08:00:00+00:00,germany,50636.82059,52938.223,-2301.402066249997,255570.1241065456,7.006243895632761,HIGH
2025-12-28 09:00:00+00:00,germany,52211.09391,53211.297,-1000.2029649999968,101464.96465757156,3.8319729314915594,LOW
2025-12-28 10:00:00+00:00,germany,53468.899135,52213.875,1255.0241349999997,127538.84703705434,4.775010464629553,MEDIUM
2025-12-28 11:00:00+00:00,germany,53321.760125,51669.22,1652.5413750000007,152076.56600807817,5.860366959676294,MEDIUM
2025-12-28 12:00:00+00:00,germany,51393.07492,49906.875,1486.199919999999,136773.12088769992,5.471257150830194,MEDIUM
2025-12-28 13:00:00+00:00,germany,50760.6505325,50788.754,-28.103373749996532,2801.3197049476234,0.1088321473419841,LOW
2025-12-28 14:00:00+00:00,germany,52224.836015,54396.23,-2171.3944537499992,251882.8423322268,6.812473838426119,MEDIUM
2025-12-28 15:00:00+00:00,germany,54035.937565,57185.754,-3149.81634125,401648.437027451,8.362459885586716,HIGH
2025-12-28 16:00:00+00:00,germany,57278.214495,58618.47,-1340.2542549999998,175248.7983435081,5.060869261894796,MEDIUM
2025-12-28 17:00:00+00:00,germany,58082.03903,56861.066,1220.97262375,160708.38489900218,4.6567601506906655,MEDIUM
2025-12-28 18:00:00+00:00,germany,57669.83845,55335.844,2333.994700000003,293458.69686841284,7.057171759453049,HIGH
2025-12-28 19:00:00+00:00,germany,55878.5457925,54080.605,1797.940323750001,217121.97040653572,6.165062090135343,MEDIUM
2025-12-28 20:00:00+00:00,germany,54339.3799725,53030.53,1308.848722499999,149053.81939747394,4.955525324403516,MEDIUM
2025-12-28 21:00:00+00:00,germany,53318.8188575,50758.695,2560.123545000002,289357.6436581821,7.412097111762243,HIGH
2025-12-28 22:00:00+00:00,germany,51148.059285,48771.05,2377.008503750003,241756.0268823978,7.123622157108972,HIGH
2025-12-28 23:00:00+00:00,germany,48547.316875,46927.36,1619.9574999999968,167442.04711499964,5.795486256453188,MEDIUM
2025-12-29 00:00:00+00:00,germany,47173.8511525,46534.293,639.5581837499994,62503.94135311446,2.414887679642807,LOW
