timestamp,country,day_ahead_price,load_mw,renewable_share,imbalance_mw,imbalance_cost_eur,risk_score,risk_level,trading_signal,confidence
2025-12-27 15:00:00+00:00,germany,103.0075,58350.1583825,0.5157838829453156,-2036.294742500002,241216.67529127927,6.597600111622715,MEDIUM,SELL,47.21919910701828
2025-12-27 16:00:00+00:00,germany,105.925,61230.3121425,0.5289517785590309,-236.29332625000097,28783.776170486053,0.8875749965117902,LOW,SELL,92.89940002790568
2025-12-27 17:00:00+00:00,germany,108.4275,61627.773155,0.5178033759996564,1633.1481550000026,203639.89731270217,5.817461978512627,MEDIUM,SELL,53.46030417189898
2025-12-27 18:00:00+00:00,germany,105.0,59704.8453025,0.512611727506117,3091.954677499998,373353.5273081248,8.267406167155016,HIGH,SELL,33.86075066275987
2025-12-27 19:00:00+00:00,germany,102.5875,56859.0014725,0.5001723179003545,2640.33741,311495.4561556313,7.530521836193666,HIGH,SELL,39.75582531045068
2025-12-27 20:00:00+00:00,germany,93.895,54123.2482925,0.4713689526564367,2149.8537612500004,232139.59674945407,6.778812613366821,MEDIUM,SELL,45.76949909306544
2025-12-27 21:00:00+00:00,germany,95.4175,52325.52334,0.4380616931733109,2961.95693375,325015.90458500414,8.0514859773964,HIGH,SELL,35.5881121808288
2025-12-27 22:00:00+00:00,germany,91.295,49931.592425,0.4356829294734836,2520.5416437500025,264629.77677108,7.351053439374913,HIGH,SELL,41.1915724850007
2025-12-27 23:00:00+00:00,germany,84.33500000000001,47257.783715,0.4622477203912186,2162.7915274999978,209758.8769924692,6.799741872471047,MEDIUM,SELL,45.60206502023162
2025-12-28 00:00:00+00:00,germany,83.37,44832.198535,0.4675454464191825,1031.9250975000032,98936.33468536157,3.960339053997489,LOW,SELL,68.31728756802009
2025-12-28 01:00:00+00:00,germany,79.96000000000001,43119.7591775,0.4841641598474811,321.15761499999644,29531.72732970968,1.2072694293288684,LOW,HOLD,90.34184456536906
2025-12-28 02:00:00+00:00,germany,78.8175,42958.6458,0.4634283035523434,-211.3893562500016,19160.35767416967,0.7996721082740338,LOW,HOLD,93.60262313380773
2025-12-28 03:00:00+00:00,germany,80.4475,43308.818655,0.4070381674210088,-119.15009499999724,11023.12635763912,0.4508511232035719,LOW,HOLD,96.39319101437142
2025-12-28 04:00:00+00:00,germany,83.61,43830.89901,0.3610560261926053,-664.725989999999,63914.4010274849,2.5115110925073254,LOW,HOLD,79.9079112599414
2025-12-28 05:00:00+00:00,germany,86.47749999999999,44344.2798975,0.3390985509463138,-2012.7630712500031,200167.52626812545,6.554695130459049,MEDIUM,SELL,47.56243895632761
2025-12-28 06:00:00+00:00,germany,92.15,46178.220915,0.308319992257978,-2432.314241250002,257758.42093086583,7.211001813869123,HIGH,SELL,42.31198548904702
2025-12-28 07:00:00+00:00,germany,97.3625,49157.2454975,0.2958956478092276,-2898.76622125,324565.795148921,7.946665271382727,HIGH,SELL,36.42667782893818
