Date,AAPL,AMZN,BAC,CVX,GOOGL,HD,JNJ,JPM,KO,MA,MCD,META,MSFT,NVDA,PEP,PG,SBUX,V,WMT,XOM
2015-01-02,24.192604064941406,15.425999641418457,14.050792694091797,68.8983383178711,26.244781494140625,78.78034973144531,76.11090850830078,46.06678009033203,29.390274047851562,79.71467590332031,69.8044662475586,77.76707458496094,39.68174362182617,0.4824230670928955,66.58292388916016,65.5557632446289,32.26099395751953,61.088104248046875,23.12754249572754,57.14555358886719
2015-01-05,23.511064529418945,15.10949993133545,13.642614364624023,66.14434051513672,25.744714736938477,77.12751770019531,75.57930755615234,44.63664245605469,29.390274047851562,77.47247314453125,69.03352355957031,76.51806640625,39.31683349609375,0.47427472472190857,66.0823745727539,65.2440414428711,31.643020629882812,59.73965835571289,23.06023406982422,55.58191680908203
2015-01-06,23.513273239135742,14.76449966430664,13.234435081481934,66.1137924194336,25.10935401916504,76.89137268066406,75.20792388916016,43.47927474975586,29.613433837890625,77.30502319335938,69.16077423095703,75.48709869384766,38.73976135253906,0.45989537239074707,65.5817642211914,64.9468765258789,31.385549545288086,59.35471725463867,23.23792839050293,55.28644943237305
2015-01-07,23.84297752380371,14.920999526977539,13.297233581542969,66.05867767333984,25.035503387451172,79.52680206298828,76.86822509765625,43.54560852050781,29.98308563232422,78.50748443603516,70.36582946777344,75.48709869384766,39.23196792602539,0.4586973190307617,67.49946594238281,65.28755950927734,32.15800094604492,60.149959564208984,23.8544864654541,55.84664535522461
2015-01-08,24.75908851623535,15.02299976348877,13.571969985961914,67.57032012939453,25.122730255126953,81.28627014160156,77.47262573242188,44.518707275390625,30.345754623413086,79.72864532470703,70.6277847290039,77.49943542480469,40.38608932495117,0.47595223784446716,68.72622680664062,66.03414916992188,32.67692947387695,60.95671844482422,24.357959747314453,56.77621078491211
2015-01-09,24.785640716552734,14.846500396728516,13.328630447387695,66.22391510009766,24.81595230102539,79.89238739013672,76.41676330566406,43.74464416503906,30.01097869873047,78.71259307861328,69.76704406738281,77.06324768066406,40.046653747558594,0.4778696894645691,68.26091766357422,65.41801452636719,31.60736846923828,60.05314636230469,24.05640983581543,56.696163177490234
2015-01-12,24.17490577697754,14.570500373840332,13.0931396484375,64.79798126220703,24.63456153869629,79.534423828125,76.15460205078125,43.36868667602539,29.738985061645508,77.7058334350586,69.61731719970703,76.0521469116211,39.54596710205078,0.4718782901763916,67.97889709472656,65.17879486083984,31.781686782836914,59.935585021972656,24.236799240112305,55.606571197509766
2015-01-13,24.389545440673828,14.737000465393066,12.912603378295898,63.76982116699219,24.86948013305664,79.00885009765625,76.2856674194336,43.37605667114258,29.732013702392578,77.8829574584961,69.48262023925781,75.78449249267578,39.34229278564453,0.47115930914878845,67.92955017089844,65.45426940917969,32.03520584106445,60.11076736450195,24.04564666748047,55.40340805053711
2015-01-14,24.296606063842773,14.66349983215332,12.590768814086914,63.586204528808594,25.074161529541016,78.17863464355469,75.73222351074219,41.879573822021484,29.683189392089844,77.79902648925781,68.5170669555664,75.61597442626953,39.00284957885742,0.47307655215263367,68.15512084960938,65.22955322265625,31.856943130493164,58.907527923583984,23.318706512451172,55.24335861206055
2015-01-15,23.637187957763672,14.34749984741211,11.931403160095215,62.83346939086914,24.979007720947266,76.93708801269531,74.63265991210938,40.53789138793945,29.557640075683594,76.67111206054688,68.39728546142578,73.40538024902344,38.59550857543945,0.46972137689590454,68.15512084960938,65.13534545898438,31.524187088012695,58.3474235534668,23.526020050048828,54.76320266723633
2015-01-16,23.45352554321289,14.536999702453613,12.07269287109375,64.33287048339844,25.298669815063477,79.30592346191406,75.7613525390625,41.2308349609375,29.662261962890625,78.1159896850586,68.47962951660156,74.52555084228516,39.240455627441406,0.47834888100624084,68.59224700927734,66.14286804199219,31.932209014892578,58.76693344116211,23.361787796020508,56.09290313720703
2015-01-20,24.057626724243164,14.472000122070312,11.978498458862305,65.15904235839844,25.272897720336914,78.64325714111328,73.75885009765625,41.06865692138672,30.101654052734375,78.54480743408203,67.96318054199219,75.57632446289062,39.36775588989258,0.47978687286376953,68.74737548828125,66.09940338134766,32.1738395690918,59.202579498291016,23.340238571166992,56.07442092895508
2015-01-21,24.241281509399414,14.862500190734863,12.096245765686035,66.19331359863281,25.790809631347656,78.85649871826172,74.20303344726562,41.20134735107422,30.241151809692383,78.04142761230469,67.61884307861328,76.07196807861328,38.9688835144043,0.486497163772583,68.66980743408203,66.23372650146484,32.201568603515625,59.30401611328125,23.326780319213867,56.55457305908203
2015-01-22,24.871931076049805,15.515999794006348,12.630014419555664,66.6584243774414,26.628873825073242,80.79120635986328,75.55746459960938,42.45457077026367,30.534074783325195,78.65664672851562,68.03052520751953,76.97404479980469,39.995723724365234,0.49488502740859985,69.72735595703125,66.88340759277344,32.77596664428711,59.377769470214844,23.773717880249023,57.17017364501953
2015-01-23,25.00027847290039,15.619500160217285,12.347430229187012,65.3915786743164,26.859333038330078,80.25800323486328,74.42147064208984,41.78373336791992,30.20627212524414,78.66598510742188,67.03502655029297,77.1524887084961,40.03816604614258,0.4963230788707733,69.46646881103516,65.75920104980469,34.9467658996582,59.536827087402344,23.83024787902832,55.951290130615234
2015-01-26,25.02683448791504,15.482999801635742,12.44162368774414,66.63396453857422,26.600135803222656,81.01207733154297,74.4651870727539,41.85008239746094,29.99005699157715,77.92955780029297,67.8658447265625,76.82535552978516,39.893898010253906,0.4941660463809967,69.57930755615234,65.39421081542969,34.90715408325195,59.13111877441406,23.862564086914062,56.486873626708984
