country,imbalance_volatility,extreme_events,avg_price,price_volatility,high_price_events,avg_renewable_share,renewable_volatility,renewable_share_score,renewable_volatility_score,renewable_risk_score,rank
spain,393.95862199175036,8348,81.49634875376626,58.65687245868303,16682,0.5686835590661737,0.2056955398135279,1.0,0.9090054766698787,0.9545027383349394,1
germany,331.74192742763125,11490,104.00151726928952,95.44999073937846,22980,0.46060275165739245,0.22506303293355961,0.8048394920680851,1.0,0.9024197460340426,2
france,587.8029381050117,4929,85.67912523842378,90.49128145330735,9857,0.2874742550478136,0.09448800681607715,0.49222297720414243,0.38651780141388864,0.4393703893090155,3
netherlands,188.49274989765198,11491,105.64918060251607,93.89060767566315,22977,0.0682775164620804,0.0484915859705548,0.09642146660277727,0.17041227016157637,0.1334168683821768,4
italy,386.66168800585376,4931,129.2168736247579,79.22935052410875,9862,0.014878854650835962,0.012220628674042519,0.0,0.0,0.0,5
