country,imbalance_volatility,extreme_events,avg_price,price_volatility,high_price_events,avg_renewable_share,renewable_volatility,volatility_score,event_score,balancing_risk_score,rank
france,587.8029381050117,4929,85.67912523842378,90.49128145330735,9857,0.2874742550478136,0.09448800681607715,1.0,0.0,0.5,1
germany,331.74192742763125,11490,104.00151726928952,95.44999073937846,22980,0.46060275165739245,0.22506303293355961,0.3587416042978365,0.999847607436757,0.47932508437994537,2
spain,393.95862199175036,8348,81.49634875376626,58.65687245868303,16682,0.5686835590661737,0.2056955398135279,0.5145520403987314,0.5210301737275221,0.4135850723176223,3
netherlands,188.49274989765198,11491,105.64918060251607,93.89060767566315,22977,0.0682775164620804,0.0484915859705548,0.0,1.0,0.3,4
italy,386.66168800585376,4931,129.2168736247579,79.22935052410875,9862,0.014878854650835962,0.012220628674042519,0.4962781916430684,0.00030478512648582747,0.24823053135947995,5
