,price_eur_mwh,load_mw,solar_mw,wind_onshore_mw,gas_mw,lignite_mw,oil_mw,hydro_reservoir_mw,hydro_pumped_mw,storage_mw
2020-01-03 02:00:00+00:00,28.64,4626.23,0.0,1243.0,838.0,1110.0,0.0,44.0,0.0,0.0
2020-01-03 03:00:00+00:00,36.79,4628.81,0.0,1204.0,830.0,1108.0,0.0,44.0,0.0,0.0
2020-01-03 04:00:00+00:00,43.45,5068.6,0.0,1166.0,920.0,1111.0,0.0,240.0,0.0,0.0
2020-01-03 05:00:00+00:00,54.15,5683.29,2.0,1148.0,1193.0,1110.0,0.0,403.0,0.0,0.0
2020-01-03 06:00:00+00:00,56.99,6417.84,176.0,1150.0,1597.0,1128.0,0.0,525.0,0.0,0.0
2020-01-03 07:00:00+00:00,68.97,7213.64,613.0,1130.0,1973.0,1157.0,0.0,467.0,0.0,0.0
2020-01-03 08:00:00+00:00,58.45,7455.12,1010.0,1002.0,1954.0,1180.0,0.0,415.0,0.0,0.0
2020-01-03 09:00:00+00:00,54.72,7503.05,1238.0,909.0,1983.0,1221.0,0.0,297.0,0.0,0.0
2020-01-03 10:00:00+00:00,54.73,7477.65,1427.0,792.0,1957.0,1198.0,0.0,254.0,0.0,0.0
2020-01-03 11:00:00+00:00,54.73,7421.94,1383.0,773.0,1999.0,1159.0,0.0,235.0,0.0,0.0
2020-01-03 12:00:00+00:00,54.72,7147.15,1143.0,780.0,2090.0,1114.0,0.0,158.0,0.0,0.0
2020-01-03 13:00:00+00:00,57.45,7202.01,716.0,820.0,2364.0,1107.0,0.0,323.0,0.0,0.0
2020-01-03 14:00:00+00:00,68.97,7203.35,223.0,809.0,2645.0,1131.0,0.0,495.0,0.0,0.0
2020-01-03 15:00:00+00:00,70.5,7571.15,4.0,856.0,2967.0,1121.0,0.0,740.0,0.0,0.0
2020-01-03 16:00:00+00:00,69.22,8082.22,0.0,935.0,3102.0,1218.0,0.0,973.0,35.0,35.0
2020-01-03 17:00:00+00:00,69.21,8074.24,0.0,908.0,2915.0,1240.0,0.0,997.0,202.0,202.0
2020-01-03 18:00:00+00:00,69.14,7943.82,0.0,900.0,2902.0,1192.0,0.0,977.0,151.0,151.0
2020-01-03 19:00:00+00:00,70.49,7432.73,0.0,805.0,2857.0,1142.0,0.0,752.0,49.0,49.0
2020-01-03 20:00:00+00:00,83.82,6864.82,0.0,738.0,2697.0,1110.0,0.0,497.0,0.0,0.0
2020-01-03 21:00:00+00:00,83.8,6414.2,0.0,685.0,2378.0,1114.0,0.0,423.0,0.0,0.0
2020-01-03 22:00:00+00:00,54.61,5769.75,0.0,659.0,1974.0,1180.0,0.0,160.0,0.0,0.0
2020-01-03 23:00:00+00:00,46.24,5254.16,0.0,603.0,1696.0,1229.0,0.0,11.0,0.0,0.0
2020-01-04 00:00:00+00:00,45.08,5179.09,0.0,594.0,1683.0,1256.0,0.0,1.0,0.0,0.0
2020-01-04 01:00:00+00:00,36.43,4973.19,0.0,536.0,1645.0,1256.0,0.0,1.0,0.0,0.0
2020-01-04 02:00:00+00:00,33.6,4803.89,0.0,495.0,1607.0,1258.0,0.0,1.0,0.0,0.0
2020-01-04 03:00:00+00:00,36.08,4857.09,0.0,428.0,1649.0,1258.0,0.0,1.0,0.0,0.0
2020-01-04 04:00:00+00:00,45.96,5129.78,0.0,366.0,1781.0,1267.0,0.0,27.0,0.0,0.0
2020-01-04 05:00:00+00:00,50.67,5495.94,1.0,318.0,1962.0,1305.0,0.0,27.0,0.0,0.0
2020-01-04 06:00:00+00:00,54.12,5939.64,198.0,299.0,2172.0,1264.0,0.0,182.0,0.0,0.0
2020-01-04 07:00:00+00:00,54.61,6537.28,751.0,230.0,2290.0,1262.0,0.0,178.0,0.0,0.0
2020-01-04 08:00:00+00:00,54.61,6774.08,1247.0,182.0,2126.0,1257.0,0.0,168.0,0.0,0.0
2020-01-04 09:00:00+00:00,54.12,6762.77,1478.0,139.0,1875.0,1251.0,0.0,168.0,0.0,0.0
2020-01-04 10:00:00+00:00,52.37,6724.13,1558.0,135.0,1785.0,1251.0,0.0,167.0,0.0,0.0
2020-01-04 11:00:00+00:00,50.49,6676.28,1493.0,156.0,1764.0,1245.0,0.0,228.0,0.0,0.0
2020-01-04 12:00:00+00:00,50.49,6430.48,1259.0,168.0,1763.0,1241.0,0.0,232.0,0.0,0.0
2020-01-04 13:00:00+00:00,54.16,6526.74,797.0,185.0,2205.0,1251.0,0.0,269.0,0.0,0.0
2020-01-04 14:00:00+00:00,56.49,6559.47,227.0,178.0,2645.0,1237.0,0.0,587.0,19.0,19.0
2020-01-04 15:00:00+00:00,62.81,6967.91,5.0,192.0,3108.0,1263.0,0.0,928.0,48.0,48.0
2020-01-04 16:00:00+00:00,70.44,7547.54,0.0,214.0,3174.0,1459.0,0.0,1107.0,193.0,193.0
2020-01-04 17:00:00+00:00,69.21,7556.84,0.0,236.0,3061.0,1430.0,0.0,1130.0,219.0,219.0
2020-01-04 18:00:00+00:00,66.0,7371.64,0.0,265.0,3111.0,1424.0,0.0,967.0,33.0,33.0
2020-01-04 19:00:00+00:00,62.81,6985.56,0.0,309.0,2932.0,1435.0,0.0,499.0,4.0,4.0
2020-01-04 20:00:00+00:00,58.57,6534.31,0.0,339.0,2724.0,1326.0,0.0,372.0,0.0,0.0
2020-01-04 21:00:00+00:00,55.99,6159.22,0.0,377.0,2544.0,1197.0,0.0,269.0,0.0,0.0
2020-01-04 22:00:00+00:00,60.51,5607.0,0.0,430.0,1947.0,1107.0,0.0,293.0,0.0,0.0
2020-01-04 23:00:00+00:00,60.51,5082.71,0.0,457.0,1406.0,1092.0,0.0,264.0,0.0,0.0
2020-01-05 00:00:00+00:00,76.68,4967.26,0.0,486.0,1412.0,1098.0,0.0,107.0,0.0,0.0
2020-01-05 01:00:00+00:00,54.56,4734.28,0.0,536.0,1144.0,1096.0,0.0,104.0,0.0,0.0
2020-01-05 02:00:00+00:00,54.24,4565.14,0.0,616.0,886.0,1105.0,0.0,103.0,0.0,0.0
2020-01-05 03:00:00+00:00,53.98,4533.4,0.0,649.0,867.0,1105.0,0.0,62.0,0.0,0.0
2020-01-05 04:00:00+00:00,54.56,4672.25,0.0,606.0,997.0,1119.0,0.0,88.0,0.0,0.0
2020-01-05 05:00:00+00:00,54.56,4858.5,1.0,626.0,1107.0,1238.0,0.0,94.0,0.0,0.0
2020-01-05 06:00:00+00:00,50.4,5103.99,40.0,715.0,1328.0,1162.0,0.0,106.0,0.0,0.0
2020-01-05 07:00:00+00:00,51.02,5638.83,133.0,690.0,1685.0,1184.0,0.0,133.0,0.0,0.0
2020-01-05 08:00:00+00:00,54.12,6198.91,252.0,770.0,1851.0,1285.0,0.0,226.0,0.0,0.0
2020-01-05 09:00:00+00:00,54.12,6624.81,379.0,856.0,2075.0,1337.0,0.0,599.0,0.0,0.0
2020-01-05 10:00:00+00:00,53.88,6907.0,407.0,935.0,2102.0,1575.0,0.0,556.0,0.0,0.0
2020-01-05 11:00:00+00:00,50.88,6845.56,341.0,943.0,2050.0,1576.0,0.0,539.0,0.0,0.0
2020-01-05 12:00:00+00:00,50.38,6510.78,263.0,1026.0,1773.0,1462.0,0.0,235.0,0.0,0.0
2020-01-05 13:00:00+00:00,50.4,6662.09,155.0,1262.0,1881.0,1253.0,0.0,305.0,0.0,0.0
2020-01-05 14:00:00+00:00,49.78,6697.29,41.0,1369.0,2098.0,1143.0,0.0,233.0,0.0,0.0
2020-01-05 15:00:00+00:00,49.78,6873.54,1.0,1471.0,1967.0,1146.0,0.0,490.0,0.0,0.0
2020-01-05 16:00:00+00:00,50.8,7165.58,0.0,1521.0,2009.0,1136.0,0.0,624.0,83.0,83.0
2020-01-05 17:00:00+00:00,50.4,7223.79,0.0,1592.0,1860.0,1131.0,0.0,700.0,133.0,133.0
2020-01-05 18:00:00+00:00,50.8,7123.58,0.0,1614.0,1845.0,1135.0,0.0,612.0,116.0,116.0
2020-01-05 19:00:00+00:00,50.89,6895.67,0.0,1570.0,1895.0,1138.0,0.0,412.0,32.0,32.0
2020-01-05 20:00:00+00:00,50.38,6497.27,0.0,1506.0,1689.0,1139.0,0.0,351.0,0.0,0.0
2020-01-05 21:00:00+00:00,49.9,6057.55,0.0,1494.0,1494.0,1135.0,0.0,187.0,0.0,0.0
2020-01-05 22:00:00+00:00,76.7,5547.12,0.0,1473.0,843.0,1142.0,0.0,358.0,36.0,36.0
2020-01-05 23:00:00+00:00,33.17,5023.69,0.0,1389.0,604.0,1180.0,0.0,304.0,20.0,20.0
2020-01-06 00:00:00+00:00,31.99,4960.31,0.0,1282.0,701.0,1267.0,0.0,248.0,0.0,0.0
2020-01-06 01:00:00+00:00,29.29,4732.39,0.0,1225.0,705.0,1430.0,0.0,110.0,0.0,0.0
2020-01-06 02:00:00+00:00,23.81,4586.49,0.0,1149.0,726.0,1421.0,0.0,169.0,0.0,0.0
2020-01-06 03:00:00+00:00,29.0,4630.24,0.0,1102.0,731.0,1470.0,0.0,184.0,0.0,0.0
2020-01-06 04:00:00+00:00,31.8,4757.31,0.0,1006.0,719.0,1554.0,0.0,190.0,0.0,0.0
2020-01-06 05:00:00+00:00,40.1,5062.01,0.0,1011.0,755.0,1568.0,0.0,250.0,0.0,0.0
2020-01-06 06:00:00+00:00,45.11,5407.53,74.0,1010.0,1044.0,1531.0,0.0,271.0,0.0,0.0
2020-01-06 07:00:00+00:00,51.9,5955.52,361.0,981.0,1328.0,1304.0,0.0,287.0,0.0,0.0
2020-01-06 08:00:00+00:00,50.74,6473.84,698.0,977.0,1542.0,1268.0,0.0,252.0,0.0,0.0
2020-01-06 09:00:00+00:00,55.56,6985.18,881.0,987.0,1770.0,1273.0,0.0,290.0,0.0,0.0
2020-01-06 10:00:00+00:00,53.88,7351.3,931.0,971.0,2055.0,1365.0,0.0,308.0,0.0,0.0
2020-01-06 11:00:00+00:00,50.79,7286.65,849.0,931.0,2118.0,1303.0,0.0,291.0,0.0,0.0
2020-01-06 12:00:00+00:00,49.78,6850.8,666.0,941.0,1990.0,1224.0,0.0,294.0,0.0,0.0
2020-01-06 13:00:00+00:00,54.12,6859.54,409.0,933.0,2344.0,1180.0,0.0,271.0,0.0,0.0
2020-01-06 14:00:00+00:00,66.0,6842.61,128.0,947.0,2448.0,1207.0,0.0,321.0,0.0,0.0
2020-01-06 15:00:00+00:00,70.0,6991.57,3.0,929.0,2496.0,1279.0,0.0,475.0,2.0,2.0
2020-01-06 16:00:00+00:00,78.2,7432.85,0.0,931.0,2516.0,1409.0,0.0,709.0,62.0,62.0
2020-01-06 17:00:00+00:00,76.94,7470.15,0.0,969.0,2397.0,1427.0,0.0,668.0,201.0,201.0
2020-01-06 18:00:00+00:00,70.01,7427.17,0.0,963.0,2391.0,1357.0,0.0,731.0,172.0,172.0
2020-01-06 19:00:00+00:00,70.0,7136.76,0.0,953.0,2401.0,1390.0,0.0,543.0,29.0,29.0
2020-01-06 20:00:00+00:00,56.25,6676.57,0.0,908.0,2334.0,1404.0,0.0,294.0,0.0,0.0
2020-01-06 21:00:00+00:00,56.25,6265.89,0.0,916.0,2075.0,1352.0,0.0,157.0,0.0,0.0
2020-01-06 22:00:00+00:00,55.09,5627.94,0.0,867.0,1648.0,1295.0,0.0,95.0,0.0,0.0
2020-01-06 23:00:00+00:00,34.37,5084.15,0.0,851.0,1576.0,1148.0,0.0,82.0,0.0,0.0
2020-01-07 00:00:00+00:00,30.46,4982.78,0.0,768.0,1693.0,1191.0,0.0,1.0,0.0,0.0
2020-01-07 01:00:00+00:00,28.21,4728.5,0.0,724.0,1577.0,1204.0,0.0,26.0,0.0,0.0
2020-01-07 02:00:00+00:00,27.21,4636.55,0.0,678.0,1565.0,1131.0,0.0,30.0,0.0,0.0
2020-01-07 03:00:00+00:00,30.39,4755.16,0.0,696.0,1384.0,1145.0,0.0,30.0,0.0,0.0
2020-01-07 04:00:00+00:00,40.05,5292.65,0.0,715.0,1657.0,1221.0,0.0,59.0,0.0,0.0
2020-01-07 05:00:00+00:00,53.68,6167.73,0.0,748.0,2026.0,1361.0,0.0,229.0,0.0,0.0
2020-01-07 06:00:00+00:00,68.21,7059.53,112.0,858.0,2351.0,1417.0,0.0,468.0,0.0,0.0
2020-01-07 07:00:00+00:00,56.25,7862.82,517.0,898.0,2744.0,1423.0,0.0,524.0,0.0,0.0
2020-01-07 08:00:00+00:00,59.26,8224.9,923.0,918.0,2714.0,1529.0,0.0,421.0,0.0,0.0
2020-01-07 09:00:00+00:00,56.25,8361.63,1174.0,881.0,2655.0,1524.0,0.0,266.0,0.0,0.0
2020-01-07 10:00:00+00:00,56.25,8457.24,1296.0,872.0,2670.0,1506.0,0.0,246.0,0.0,0.0
2020-01-07 11:00:00+00:00,54.64,8373.65,1250.0,825.0,2754.0,1500.0,0.0,221.0,0.0,0.0
2020-01-07 12:00:00+00:00,56.25,8034.13,1050.0,810.0,2798.0,1379.0,0.0,158.0,0.0,0.0
2020-01-07 13:00:00+00:00,57.01,8047.63,699.0,841.0,3091.0,1188.0,0.0,352.0,0.0,0.0
2020-01-07 14:00:00+00:00,60.88,8020.74,225.0,883.0,3308.0,1300.0,0.0,446.0,1.0,1.0
2020-01-07 15:00:00+00:00,64.11,8175.62,7.0,903.0,3265.0,1423.0,0.0,687.0,66.0,66.0
2020-01-07 16:00:00+00:00,67.0,8631.5,0.0,965.0,3510.0,1427.0,0.0,941.0,322.0,322.0
2020-01-07 17:00:00+00:00,62.63,8606.19,0.0,1034.0,3501.0,1392.0,0.0,989.0,286.0,286.0
2020-01-07 18:00:00+00:00,62.4,8454.87,0.0,1101.0,3441.0,1356.0,0.0,845.0,204.0,204.0
2020-01-07 19:00:00+00:00,68.4,7890.81,0.0,1178.0,3117.0,1319.0,0.0,488.0,6.0,6.0
2020-01-07 20:00:00+00:00,58.97,7222.69,0.0,1171.0,2687.0,1337.0,0.0,227.0,0.0,0.0
2020-01-07 21:00:00+00:00,56.25,6714.14,0.0,1167.0,2376.0,1367.0,0.0,126.0,0.0,0.0
2020-01-07 22:00:00+00:00,41.5,5915.33,0.0,1112.0,1753.0,1366.0,0.0,75.0,0.0,0.0
2020-01-07 23:00:00+00:00,53.88,5368.33,0.0,1101.0,1457.0,1361.0,0.0,67.0,0.0,0.0
2020-01-08 00:00:00+00:00,48.14,5280.36,0.0,1062.0,1470.0,1339.0,0.0,64.0,0.0,0.0
2020-01-08 01:00:00+00:00,44.45,5079.52,0.0,1018.0,1499.0,1334.0,0.0,61.0,0.0,0.0
2020-01-08 02:00:00+00:00,42.9,4961.62,0.0,1017.0,1462.0,1332.0,0.0,63.0,0.0,0.0
2020-01-08 03:00:00+00:00,43.93,5064.37,0.0,1038.0,1437.0,1340.0,0.0,63.0,0.0,0.0
2020-01-08 04:00:00+00:00,54.61,5682.32,0.0,1095.0,1581.0,1378.0,0.0,91.0,0.0,0.0
2020-01-08 05:00:00+00:00,66.0,6712.74,1.0,1129.0,2207.0,1599.0,0.0,326.0,0.0,0.0
2020-01-08 06:00:00+00:00,76.88,7316.13,156.0,1203.0,2513.0,1694.0,0.0,489.0,0.0,0.0
2020-01-08 07:00:00+00:00,78.33,7870.61,687.0,1218.0,2835.0,1669.0,0.0,527.0,0.0,0.0
2020-01-08 08:00:00+00:00,63.93,7930.65,1157.0,1214.0,2727.0,1578.0,0.0,439.0,0.0,0.0
2020-01-08 09:00:00+00:00,56.25,7919.79,1387.0,1230.0,2567.0,1424.0,0.0,273.0,0.0,0.0
2020-01-08 10:00:00+00:00,53.78,7854.09,1426.0,1208.0,2583.0,1358.0,0.0,206.0,0.0,0.0
2020-01-08 11:00:00+00:00,53.68,7804.96,1397.0,1234.0,2507.0,1375.0,0.0,193.0,0.0,0.0
2020-01-08 12:00:00+00:00,54.12,7640.81,1192.0,1242.0,2600.0,1348.0,0.0,190.0,0.0,0.0
2020-01-08 13:00:00+00:00,56.5,7754.23,824.0,1212.0,3037.0,1376.0,0.0,295.0,0.0,0.0
2020-01-08 14:00:00+00:00,68.0,7728.18,269.0,1201.0,3344.0,1551.0,0.0,410.0,0.0,0.0
